sample_role,scene,object_hypothesis_id,sar_gt_id,sar_frame,vehicle_research_eligibility,azimuth_prior_contains_gt,vehicle_size_shell_contains_gt,range_shell_contains_gt,local_visualization_path,repo_sample_visualization_path
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,236,372,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0012_sar000372_236_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,237,373,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0010_sar000373_237_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,238,373,review_only_vehicle,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0008_sar000373_238_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,239,373,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0012_sar000373_239_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,240,374,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0010_sar000374_240_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,241,374,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0012_sar000374_241_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,242,374,review_only_vehicle,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0008_sar000374_242_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,243,375,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0010_sar000375_243_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,244,375,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0012_sar000375_244_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,245,375,review_only_vehicle,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0008_sar000375_245_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,246,376,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0010_sar000376_246_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,247,376,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0012_sar000376_247_20260702_190435.png,
