scene,object_hypothesis_id,sar_gt_id,sar_frame,gt_azimuth_deg,azimuth_prior_center_deg,azimuth_prior_start_deg,azimuth_prior_end_deg,azimuth_prior_width_deg,azimuth_error_to_center_deg,azimuth_prior_contains_gt,azimuth_failure_context,size_shell_mode,gt_long_axis_px,gt_short_axis_px,gt_axis_aspect,vehicle_size_shell_contains_gt,base_vehicle_size_shell_contains_gt,size_shell_angular_width_at_gt_radius_deg,size_shell_to_azimuth_width_ratio,size_shell_compression_effect,shape_range_shell_mode,shape_range_shell_radius_min_px,shape_range_shell_radius_max_px,shape_range_shell_width_px,range_shell_contains_gt,range_shell_note
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,269,383,35.587,27.680,17.828,34.573,16.745,7.907,false,edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,relaxed_state_size_shell,151.993,79.544,1.9108,true,true,37.496,2.2392,posthoc_size_shell_not_narrow_or_no_azimuth_sector,small_optical_area_posthoc_bin,452.027,576.167,124.140,false,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,270,384,-8.870,-7.183,-45.414,34.599,80.013,-1.687,true,,relaxed_state_size_shell,172.465,83.794,2.0582,true,true,32.808,0.4100,posthoc_size_shell_much_narrower_than_azimuth_sector,small_optical_area_posthoc_bin,452.027,576.167,124.140,true,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,271,384,11.280,-7.958,-45.411,34.588,79.999,19.238,true,,relaxed_state_size_shell,151.387,77.506,1.9532,true,true,37.607,0.4701,posthoc_size_shell_much_narrower_than_azimuth_sector,large_optical_area_posthoc_bin,152.418,402.483,250.066,true,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,272,384,36.806,27.680,17.828,34.573,16.745,9.126,false,edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,relaxed_state_size_shell,151.413,70.097,2.1600,true,true,37.061,2.2133,posthoc_size_shell_not_narrow_or_no_azimuth_sector,small_optical_area_posthoc_bin,452.027,576.167,124.140,false,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,273,385,-8.274,-7.183,-45.414,34.599,80.013,-1.091,true,,relaxed_state_size_shell,174.595,77.147,2.2631,true,true,32.702,0.4087,posthoc_size_shell_much_narrower_than_azimuth_sector,small_optical_area_posthoc_bin,452.027,576.167,124.140,true,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,274,385,14.375,-7.958,-45.411,34.588,79.999,22.333,true,,relaxed_state_size_shell,179.560,73.367,2.4474,true,true,37.146,0.4643,posthoc_size_shell_much_narrower_than_azimuth_sector,large_optical_area_posthoc_bin,152.418,402.483,250.066,true,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,276,386,-6.887,-7.183,-45.414,34.599,80.013,0.296,true,,relaxed_state_size_shell,163.865,73.142,2.2404,true,true,33.141,0.4142,posthoc_size_shell_much_narrower_than_azimuth_sector,small_optical_area_posthoc_bin,452.027,576.167,124.140,true,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,277,386,14.427,-7.958,-45.411,34.588,79.999,22.385,true,,relaxed_state_size_shell,179.823,73.032,2.4622,true,true,37.112,0.4639,posthoc_size_shell_much_narrower_than_azimuth_sector,large_optical_area_posthoc_bin,152.418,402.483,250.066,true,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,279,387,14.821,-7.958,-45.411,34.588,79.999,22.779,true,,relaxed_state_size_shell,173.387,73.197,2.3688,true,true,37.082,0.4635,posthoc_size_shell_much_narrower_than_azimuth_sector,large_optical_area_posthoc_bin,152.418,402.483,250.066,false,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,280,387,-6.626,-7.183,-45.414,34.599,80.013,0.557,true,,relaxed_state_size_shell,161.774,72.935,2.2181,true,true,32.920,0.4114,posthoc_size_shell_much_narrower_than_azimuth_sector,small_optical_area_posthoc_bin,452.027,576.167,124.140,true,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,282,388,16.630,-7.958,-45.411,34.588,79.999,24.588,true,,relaxed_state_size_shell,193.223,82.873,2.3316,true,true,36.442,0.4555,posthoc_size_shell_much_narrower_than_azimuth_sector,large_optical_area_posthoc_bin,152.418,402.483,250.066,false,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,283,388,-5.803,-7.183,-45.414,34.599,80.013,1.380,true,,relaxed_state_size_shell,166.594,77.026,2.1628,true,true,33.421,0.4177,posthoc_size_shell_much_narrower_than_azimuth_sector,medium_optical_area_posthoc_bin,366.393,455.063,88.670,true,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,285,389,17.131,-7.958,-45.411,34.588,79.999,25.089,true,,relaxed_state_size_shell,183.540,73.298,2.5040,true,true,36.780,0.4598,posthoc_size_shell_much_narrower_than_azimuth_sector,large_optical_area_posthoc_bin,152.418,402.483,250.066,false,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,286,389,-4.645,-7.183,-45.414,34.599,80.013,2.538,true,,relaxed_state_size_shell,175.634,70.503,2.4912,true,true,33.385,0.4172,posthoc_size_shell_much_narrower_than_azimuth_sector,medium_optical_area_posthoc_bin,366.393,455.063,88.670,true,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,288,390,-3.834,-7.183,-45.414,34.599,80.013,3.349,true,,relaxed_state_size_shell,171.390,84.406,2.0305,true,true,32.950,0.4118,posthoc_size_shell_much_narrower_than_azimuth_sector,medium_optical_area_posthoc_bin,366.393,455.063,88.670,false,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,289,390,17.957,-7.958,-45.411,34.588,79.999,25.915,true,,relaxed_state_size_shell,171.584,80.610,2.1286,true,true,36.517,0.4565,posthoc_size_shell_much_narrower_than_azimuth_sector,large_optical_area_posthoc_bin,152.418,402.483,250.066,false,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,291,391,17.806,-7.958,-45.411,34.588,79.999,25.764,true,,relaxed_state_size_shell,166.387,72.781,2.2861,true,true,36.608,0.4576,posthoc_size_shell_much_narrower_than_azimuth_sector,large_optical_area_posthoc_bin,152.418,402.483,250.066,false,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,292,391,-3.169,-7.183,-45.414,34.599,80.013,4.014,true,,relaxed_state_size_shell,176.950,73.800,2.3977,true,true,33.270,0.4158,posthoc_size_shell_much_narrower_than_azimuth_sector,small_optical_area_posthoc_bin,452.027,576.167,124.140,false,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,294,392,-1.858,-7.183,-45.414,34.599,80.013,5.325,true,,relaxed_state_size_shell,167.759,90.716,1.8493,true,true,32.883,0.4110,posthoc_size_shell_much_narrower_than_azimuth_sector,small_optical_area_posthoc_bin,452.027,576.167,124.140,true,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,295,392,19.447,-7.958,-45.411,34.588,79.999,27.405,true,,relaxed_state_size_shell,176.039,76.458,2.3024,true,true,36.025,0.4503,posthoc_size_shell_much_narrower_than_azimuth_sector,large_optical_area_posthoc_bin,152.418,402.483,250.066,false,posthoc optical-shape bin only; not runtime rule
