experiment_id,experiment_type,method,physical_vehicle_id,source_pair_id,sar_frame,persistent_hypothesis_id,parent_hypothesis_ids,branch_status,association_event,support_frames,assembly_id,hypothesis_region,hypothesis_centroid,hypothesis_azimuth,hypothesis_radial,velocity_px,area_ratio_vs_source,single_search_ratio,total_hypothesis_area,total_search_area,total_search_ratio,hypothesis_count,hypothesis_budget_exceeded,notes
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,31,ADJ_0204_TO_0205_c1c_31_02,ADJ_0204_TO_0205_C1C_h001,candidate_compact_branch,ambiguous_parallel_branch,2,C1C_ADJ_0204_TO_0205_31_a002,"1225.000,1133.000,1256.000,1213.000","1241.509,1163.618",27.806908,188.603502,"125.109,-20.157",0.188705,0.015625,5552,41068.94,0.015625,3,false,
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,31,ADJ_0204_TO_0205_c1c_31_03,ADJ_0204_TO_0205_C1C_h001,candidate_compact_branch,ambiguous_parallel_branch,2,C1C_ADJ_0204_TO_0205_31_a003,"1041.000,1221.000,1089.000,1245.000","1060.895,1230.053",-42.538697,137.54003,"-55.505,46.277",0.087657,0.015625,5552,41068.94,0.015625,3,false,
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1D,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,28,ADJ_0204_TO_0205_c1d_28_01,ADJ_0204_TO_0205_C1D_h001,active,branch_split,2,C1D_ADJ_0204_TO_0205_28_ADJ_0204_TO_0205_C1D_h001_a001,"1033.000,1109.000,1201.000,1205.000","1124.791,1160.472",-9.899875,175.807068,"8.392,-23.303",1.227194,0.015625,18688,41068.94,0.015625,4,false,
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1D,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,28,ADJ_0204_TO_0205_c1d_28_02,ADJ_0204_TO_0205_C1D_h001,active,branch_split,2,C1D_ADJ_0204_TO_0205_28_ADJ_0204_TO_0205_C1D_h001_a002,"1009.000,1125.000,1025.000,1141.000","1015.105,1134.105",-35.255325,240.643845,"-101.295,-49.670",0.019479,0.015625,18688,41068.94,0.015625,4,false,
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1D,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,28,ADJ_0204_TO_0205_c1d_28_03,ADJ_0204_TO_0205_C1D_h001,active,branch_split,2,C1D_ADJ_0204_TO_0205_28_ADJ_0204_TO_0205_C1D_h001_a004,"1217.000,1181.000,1233.000,1213.000","1221.960,1197.840",27.203241,149.276764,"105.560,14.065",0.038959,0.015625,18688,41068.94,0.015625,4,false,
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1D,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,28,ADJ_0204_TO_0205_c1d_28_04,ADJ_0204_TO_0205_C1D_h001,active,branch_split,2,C1D_ADJ_0204_TO_0205_28_ADJ_0204_TO_0205_C1D_h001_a005,"1097.000,1205.000,1153.000,1237.000","1128.524,1222.026",-13.104463,111.844467,"12.124,38.251",0.136355,0.015625,18688,41068.94,0.015625,4,false,
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,32,ADJ_0205_TO_0206_c1c_32_01,ADJ_0205_TO_0206_C1C_h001,candidate_compact_branch,ambiguous_parallel_branch,2,C1C_ADJ_0205_TO_0206_32_a001,"1082.000,1133.000,1122.000,1149.000","1103.274,1140.603",-14.947306,196.696365,"-13.962,-64.823",0.05687,0.015151,2688,39822.8328,0.015151,3,false,
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,32,ADJ_0205_TO_0206_c1c_32_02,ADJ_0205_TO_0206_C1C_h001,candidate_compact_branch,ambiguous_parallel_branch,2,C1C_ADJ_0205_TO_0206_32_a003,"1226.000,1181.000,1242.000,1213.000","1231.439,1192.211",29.269951,158.645233,"114.202,-13.215",0.045496,0.015151,2688,39822.8328,0.015151,3,false,
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,32,ADJ_0205_TO_0206_c1c_32_03,ADJ_0205_TO_0206_C1C_h001,candidate_compact_branch,ambiguous_parallel_branch,2,C1C_ADJ_0205_TO_0206_32_a004,"1026.000,1221.000,1090.000,1245.000","1060.816,1229.878",-42.388103,137.84845,"-56.420,24.452",0.136489,0.015151,2688,39822.8328,0.015151,3,false,
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,33,ADJ_0205_TO_0206_c1c_33_01,ADJ_0205_TO_0206_C1C_h001,candidate_compact_branch,ambiguous_parallel_branch,2,C1C_ADJ_0205_TO_0206_33_a002,"1058.000,1157.000,1098.000,1189.000","1083.815,1177.537",-24.616247,168.590958,"-33.421,-27.888",0.113741,0.015151,3648,39822.8328,0.015151,4,false,
