pair_id,scene,optical_frame,thread_id,bbox_center_x,bbox_center_y,bbox_bottom_center_x,bbox_bottom_center_y,bbox_width,bbox_height,bbox_area,normalized_center_x,normalized_bottom_y,edge_contact_left,edge_contact_right,edge_contact_bottom,occlusion_state,partial_vehicle_state,multi_box_competition,visible_unboxed_gap,depth_center,depth_q10,depth_q25,depth_q50,depth_q75,depth_q90,depth_valid_ratio,depth_D0,depth_D1,depth_D2,depth_D3,depth_D4,optical_velocity_x,optical_velocity_y,track_age,vehicle_class
WGV35A_PAIR_0101,GM_RM017,172,oty1t_obj_GM_RM017_bytetrack_bt_0012,140.257,350.024,140.257,382.097,169.465,64.146,10870.502,0.175322,0.636828,false,false,false,unknown,none,single_observation,unknown,10.189466,9.657111,10.129529,10.26536,10.510316,15.617768,1,10.26536,10.189466,10.167591,10.26536,10.769478,-0.003,0.005,15,unknown_vehicle
WGV35A_PAIR_0102,GM_RM017,172,oty1t_obj_GM_RM017_bytetrack_bt_0008,592.586,345.215,592.586,397.916,306.905,105.402,32348.401,0.740732,0.663193,false,false,false,unknown,none,single_observation,unknown,7.204937,7.082907,7.154033,7.259757,7.501725,13.950944,1,7.259757,7.204937,7.161109,7.259757,7.471024,-0.004,-0.001,40,unknown_vehicle
WGV35A_PAIR_0103,GM_RM017,172,oty1t_obj_GM_RM017_bytetrack_bt_0010,308.783,339.337,308.783,387.646,225.77,96.618,21813.446,0.385979,0.646077,false,false,false,unknown,none,single_observation,unknown,8.884345,8.785485,8.851964,8.935513,9.134015,16.350189,1,8.935513,8.884345,8.846618,8.935513,9.455682,0.001,0,37,unknown_vehicle
WGV35A_PAIR_0104,GM_RM017,173,oty1t_obj_GM_RM017_bytetrack_bt_0012,156.598,349.722,156.598,381.699,169.062,63.954,10812.191,0.195747,0.636165,false,false,false,unknown,none,single_observation,unknown,10.769478,10.385194,10.702416,10.855505,11.12005,15.822938,1,10.855505,10.769478,10.784009,10.855493,10.769478,16.341,-0.302,16,unknown_vehicle
WGV35A_PAIR_0105,GM_RM017,173,oty1t_obj_GM_RM017_bytetrack_bt_0008,621.167,344.385,621.167,397.045,313.644,105.319,33032.672,0.776459,0.661742,false,false,false,unknown,none,single_observation,unknown,7.471024,7.339586,7.416342,7.549511,7.821358,13.702469,1,7.549511,7.471024,7.469663,7.549511,7.471024,28.581,-0.83,41,unknown_vehicle
WGV35A_PAIR_0106,GM_RM017,173,oty1t_obj_GM_RM017_bytetrack_bt_0010,328.938,338.345,328.938,385.915,225.573,95.141,21461.241,0.411173,0.643192,false,false,false,unknown,none,single_observation,unknown,9.455682,9.332336,9.415972,9.499587,9.681777,16.908779,1,9.499587,9.455682,9.414788,9.499587,9.429077,20.155,-0.992,38,unknown_vehicle
WGV35A_PAIR_0107,GM_RM017,173,oty1t_obj_GM_RM017_bytetrack_bt_0012,156.594,349.725,156.594,381.701,169.056,63.953,10811.638,0.195742,0.636168,false,false,false,unknown,none,single_observation,unknown,10.769478,10.385194,10.702416,10.855505,11.12005,15.822938,1,10.855505,10.769478,10.784009,10.855493,10.769478,-0.004,0.003,17,unknown_vehicle
WGV35A_PAIR_0108,GM_RM017,173,oty1t_obj_GM_RM017_bytetrack_bt_0008,621.168,344.389,621.168,397.046,313.643,105.314,33030.999,0.776459,0.661743,false,false,false,unknown,none,single_observation,unknown,7.471024,7.339586,7.416342,7.549511,7.821358,13.702469,1,7.549511,7.471024,7.469663,7.549511,7.471024,0.001,0.004,42,unknown_vehicle
WGV35A_PAIR_0109,GM_RM017,173,oty1t_obj_GM_RM017_bytetrack_bt_0010,328.936,338.345,328.936,385.915,225.572,95.14,21460.92,0.41117,0.643192,false,false,false,unknown,none,single_observation,unknown,9.455682,9.332336,9.415972,9.499587,9.681777,16.908779,1,9.499587,9.455682,9.414788,9.499587,9.429077,-0.002,0,39,unknown_vehicle
WGV35A_PAIR_0110,GM_RM017,174,oty1t_obj_GM_RM017_bytetrack_bt_0012,173.412,349.376,173.412,381.793,171.055,64.834,11090.18,0.216764,0.636322,false,false,false,unknown,none,single_observation,unknown,10.86558,10.52997,10.766461,10.957611,11.208353,15.895988,1,10.957611,10.86558,10.83973,10.957611,10.86558,16.818,-0.349,18,unknown_vehicle
WGV35A_PAIR_0111,GM_RM017,174,oty1t_obj_GM_RM017_bytetrack_bt_0008,644.7,342.601,644.7,395.724,309.834,106.245,32918.313,0.805875,0.65954,false,true,false,unknown,none,single_observation,unknown,7.487216,7.334769,7.422384,7.550706,7.806579,12.379528,1,7.550706,7.487216,7.467955,7.550706,7.487216,23.532,-1.788,43,unknown_vehicle
WGV35A_PAIR_0112,GM_RM017,174,oty1t_obj_GM_RM017_bytetrack_bt_0010,349.923,336.354,349.923,385.466,228.118,98.224,22406.662,0.437404,0.642443,false,false,false,unknown,none,single_observation,unknown,9.429077,9.282646,9.377349,9.469914,9.685957,16.788822,1,9.469914,9.429077,9.383221,9.469914,9.429077,20.987,-1.991,40,unknown_vehicle
WGV35A_PAIR_0113,GM_RM017,174,oty1t_obj_GM_RM017_bytetrack_bt_0012,173.41,349.38,173.41,381.799,171.051,64.839,11090.776,0.216763,0.636332,false,false,false,unknown,none,single_observation,unknown,10.86558,10.52997,10.766461,10.957611,11.208353,15.895988,1,10.957611,10.86558,10.83973,10.957611,10.86558,-0.002,0.004,19,unknown_vehicle
WGV35A_PAIR_0114,GM_RM017,174,oty1t_obj_GM_RM017_bytetrack_bt_0008,644.702,342.601,644.702,395.724,309.84,106.246,32919.261,0.805878,0.65954,false,true,false,unknown,none,single_observation,unknown,7.487216,7.334769,7.422384,7.550706,7.806579,12.379528,1,7.550706,7.487216,7.467955,7.550706,7.487216,0.002,0,44,unknown_vehicle
WGV35A_PAIR_0115,GM_RM017,174,oty1t_obj_GM_RM017_bytetrack_bt_0010,349.921,336.356,349.921,385.466,228.119,98.219,22405.62,0.437402,0.642443,false,false,false,unknown,none,single_observation,unknown,9.429077,9.282646,9.377349,9.469914,9.685957,16.788822,1,9.469914,9.429077,9.383221,9.469914,9.429077,-0.002,0.002,41,unknown_vehicle
WGV35A_PAIR_0116,GM_RM017,175,oty1t_obj_GM_RM017_bytetrack_bt_0012,190.805,350.962,190.805,384.082,171.729,66.239,11375.157,0.238507,0.640137,false,false,false,unknown,none,single_observation,unknown,10.958601,10.645001,10.856971,11.052759,11.311976,15.980851,1,11.052759,10.958601,10.943276,11.052759,10.86558,17.395,1.582,20,unknown_vehicle
WGV35A_PAIR_0117,GM_RM017,175,oty1t_obj_GM_RM017_bytetrack_bt_0008,657.678,344.011,657.678,397.547,283.975,107.072,30405.771,0.822097,0.662578,false,true,false,unknown,none,single_observation,unknown,7.562014,7.344975,7.448361,7.584121,7.829873,12.574918,1,7.584121,7.562014,7.509413,7.584121,7.487216,12.976,1.41,45,unknown_vehicle
WGV35A_PAIR_0118,GM_RM017,175,oty1t_obj_GM_RM017_bytetrack_bt_0010,371.38,337.651,371.38,387.175,229.699,99.047,22750.997,0.464226,0.645292,false,false,false,unknown,none,single_observation,unknown,9.405296,9.298222,9.354249,9.448583,9.683414,16.523886,1,9.448583,9.405296,9.354136,9.448583,9.405296,21.459,1.295,42,unknown_vehicle
WGV35A_PAIR_0119,GM_RM017,175,oty1t_obj_GM_RM017_bytetrack_bt_0012,190.806,350.959,190.806,384.075,171.725,66.232,11373.69,0.238508,0.640125,false,false,false,unknown,none,single_observation,unknown,10.958601,10.645001,10.856971,11.052759,11.311976,15.980851,1,11.052759,10.958601,10.943276,11.052759,10.86558,0.001,-0.003,21,unknown_vehicle
WGV35A_PAIR_0120,GM_RM017,175,oty1t_obj_GM_RM017_bytetrack_bt_0008,657.674,344.008,657.674,397.545,283.973,107.074,30406.125,0.822093,0.662575,false,true,false,unknown,none,single_observation,unknown,7.562014,7.344975,7.448361,7.584121,7.829873,12.574918,1,7.584121,7.562014,7.509413,7.584121,7.487216,-0.004,-0.003,46,unknown_vehicle
WGV35A_PAIR_0121,GM_RM017,175,oty1t_obj_GM_RM017_bytetrack_bt_0010,371.376,337.654,371.376,387.175,229.692,99.041,22748.925,0.46422,0.645292,false,false,false,unknown,none,single_observation,unknown,9.405296,9.298222,9.354249,9.448583,9.683414,16.523886,1,9.448583,9.405296,9.354136,9.448583,9.405296,-0.004,0.003,43,unknown_vehicle
WGV35A_PAIR_0122,GM_RM017,176,oty1t_obj_GM_RM017_bytetrack_bt_0008,669.141,341.176,669.141,395.107,261.153,107.862,28168.485,0.836427,0.658512,false,true,false,unknown,none,single_observation,unknown,7.337025,7.203472,7.259935,7.361385,7.597774,12.971295,1,7.361385,7.337025,7.29285,7.361385,7.39563,11.467,-2.832,47,unknown_vehicle
WGV35A_PAIR_0123,GM_RM017,176,oty1t_obj_GM_RM017_bytetrack_bt_0010,390.293,334.803,390.293,384.279,232.811,98.952,23037.114,0.487866,0.640465,false,false,false,unknown,none,single_observation,unknown,9.208961,9.09179,9.155981,9.243769,9.46374,17.35758,1,9.243769,9.208961,9.178563,9.243769,9.405036,18.917,-2.851,44,unknown_vehicle
WGV35A_PAIR_0124,GM_RM017,176,oty1t_obj_GM_RM017_bytetrack_bt_0012,204.368,347.337,204.368,379.227,174.868,63.781,11153.256,0.25546,0.632045,false,false,false,unknown,none,single_observation,unknown,10.863455,10.617539,10.762224,10.944763,11.171622,15.620156,1,10.944763,10.863455,10.851122,10.944763,10.958601,13.562,-3.622,22,unknown_vehicle
