pair_plan_id,pair_type,frame_a,frame_b,aspect_difference_deg,range_difference_m,time_difference_frames,energy_centroid_difference_m,peak_position_difference_m,support_width_difference_m,near_far_ratio_difference,component_layout_difference_deg,response_structure_distance,pair_result_scope
E0R3_PAIR_0031,time_distant_control,315,361,35.625586,4.184363,46,0.848731,1.763399,1.064082,0.240115,0.653561,0.748512,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0032,time_distant_control,315,362,35.778902,4.192274,47,0.901231,1.822863,1.056017,0.238102,1.090613,0.77404,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0033,time_distant_control,315,363,37.702062,4.166976,48,0.880549,2.879901,1.340928,0.264579,1.867256,1.120304,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0034,time_distant_control,315,364,38.643586,4.24259,49,0.884977,2.916131,1.571491,0.349929,4.764777,1.155328,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0035,time_distant_control,315,365,38.16898,4.268909,50,0.270647,1.523622,1.659714,0.338964,0.472741,0.703034,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0036,time_distant_control,315,366,40.561322,4.306973,51,0.329848,1.761539,2.048681,0.3221,0.0684,0.840863,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0037,time_distant_control,315,367,39.718841,4.354093,52,0.278985,1.79176,1.676069,0.325471,1.148365,0.779846,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0038,time_distant_control,315,368,40.396952,4.345456,53,0.354243,2.120664,2.507541,0.227508,84.598975,1.237683,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0039,time_distant_control,315,369,40.308576,4.325045,54,0.371975,1.892271,2.429447,0.208676,88.389402,1.189675,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0040,time_distant_control,315,370,41.218341,4.387369,55,0.42307,2.327004,1.534571,0.307013,8.127555,0.930329,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0041,time_distant_control,315,371,41.473817,4.382166,56,0.400202,2.175896,1.487432,0.314172,1.844638,0.87599,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0042,time_distant_control,315,372,43.834138,4.306624,57,0.576677,2.798705,1.31864,0.274417,3.198364,1.067529,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0043,time_distant_control,315,373,42.727634,4.358191,58,0.654161,2.769735,1.358493,0.314382,2.345363,1.068447,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0044,time_distant_control,315,374,40.953079,4.364383,59,0.726688,3.066288,1.205816,0.291704,2.55274,1.159131,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0045,time_distant_control,315,375,40.344409,4.44488,60,0.576281,2.963681,1.958095,0.142209,76.876173,1.343531,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0046,time_distant_control,315,376,40.594398,4.407382,61,0.557843,3.018502,1.959944,0.136404,6.196024,1.216791,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0047,time_distant_control,315,377,36.718297,4.300439,62,0.628291,2.720522,1.810604,0.071827,58.784139,1.216405,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0048,time_distant_control,315,378,37.171462,4.366304,63,0.554437,3.017677,1.760877,0.054969,84.938108,1.378392,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0049,time_distant_control,315,379,34.903526,4.222195,64,0.632332,1.736748,1.775666,0.062453,55.445082,0.94468,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0050,time_distant_control,315,380,34.601321,4.242146,65,0.626679,3.022085,1.708184,0.062052,88.490343,1.392691,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0051,time_distant_control,315,381,32.682047,4.197212,66,0.642676,1.724161,1.60593,0.058931,75.261052,1.021456,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0052,time_distant_control,315,382,31.850688,4.175004,67,0.567361,1.624421,1.807429,0.031738,72.841662,0.982828,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0053,time_distant_control,315,383,27.85746,4.036747,68,0.640782,3.032361,1.657335,0.06418,67.248298,1.317618,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0054,time_distant_control,315,384,29.784998,4.09336,69,0.541395,2.426503,1.90237,0.034972,74.905299,1.187531,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0055,time_distant_control,315,385,27.356291,3.934699,70,0.628233,1.615846,0.764263,0.134559,1.705262,0.656373,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0056,time_distant_control,315,386,27.778934,3.922827,71,0.61349,1.50794,0.808848,0.14067,3.821817,0.620408,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0057,time_distant_control,315,387,28.369602,3.91238,72,0.609121,1.521374,0.82528,0.141655,3.628565,0.62519,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0058,time_distant_control,315,388,25.896945,3.68506,73,0.578371,3.106566,2.174086,0.027288,69.159561,1.366939,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0059,time_distant_control,315,389,25.078137,3.806246,74,0.516667,2.845795,2.307332,0.010553,62.750784,1.278472,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0060,time_distant_control,315,390,25.554784,3.711883,75,0.498893,3.07921,2.070184,0.01861,61.487636,1.325261,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0061,time_distant_control,315,391,25.197899,3.744588,76,0.513379,3.064197,2.022104,0.021777,54.319073,1.289096,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0062,time_distant_control,315,392,25.22733,3.532394,77,0.586414,3.562698,0.475031,0.112862,6.27004,1.283746,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0063,time_distant_control,315,393,25.911657,3.483255,78,0.385868,1.481774,2.032822,0.026899,52.383223,0.87138,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0064,time_distant_control,315,394,26.892843,3.569293,79,0.592785,3.838061,0.481607,0.094431,3.0067,1.38393,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0065,time_nearby_control,317,319,4.075109,0.305576,2,0.021897,0.282519,0.370974,0.006301,2.360758,0.138302,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0066,time_nearby_control,317,321,3.141871,0.669441,4,0.08796,0.206586,0.130513,0.002497,0.582072,0.090817,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0067,time_distant_control,317,337,16.406237,2.405274,20,1.170827,4.278151,0.731398,0.070266,1.754289,1.581365,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0068,time_distant_control,317,338,17.433884,2.524947,21,1.11876,4.203607,0.735528,0.068674,2.398703,1.551595,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0069,time_distant_control,317,339,17.150153,2.643047,22,0.084923,0.269998,0.556924,0.095038,1.1103,0.201563,posthoc_structural_comparison_no_selector_no_ranking
