experiment_id,experiment_type,method,physical_vehicle_id,source_pair_id,target_pair_id,sar_frame,prior_region,prediction_region,search_window,component_count_raw,component_count_after_gate,selected_component_id,selection_status,distance_to_prediction,area_change_ratio,intensity_change,overlap_with_previous,motion_direction_consistent,depth_trend_consistent,optical_constraint_used,optical_state_frame,optical_velocity_x,optical_depth_velocity,response_switch_event,stop_reason,image_path_loaded,forbidden_fields_asserted
ADJ_0204_TO_0205,adjacent_hidden_anchor,C2,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0205,29,"975.265,1189.104,1157.542,1261.204","977.959,1210.469,1160.236,1282.569","913.959,1178.469,1224.236,1314.569",15,2,,ambiguous_response,,1,,0.53055,NOT_TESTED,NOT_TESTED,true,14,20.385746,0.274747,NOT_TESTED,multiple_components_after_hard_gate_no_ranking,true,no_target_box_no_target_center_no_future_endpoint
ADJ_0204_TO_0205,adjacent_hidden_anchor,C2,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0205,30,"977.959,1210.469,1160.236,1282.569","981.151,1191.114,1163.428,1263.214","916.652,1199.834,1226.929,1334.000",13,1,cc_007,selected_unique_component_after_hard_gate,40.722528,1,,0.560973,true,true,true,14,20.385746,0.274747,false,unique_component_after_hard_gate,true,no_target_box_no_target_center_no_future_endpoint
ADJ_0204_TO_0205,adjacent_hidden_anchor,C2,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0205,31,"981.151,1191.114,1163.428,1263.214","984.093,1192.119,1166.370,1264.219","920.093,1160.119,1230.370,1296.219",19,2,,ambiguous_response,,1,,0.942013,NOT_TESTED,NOT_TESTED,true,15,23.532095,-0.131622,NOT_TESTED,multiple_components_after_hard_gate_no_ranking,true,no_target_box_no_target_center_no_future_endpoint
ADJ_0205_TO_0206,adjacent_hidden_anchor,C0,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,WGV35A_PAIR_0206,31,"990.094,1171.077,1154.017,1239.729","990.094,1171.077,1154.017,1239.729","990.094,1171.077,1154.017,1239.729",0,0,,source_anchor_initialized,,1,,1,NOT_TESTED,NOT_TESTED,false,,,,false,source_anchor_only,false,no_target_box_no_target_center_no_future_endpoint
ADJ_0205_TO_0206,adjacent_hidden_anchor,C0,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,WGV35A_PAIR_0206,32,"990.094,1171.077,1154.017,1239.729","990.094,1171.077,1154.017,1239.729","990.094,1171.077,1154.017,1239.729",0,0,,fixed_anchor_no_sar_response_read,,1,,1,NOT_TESTED,NOT_TESTED,false,,,,false,fixed_anchor_no_sar_response_read,false,no_target_box_no_target_center_no_future_endpoint
ADJ_0205_TO_0206,adjacent_hidden_anchor,C0,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,WGV35A_PAIR_0206,33,"990.094,1171.077,1154.017,1239.729","990.094,1171.077,1154.017,1239.729","990.094,1171.077,1154.017,1239.729",0,0,,fixed_anchor_no_sar_response_read,,1,,1,NOT_TESTED,NOT_TESTED,false,,,,false,fixed_anchor_no_sar_response_read,false,no_target_box_no_target_center_no_future_endpoint
ADJ_0205_TO_0206,adjacent_hidden_anchor,C0,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,WGV35A_PAIR_0206,34,"990.094,1171.077,1154.017,1239.729","990.094,1171.077,1154.017,1239.729","990.094,1171.077,1154.017,1239.729",0,0,,fixed_anchor_no_sar_response_read,,1,,1,NOT_TESTED,NOT_TESTED,false,,,,false,fixed_anchor_no_sar_response_read,false,no_target_box_no_target_center_no_future_endpoint
ADJ_0205_TO_0206,adjacent_hidden_anchor,C0,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,WGV35A_PAIR_0206,35,"990.094,1171.077,1154.017,1239.729","990.094,1171.077,1154.017,1239.729","990.094,1171.077,1154.017,1239.729",0,0,,fixed_anchor_no_sar_response_read,,1,,1,NOT_TESTED,NOT_TESTED,false,,,,false,fixed_anchor_no_sar_response_read,false,no_target_box_no_target_center_no_future_endpoint
ADJ_0205_TO_0206,adjacent_hidden_anchor,C0,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,WGV35A_PAIR_0206,36,"990.094,1171.077,1154.017,1239.729","990.094,1171.077,1154.017,1239.729","990.094,1171.077,1154.017,1239.729",0,0,,fixed_anchor_no_sar_response_read,,1,,1,NOT_TESTED,NOT_TESTED,false,,,,false,fixed_anchor_no_sar_response_read,false,no_target_box_no_target_center_no_future_endpoint
ADJ_0205_TO_0206,adjacent_hidden_anchor,C0,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,WGV35A_PAIR_0206,37,"990.094,1171.077,1154.017,1239.729","990.094,1171.077,1154.017,1239.729","990.094,1171.077,1154.017,1239.729",0,0,,fixed_anchor_no_sar_response_read,,1,,1,NOT_TESTED,NOT_TESTED,false,,,,false,fixed_anchor_no_sar_response_read,false,no_target_box_no_target_center_no_future_endpoint
