atom_id,sar_frame,candidate_role,graph_role_class,role_rule_provenance,role_inputs
R21A00147,273,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=32;peak=62;axis1=22.959551;axis2=14.760049;orientation=34.384494
R21A00148,273,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=31;peak=67;axis1=38.925618;axis2=9.004449;orientation=-4.256546
R21A00149,276,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=1307;peak=174;axis1=145.935769;axis2=106.947958;orientation=19.955138
R21A00150,276,body_core_candidate,core_member_candidate,dense_bottom_or_midbody_energy_support,area=214;peak=140;axis1=59.847039;axis2=24.960531;orientation=14.273273
R21A00151,276,endpoint_hotspot_candidate,core_member_candidate,local_endpoint_like_peak_support,area=78;peak=104;axis1=36.932658;axis2=7.981585;orientation=87.20276
R21A00152,276,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=18;peak=90;axis1=13.151574;axis2=4.714407;orientation=30.801836
R21A00153,276,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=15;peak=78;axis1=27.718514;axis2=9.553269;orientation=8.803558
R21A00154,278,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=1196;peak=179;axis1=152.180547;axis2=96.317941;orientation=15.398919
R21A00155,278,body_core_candidate,core_member_candidate,dense_bottom_or_midbody_energy_support,area=210;peak=164;axis1=57.611945;axis2=35.204525;orientation=18.705603
R21A00156,278,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=17;peak=91;axis1=19.672003;axis2=10.01531;orientation=-75.181513
R21A00157,279,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=1196;peak=171;axis1=152.599668;axis2=99.143461;orientation=13.124594
R21A00158,279,body_core_candidate,core_member_candidate,dense_bottom_or_midbody_energy_support,area=254;peak=170;axis1=51.861958;axis2=38.317571;orientation=19.016674
R21A00159,279,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=29;peak=95;axis1=38.976174;axis2=12.637839;orientation=-18.829108
R21A00160,279,isolated_small_atom,optional_support_candidate,small_isolated_support_not_global_veto,area=19;peak=87;axis1=39.876257;axis2=11.082411;orientation=56.519177
R21A00161,280,unresolved_atom,core_member_candidate,support_visible_but_role_not_decisive,area=1178;peak=145;axis1=157.421324;axis2=98.624945;orientation=11.252789
R21A00162,280,body_core_candidate,core_member_candidate,dense_bottom_or_midbody_energy_support,area=259;peak=151;axis1=50.338888;axis2=30.904959;orientation=8.591168
