sar_frame,min,max,mean,std,p50,p90,p95,p99,nonzero_ratio,saturated_255_ratio,unique_value_count,color_luma_sampled,color_luma_max,color_luma_mean,color_luma_p99
73,0,251,26.57065412,22.81886148,37,51,54,71,0.60727793,0,200,false,,,
74,0,252,23.63053547,20.34000095,32,45,48,64,0.60683133,0,183,false,,,
75,0,251,20.83913784,17.85726321,29,39,43,55,0.60706583,0,166,true,255,123.37228212,253
76,0,250,19.21442886,16.4991281,26,37,39,51,0.60690636,0,146,false,,,
77,0,252,20.6420439,17.62395619,29,39,41,53,0.60718991,0,161,false,,,
78,0,255,23.776448,20.36590892,32,45,48,61,0.60725486,0.0000003248,171,false,,,
79,0,255,27.53172266,23.50627799,38,52,57,72,0.60757641,0.0000003248,190,false,,,
80,0,248,27.47863308,23.52235995,38,52,57,72,0.60741629,0,184,false,,,
81,0,253,25.5330686,21.78395298,36,48,52,66,0.60742083,0,175,false,,,
82,0,250,25.4492418,21.75308174,34,48,52,65,0.60725876,0,175,false,,,
83,0,248,25.58148146,21.76880778,36,48,52,66,0.60741336,0,171,false,,,
84,0,255,25.85356618,22.09054955,36,50,53,66,0.60732924,0.0000003248,175,false,,,
85,0,244,27.39704281,23.36004934,38,52,55,71,0.60750496,0,177,false,,,
86,0,252,26.7666548,22.88063453,37,51,54,69,0.60728734,0,173,false,,,
87,0,251,27.71757416,23.612763,38,53,57,71,0.60748742,0,182,false,,,
88,0,252,28.90542803,24.70647089,39,55,59,74,0.60737536,0,186,false,,,
89,0,253,25.30618876,21.57541914,34,48,52,65,0.60743155,0,171,false,,,
90,0,255,23.32878437,19.94805536,32,45,47,60,0.60724545,0.0000003248,158,false,,,
91,0,251,25.75362081,21.9881275,36,50,52,66,0.60742668,0,176,false,,,
92,0,251,28.23841199,24.18031087,38,54,58,72,0.60726526,0,194,false,,,
93,0,250,24.23446834,20.6838171,33,46,50,62,0.60708532,0,170,false,,,
94,0,252,28.76877636,24.61229408,39,55,59,74,0.60726623,0,197,false,,,
95,0,255,27.46624056,23.41493185,38,52,55,69,0.60729027,0.0000003248,185,false,,,
96,0,249,28.12574378,24.03370187,38,54,58,72,0.60718568,0,190,false,,,
97,0,250,24.60620708,20.95846487,34,47,50,62,0.60727793,0,164,false,,,
98,0,253,26.52741361,22.64213673,37,51,54,67,0.60723538,0,183,false,,,
99,0,249,24.27566135,20.71647297,33,46,50,61,0.60717334,0,176,false,,,
100,0,251,21.39957134,18.28200151,30,41,44,54,0.60631783,0,163,true,255,124.51655119,253
101,0,253,22.68849598,19.25158842,32,43,46,58,0.60671311,0,171,false,,,
102,0,243,24.23845519,20.66727306,33,46,50,61,0.60659066,0,181,false,,,
103,0,252,24.35588196,20.72110773,33,46,50,61,0.60668225,0,178,false,,,
104,0,252,25.15579017,21.4660919,34,48,51,64,0.60662476,0,182,false,,,
105,0,255,23.38248001,19.86446674,32,45,47,58,0.60675403,0.0000003248,173,false,,,
106,0,250,24.01896961,20.48663013,33,46,48,61,0.6066043,0,176,false,,,
107,0,252,25.30252248,21.5400712,34,48,51,64,0.6068401,0,189,false,,,
108,0,250,24.08563688,20.57277255,33,46,50,61,0.60662152,0,183,false,,,
109,0,249,19.54462706,16.68455223,26,38,40,50,0.60668647,0,155,false,,,
110,0,253,19.20126494,16.42112761,26,37,39,48,0.60653512,0,157,false,,,
111,0,252,22.65420777,19.26960459,31,43,46,57,0.60704927,0,181,false,,,
112,0,251,23.72395442,20.25545475,32,45,48,60,0.60695443,0,188,false,,,
113,0,252,23.00166327,19.57780137,32,44,46,58,0.60708078,0,186,false,,,
114,0,253,23.78882981,20.31916388,32,45,48,60,0.60688362,0,192,false,,,
115,0,252,22.41792644,19.07634904,31,43,45,57,0.60698529,0,186,false,,,
116,0,251,22.46563254,19.19639603,31,43,46,57,0.60679658,0,192,false,,,
117,0,252,20.89257917,17.77636573,29,39,43,52,0.60699211,0,182,false,,,
118,0,255,20.16026291,17.21236369,27,38,41,51,0.60678359,0.0000003248,181,false,,,
119,0,255,20.58649077,17.4597578,29,39,41,51,0.60702134,0.0000003248,180,false,,,
120,0,252,21.67132119,18.47275415,30,41,44,54,0.60700217,0,184,false,,,
121,0,253,22.23825771,18.91589147,31,43,45,55,0.60712202,0,188,false,,,
122,0,250,23.02782642,19.66290212,32,44,47,57,0.60699276,0,193,false,,,
123,0,245,21.14391147,17.96195914,30,40,43,52,0.60710773,0,182,false,,,
124,0,249,21.10417029,17.98993909,29,40,43,52,0.60690863,0,185,false,,,
125,0,253,20.24048678,17.18884665,29,38,41,50,0.60699243,0,177,true,255,122.28857939,253
126,0,250,20.61156164,17.56747483,29,39,41,51,0.60692812,0,180,false,,,
127,0,255,22.87714884,19.46498643,31,44,46,57,0.60718991,0.0000003248,200,false,,,
128,0,252,22.60321865,19.27374799,31,44,46,55,0.60690993,0,194,false,,,
129,0,252,20.7321269,17.60347053,29,39,43,51,0.60698269,0,171,false,,,
130,0,251,22.5925943,19.23687125,31,43,46,55,0.60697587,0,182,false,,,
131,0,250,24.16435662,20.4971121,33,46,50,59,0.60729839,0,187,false,,,
132,0,249,23.96944595,20.40196517,33,46,48,59,0.60712657,0,181,false,,,
133,0,253,24.77358266,21.02655106,34,47,51,60,0.60721264,0,180,false,,,
134,0,250,25.06032372,21.34663772,34,48,51,61,0.60711228,0,182,false,,,
135,0,251,26.01220869,22.10230454,36,50,53,64,0.60727468,0,192,false,,,
136,0,255,24.70498319,21.0527854,33,47,51,61,0.60705836,0.0000003248,181,false,,,
137,0,251,25.80634076,21.91753817,36,50,52,64,0.60734094,0,183,false,,,
138,0,249,26.36779606,22.45696023,37,51,54,65,0.60719543,0,186,false,,,
139,0,250,26.78009154,22.77544512,37,51,54,66,0.60731235,0,188,false,,,
140,0,255,27.4402005,23.40865791,38,53,57,68,0.60711845,0.0000003248,196,false,,,
141,0,248,25.36509605,21.55915098,34,48,52,62,0.60715905,0,180,false,,,
142,0,252,26.36169967,22.476785,36,51,54,66,0.60705154,0,182,false,,,
143,0,248,27.743179,23.6131267,38,53,57,69,0.6073169,0,188,false,,,
144,0,251,25.66970274,21.8883128,36,50,52,64,0.60698431,0,170,false,,,
145,0,252,30.21858882,25.73793566,41,58,61,75,0.60731495,0,187,false,,,
146,0,249,30.14272337,25.72344027,41,58,61,75,0.60708402,0,190,false,,,
147,0,251,27.96540973,23.76232682,39,53,57,69,0.60718049,0,180,false,,,
148,0,250,28.5243862,24.30492321,39,54,58,71,0.6070785,0,182,false,,,
149,0,251,30.85360743,26.29308364,43,59,62,76,0.60718633,0,196,false,,,
