response_unit_id,sar_frame,threshold_setting,threshold_value,component_count,largest_component_pixels,core_component_persistent,principal_axis_angle_to_range_deg,range_p80_width_m,azimuth_p80_width_m,scale_yaw_feasible,threshold_stability_count,principal_axis_angle_std_deg,range_p80_width_std_m,azimuth_p80_width_std_m,scale_yaw_feasible_fraction
R21B00017,30,positive_weight_q70,27,52,398,true,76.721366,0.436305,0.724763,false,3,0.080379,0.087898,0.146627,0
R21B00017,30,positive_weight_q85,43,23,239,true,76.55565,0.327749,0.530777,false,3,0.080379,0.087898,0.146627,0
R21B00018,30,positive_weight_q50,17,9,106,true,54.988114,0.225795,0.283906,false,3,3.002236,0.033539,0.027529,0
R21B00018,30,positive_weight_q70,25,10,65,true,61.689006,0.175154,0.25485,false,3,3.002236,0.033539,0.027529,0
R21B00018,30,positive_weight_q85,34.1,7,15,true,55.714834,0.144453,0.216679,false,3,3.002236,0.033539,0.027529,0
R21B00019,30,positive_weight_q50,17,5,131,true,7.682315,0.306728,0.281398,false,3,2.734518,0.002719,0.027182,0
R21B00019,30,positive_weight_q70,26,9,29,true,7.71349,0.310058,0.239275,false,3,2.734518,0.002719,0.027182,0
R21B00019,30,positive_weight_q85,37,8,12,true,1.897177,0.313388,0.21568,false,3,2.734518,0.002719,0.027182,0
R21B00020,30,positive_weight_q50,15,12,65,true,29.133521,0.192516,0.261123,false,3,3.202699,0.037344,0.021116,0
R21B00020,30,positive_weight_q70,23.9,8,39,true,24.781196,0.165214,0.256689,false,3,3.202699,0.037344,0.021116,0
R21B00020,30,positive_weight_q85,40,4,21,true,21.304863,0.103258,0.214277,false,3,3.202699,0.037344,0.021116,0
R21B00021,30,positive_weight_q50,15,503,4976,true,56.237241,2.437832,2.899743,true,3,13.431839,0.070379,0.264577,1
R21B00021,30,positive_weight_q70,25,334,817,true,40.154438,2.330771,2.744217,true,3,13.431839,0.070379,0.264577,1
R21B00021,30,positive_weight_q85,37,310,325,true,23.338809,2.267285,2.277129,true,3,13.431839,0.070379,0.264577,1
R21B00022,30,positive_weight_q50,16,414,4719,true,54.526385,2.394099,2.896246,true,3,12.31566,0.053356,0.263952,1
R21B00022,30,positive_weight_q70,25,318,817,true,41.771726,2.315374,2.750509,true,3,12.31566,0.053356,0.263952,1
R21B00022,30,positive_weight_q85,37,307,325,true,24.473569,2.26439,2.27786,true,3,12.31566,0.053356,0.263952,1
R21B00023,30,positive_weight_q50,16,115,1156,true,67.7563,0.779552,1.253407,false,3,0.446886,0.124145,0.215237,0
R21B00023,30,positive_weight_q70,26,69,696,true,67.627712,0.66014,1.011157,false,3,0.446886,0.124145,0.215237,0
R21B00023,30,positive_weight_q85,40,47,313,true,66.750581,0.477649,0.72675,false,3,0.446886,0.124145,0.215237,0
R21B00024,31,positive_weight_q50,13,458,4990,true,53.399814,2.415543,2.884364,true,3,12.298563,0.064452,0.230447,1
R21B00024,31,positive_weight_q70,20,356,901,true,37.081821,2.316538,2.76068,true,3,12.298563,0.064452,0.230447,1
R21B00024,31,positive_weight_q85,29,280,454,true,23.310514,2.259541,2.345549,true,3,12.298563,0.064452,0.230447,1
R21B00025,31,positive_weight_q50,12.5,12,93,true,65.191117,0.231453,0.257577,false,3,13.291665,0.028963,0.044009,0
R21B00025,31,positive_weight_q70,21,9,55,true,52.629474,0.197394,0.202521,false,3,13.291665,0.028963,0.044009,0
R21B00025,31,positive_weight_q85,32.5,2,25,true,32.897578,0.160528,0.149785,false,3,13.291665,0.028963,0.044009,0
R21B00026,31,positive_weight_q50,12,10,117,true,18.81672,0.172338,0.330951,false,3,3.318381,0.027978,0.031774,0
R21B00026,31,positive_weight_q70,23,5,72,true,13.555559,0.134012,0.280389,false,3,3.318381,0.027978,0.031774,0
R21B00026,31,positive_weight_q85,34,6,29,true,10.820268,0.103972,0.254428,false,3,3.318381,0.027978,0.031774,0
R21B00027,31,positive_weight_q50,16,7,98,true,4.430648,0.287141,0.354883,false,3,6.056622,0.004464,0.048615,0
R21B00027,31,positive_weight_q70,23,14,34,true,1.589827,0.281673,0.301876,false,3,6.056622,0.004464,0.048615,0
R21B00027,31,positive_weight_q85,30,9,22,true,15.620524,0.276206,0.236033,false,3,6.056622,0.004464,0.048615,0
R21B00028,31,positive_weight_q50,13,458,4990,true,53.399814,2.415543,2.884364,true,3,12.298563,0.064452,0.230447,1
R21B00028,31,positive_weight_q70,20,356,901,true,37.081821,2.316538,2.76068,true,3,12.298563,0.064452,0.230447,1
R21B00028,31,positive_weight_q85,29,280,454,true,23.310514,2.259541,2.345549,true,3,12.298563,0.064452,0.230447,1
R21B00029,31,positive_weight_q50,13,458,4990,true,53.399814,2.415543,2.884364,true,3,12.298563,0.064452,0.230447,1
R21B00029,31,positive_weight_q70,20,356,901,true,37.081821,2.316538,2.76068,true,3,12.298563,0.064452,0.230447,1
R21B00029,31,positive_weight_q85,29,280,454,true,23.310514,2.259541,2.345549,true,3,12.298563,0.064452,0.230447,1
R21B00030,31,positive_weight_q50,13,458,4990,true,53.399814,2.415543,2.884364,true,3,12.298563,0.064452,0.230447,1
R21B00030,31,positive_weight_q70,20,356,901,true,37.081821,2.316538,2.76068,true,3,12.298563,0.064452,0.230447,1
R21B00030,31,positive_weight_q85,29,280,454,true,23.310514,2.259541,2.345549,true,3,12.298563,0.064452,0.230447,1
R21B00031,31,positive_weight_q50,11,260,1515,true,21.146519,2.05657,1.787906,false,3,4.100053,0.064616,0.031768,0
R21B00031,31,positive_weight_q70,17,173,649,true,17.938358,1.969504,1.795672,false,3,4.100053,0.064616,0.031768,0
R21B00031,31,positive_weight_q85,25,147,114,true,11.300611,1.898567,1.858843,false,3,4.100053,0.064616,0.031768,0
R21B00032,32,positive_weight_q50,13,283,2286,true,9.13299,2.522542,1.604621,true,3,1.809151,0.120787,0.156638,0.666667
R21B00032,32,positive_weight_q70,21,206,815,true,9.949632,2.417525,1.435141,true,3,1.809151,0.120787,0.156638,0.666667
R21B00032,32,positive_weight_q85,31,188,482,true,5.769249,2.23049,1.221776,false,3,1.809151,0.120787,0.156638,0.666667
R21B00033,32,positive_weight_q50,11,31,192,true,16.407856,0.609609,0.463957,false,3,0.967682,0.032743,0.022495,0
R21B00033,32,positive_weight_q70,18,26,57,true,15.112965,0.563542,0.441746,false,3,0.967682,0.032743,0.022495,0
R21B00033,32,positive_weight_q85,24.7,26,14,true,17.479795,0.529717,0.409181,false,3,0.967682,0.032743,0.022495,0
R21B00034,32,positive_weight_q50,10,19,92,true,72.820566,0.231453,0.307505,false,3,15.635534,0.018592,0.06288,0
R21B00034,32,positive_weight_q70,18,9,53,true,63.496254,0.200202,0.210456,false,3,15.635534,0.018592,0.06288,0
R21B00034,32,positive_weight_q85,24,5,20,true,35.988432,0.18714,0.155401,false,3,15.635534,0.018592,0.06288,0
R21B00035,32,positive_weight_q50,14,7,89,true,26.865159,0.170414,0.277564,false,3,1.516266,0.026412,0.026915,0
R21B00035,32,positive_weight_q70,26,7,37,true,23.406316,0.146636,0.238079,false,3,1.516266,0.026412,0.026915,0
R21B00035,32,positive_weight_q85,35,7,17,true,23.963953,0.106417,0.2121,false,3,1.516266,0.026412,0.026915,0
R21B00036,32,positive_weight_q50,15,11,142,true,8.667404,0.272174,0.362898,false,3,3.956608,0.010273,0.037381,0
R21B00036,32,positive_weight_q70,22,8,55,true,7.921092,0.265121,0.32435,false,3,3.956608,0.010273,0.037381,0
R21B00036,32,positive_weight_q85,28.35,12,25,true,16.662559,0.247729,0.271697,false,3,3.956608,0.010273,0.037381,0
R21B00037,32,positive_weight_q50,13,12,45,true,52.869728,0.282921,0.42882,false,3,2.763987,0.040388,0.010072,0
R21B00037,32,positive_weight_q70,19,18,26,true,48.176365,0.213147,0.43802,false,3,2.763987,0.040388,0.010072,0
R21B00037,32,positive_weight_q85,25,6,20,true,46.297226,0.187297,0.453244,false,3,2.763987,0.040388,0.010072,0
R21B00038,32,positive_weight_q50,13,409,2512,true,2.997687,2.490252,2.229705,true,3,1.836246,0.108566,0.256798,0.666667
R21B00038,32,positive_weight_q70,20,300,919,true,5.057905,2.374088,2.012425,true,3,1.836246,0.108566,0.256798,0.666667
R21B00038,32,positive_weight_q85,29,262,538,true,0.565179,2.225002,1.609846,false,3,1.836246,0.108566,0.256798,0.666667
R21B00039,32,positive_weight_q50,13,344,2497,true,3.618409,2.556571,1.787522,true,3,1.500553,0.112123,0.185567,1
R21B00039,32,positive_weight_q70,21,235,864,true,5.218088,2.44175,1.604602,true,3,1.500553,0.112123,0.185567,1
R21B00039,32,positive_weight_q85,29.3,220,496,true,1.552374,2.283096,1.335696,true,3,1.500553,0.112123,0.185567,1
R21B00040,34,positive_weight_q50,12,415,2462,true,2.787698,2.752515,1.601592,true,3,1.622184,0.148499,0.163049,1
R21B00040,34,positive_weight_q70,18,316,1460,true,6.315277,2.589635,1.445908,true,3,1.622184,0.148499,0.163049,1
R21B00040,34,positive_weight_q85,27,190,597,true,6.135406,2.389407,1.205232,true,3,1.622184,0.148499,0.163049,1
R21B00041,34,positive_weight_q50,10,26,168,true,36.534836,0.574158,0.529436,false,3,1.206511,0.026533,0.055595,0
R21B00041,34,positive_weight_q70,17,20,96,true,37.948777,0.552732,0.508436,false,3,1.206511,0.026533,0.055595,0
R21B00041,34,positive_weight_q85,27,14,61,true,39.489269,0.510306,0.402412,false,3,1.206511,0.026533,0.055595,0
R21B00042,34,positive_weight_q50,18,11,275,true,33.879434,0.505026,0.591457,false,3,1.701597,0.075544,0.03971,0
R21B00042,34,positive_weight_q70,24.3,13,130,true,32.643014,0.427659,0.558231,false,3,1.701597,0.075544,0.03971,0
R21B00042,34,positive_weight_q85,31,13,72,true,29.814066,0.320768,0.495673,false,3,1.701597,0.075544,0.03971,0
R21B00043,34,positive_weight_q50,14,8,66,true,57.64172,0.191529,0.21807,false,3,4.65377,0.028621,0.029334,0
R21B00043,34,positive_weight_q70,22.6,4,31,true,52.077915,0.172826,0.184893,false,3,4.65377,0.028621,0.029334,0
R21B00043,34,positive_weight_q85,31.4,5,13,true,46.243429,0.123663,0.146285,false,3,4.65377,0.028621,0.029334,0
R21B00044,34,positive_weight_q50,13,14,157,true,37.750557,0.298897,0.378533,false,3,12.592566,0.022134,0.042622,0
R21B00044,34,positive_weight_q70,19,17,51,true,37.254135,0.267142,0.34653,false,3,12.592566,0.022134,0.042622,0
R21B00044,34,positive_weight_q85,26,9,38,true,10.792938,0.244963,0.27647,false,3,12.592566,0.022134,0.042622,0
R21B00045,34,positive_weight_q50,11,30,183,true,16.249478,0.53943,0.518377,false,3,4.611005,0.045272,0.017456,0
R21B00045,34,positive_weight_q70,16,32,77,true,6.679891,0.504915,0.484435,false,3,4.611005,0.045272,0.017456,0
R21B00045,34,positive_weight_q85,22,25,26,true,6.269166,0.430907,0.478885,false,3,4.611005,0.045272,0.017456,0
R21B00046,34,positive_weight_q50,7,21,130,true,22.280238,0.156141,0.49907,false,3,1.050344,0.038568,0.072226,0
R21B00046,34,positive_weight_q70,13,10,82,true,19.722762,0.086383,0.48984,false,3,1.050344,0.038568,0.072226,0
R21B00046,34,positive_weight_q85,24,6,38,true,20.758616,0.066088,0.34145,false,3,1.050344,0.038568,0.072226,0
R21B00047,34,positive_weight_q50,11,835,5741,true,32.468318,2.696695,2.988002,true,3,3.521745,0.199856,0.130499,1
