artifact_key,frozen_sha256,replay_sha256,status
metric_coordinate_mapping,fbe021ad92e9f04ad76fa6ad828298a5cbcb7d2bff06bd7200e7ca241d404ec8,fbe021ad92e9f04ad76fa6ad828298a5cbcb7d2bff06bd7200e7ca241d404ec8,PASS
vehicle_body_size_reference,0af5a2b46fc08733b52f870349dd97586d719b4cdbcc41b8a977829d9c989552,0af5a2b46fc08733b52f870349dd97586d719b4cdbcc41b8a977829d9c989552,PASS
gt_metric_geometry,04a6cd1e08337727c671c18b96d96f3ad139b10e8bf51b101afc848782a0ae46,04a6cd1e08337727c671c18b96d96f3ad139b10e8bf51b101afc848782a0ae46,PASS
region_perturbation_manifest,26a6c77a309d4b820266060064242628e179400bfa73f1a4d22f704d8bb0c30a,26a6c77a309d4b820266060064242628e179400bfa73f1a4d22f704d8bb0c30a,PASS
region_feature_table,4dffd5d329c89618980af82c131f00db7cfcf9d308fa249399d905d83fbab8ec,4dffd5d329c89618980af82c131f00db7cfcf9d308fa249399d905d83fbab8ec,PASS
background_control_manifest,a259bd4d64ff394ad3019a16196625c52e0bd500da928ff3adcce9cdfda33282,a259bd4d64ff394ad3019a16196625c52e0bd500da928ff3adcce9cdfda33282,PASS
mask_censoring_audit,d27d6f81a12642b23759ebe6ce2d56997c7b35ecd8e029cb757997871255a580,d27d6f81a12642b23759ebe6ce2d56997c7b35ecd8e029cb757997871255a580,PASS
visual_review_manifest,2ffb01427260d8de305f750dfcbb1656826187be02ea9e578bf09f115a2cfd38,2ffb01427260d8de305f750dfcbb1656826187be02ea9e578bf09f115a2cfd38,PASS
