response_unit_id,source_response_box_id,source_r1_family_id,sar_frame,core_atom_ids,optional_atom_ids,core_bbox,conservative_bbox,uncertain_envelope,response_state
R21B00052,R21B00052,R21R1F00038,39,R21A00041,R21A00035;R21A00038;R21A00039;R21A00040,"1084,1171,1114,1183","1084,1171,1114,1183","982,1141,1192,1276",local_response_unit_not_complete_vehicle
R21B00053,R21B00053,R21R1F00034,39,R21A00035;R21A00039,R21A00038;R21A00040;R21A00041,"1084,1165,1192,1276","1084,1165,1192,1276","982,1141,1192,1276",local_response_unit_not_complete_vehicle
R21B00054,R21B00054,R21R1F00034,39,R21A00035;R21A00040,R21A00038;R21A00039;R21A00041,"1048,1165,1192,1276","1048,1165,1192,1276","982,1141,1192,1276",local_response_unit_not_complete_vehicle
R21B00055,R21B00055,R21R1F00036,39,R21A00039;R21A00040,R21A00035;R21A00038;R21A00041,"1048,1207,1102,1231","1048,1207,1102,1231","982,1141,1192,1276",local_response_unit_not_complete_vehicle
R21B00056,R21B00056,R21R1F00039,40,R21A00042,R21A00043;R21A00044;R21A00045;R21A00046,"1114,1171,1193,1261","1114,1171,1193,1261","994,1135,1193,1261",local_response_unit_not_complete_vehicle
R21B00057,R21B00057,R21R1F00040,40,R21A00043,R21A00042;R21A00044;R21A00045;R21A00046,"994,1135,1090,1159","994,1135,1090,1159","994,1135,1193,1261",local_response_unit_not_complete_vehicle
R21B00058,R21B00058,R21R1F00041,40,R21A00044,R21A00042;R21A00043;R21A00045;R21A00046,"1138,1135,1168,1153","1138,1135,1168,1153","994,1135,1193,1261",local_response_unit_not_complete_vehicle
R21B00059,R21B00059,R21R1F00042,40,R21A00045,R21A00042;R21A00043;R21A00044;R21A00046,"1054,1207,1108,1237","1054,1207,1108,1237","994,1135,1193,1261",local_response_unit_not_complete_vehicle
R21B00060,R21B00060,R21R1F00043,40,R21A00046,R21A00042;R21A00043;R21A00044;R21A00045,"1090,1171,1114,1183","1090,1171,1114,1183","994,1135,1193,1261",local_response_unit_not_complete_vehicle
R21B00061,R21B00061,R21R1F00039,40,R21A00042;R21A00044,R21A00043;R21A00045;R21A00046,"1114,1135,1193,1261","1114,1135,1193,1261","994,1135,1193,1261",local_response_unit_not_complete_vehicle
R21B00062,R21B00062,R21R1F00044,46,R21A00047,,"1030,1135,1193,1255","1030,1135,1193,1255","1030,1135,1193,1255",local_response_unit_not_complete_vehicle
R21B00063,R21B00063,R21R1F00045,52,R21A00048,R21A00050;R21A00051,"1024,1135,1193,1189","1024,1135,1193,1189","1024,1135,1193,1207",local_response_unit_not_complete_vehicle
R21B00064,R21B00064,R21R1F00045,52,R21A00050,R21A00048;R21A00051,"1180,1135,1193,1147","1180,1135,1193,1147","1024,1135,1193,1207",local_response_unit_not_complete_vehicle
