atom_id,sar_frame,pixel_centroid_x,pixel_centroid_y,azimuth,radial,pixel_area,support_pixel_count,support_bbox,integrated_energy,mean_energy,peak_energy,relative_energy_within_local_field,atom_axis1,atom_axis2,atom_aspect_ratio,atom_orientation,compactness,local_arc_consistency,boundary_contact,extraction_threshold,threshold_provenance,source_shell_provenance
R1A0086,80,1279.698113,1177.962264,39.484524,197.793671,53,53,"1272.000,1163.000,1290.000,1187.000",3955,74.622642,87,0.002864,24.285835,16.735393,1.451166,-88.256985,0.122685,0,false,69,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0087,80,1249.295455,1179.840909,32.26717,178.45192,44,44,"1236.000,1175.000,1266.000,1187.000",3380,76.818182,91,0.002447,26.772369,4.754579,5.63086,6.665304,0.122222,0.430403,false,69,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0088,80,1315.785714,1183.071429,47.63892,219.088943,14,14,"1308.000,1175.000,1326.000,1199.000",1009,72.071429,76,0.000731,32.297026,10.856754,2.974833,47.693326,0.032407,0.998794,false,69,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0089,80,1222.5311,1217.351675,31.129303,133.532059,418,418,"1200.000,1181.000,1260.000,1241.000",33563,80.294258,149,0.024302,71.705092,44.54725,1.609641,28.1072,0.116111,0.93172,false,69,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0090,80,1177.666667,1259.730159,17.513681,76.612564,63,63,"1146.000,1241.000,1212.000,1271.000",4544,72.126984,80,0.00329,71.598193,23.653388,3.026974,-4.233036,0.031818,0.495566,true,69,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0091,81,1205.892391,1150.029348,15.613058,191.582748,920,920,"1146.000,1133.000,1296.000,1187.000",77320,84.043478,223,0.05706,151.195885,35.698671,4.235336,5.466114,0.11358,0.765167,true,68,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0092,81,1306.761905,1138.619048,38.5107,245.361542,42,42,"1302.000,1133.000,1314.000,1145.000",3391,80.738095,103,0.002502,12.527746,6.163741,2.032491,46.531327,0.291667,0.821743,true,68,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0093,81,1256.695652,1180.26087,34.301067,182.17247,23,23,"1242.000,1175.000,1272.000,1187.000",1744,75.826087,90,0.001287,28.81719,2.887279,9.980742,5.654102,0.063889,0.362608,false,68,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0094,81,1225.611905,1217.509524,32.292847,135.033524,420,420,"1200.000,1181.000,1260.000,1241.000",33254,79.17619,158,0.024541,72.643783,39.84224,1.823286,29.897677,0.116667,0.945658,false,68,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
R1A0095,81,1189.268293,1260.634146,26.687521,78.817368,41,41,"1176.000,1241.000,1212.000,1271.000",2925,71.341463,81,0.002159,35.501767,19.704033,1.801751,21.268689,0.037963,0.878155,false,68,frame_local_source_shell_p96_2_or_mean_plus_0_85std; no gt; no polarity,a1_7r_source_shell_nearest_runtime_anchor
