component_id,scene,sar_frame,extraction_profile,azimuth_center,radial_pixel_center,radial_band,component_cell_box_count,persistent_static_overlap_ratio,recurrent_background_overlap_ratio,static_peak_overlap_ratio,stable_gradient_overlap_ratio,background_structure_pressure
WGV33D_MAIN_F0000_C000001,GM_RM011,0,main,-49.4727,202,R1,11,0,0,0,1,0.417896
WGV33D_MAIN_F0000_C000002,GM_RM011,0,main,-46.0146,70,R0,4,0,0.75,0,1,0.98418054
WGV33D_MAIN_F0000_C000003,GM_RM011,0,main,-38.9839,162,R1,2,0,0,0,1,0.42534813
WGV33D_MAIN_F0000_C000004,GM_RM011,0,main,-37.4839,186,R1,5,0,0,0,1,0.45208062
WGV33D_MAIN_F0000_C000005,GM_RM011,0,main,-29.9895,66.2773,R0,32,0,0.9375,0.0359375,1,1
WGV33D_MAIN_F0000_C000006,GM_RM011,0,main,-32.704,117.5681,R0,18,0,0.05555556,0,1,0.49662795
WGV33D_MAIN_F0000_C000007,GM_RM011,0,main,-32.5429,186,R1,3,0,1,0.15,1,1
WGV33D_MAIN_F0000_C000008,GM_RM011,0,main,-23.0287,178,R1,6,0.16666667,0.83333333,0.15833333,1,1
WGV33D_MAIN_F0000_C000009,GM_RM011,0,main,-16.2995,106.4557,R0,40,0,0.525,0,1,0.81484355
WGV33D_MAIN_F0000_C000010,GM_RM011,0,main,-13.2926,62.1566,R0,11,0.18181818,0.81818182,0.15,1,1
WGV33D_MAIN_F0000_C000011,GM_RM011,0,main,-8.6758,62.0979,R0,17,0,0.94117647,0,1,1
WGV33D_MAIN_F0000_C000012,GM_RM011,0,main,-6.5276,106.9756,R0,24,0,0.54166667,0,1,0.83174103
WGV33D_MAIN_F0000_C000013,GM_RM011,0,main,-1.6474,64.9131,R0,15,0,1,0,1,1
WGV33D_MAIN_F0000_C000014,GM_RM011,0,main,3.1531,58.4977,R0,12,0,1,0,1,1
WGV33D_MAIN_F0000_C000015,GM_RM011,0,main,7.6569,63.3807,R0,11,0,0.72727273,0,1,0.97130113
WGV33D_MAIN_F0000_C000016,GM_RM011,0,main,16.2501,275.8731,R2,14,0,0,0,1,0.42237582
WGV33D_MAIN_F0000_C000017,GM_RM011,0,main,19.5815,71.1191,R0,20,0,0.75,0,1,0.98668407
WGV33D_MAIN_F0001_C000031,GM_RM011,1,main,-48.3698,198,R1,7,0,0,0,1,0.41928113
WGV33D_MAIN_F0001_C000032,GM_RM011,1,main,-28.0409,186,R1,2,0,1,0,1,1
WGV33D_MAIN_F0001_C000033,GM_RM011,1,main,-24.0542,63.4399,R0,19,0.15789474,0.84210526,0.16052632,1,1
WGV33D_MAIN_F0001_C000034,GM_RM011,1,main,-18.2538,63.0111,R0,6,0,0.83333333,0,1,1
WGV33D_MAIN_F0001_C000035,GM_RM011,1,main,-14.5518,178,R1,3,0,1,0,1,1
WGV33D_MAIN_F0001_C000036,GM_RM011,1,main,0.1059,62.2163,R0,136,0.08823529,0.82352941,0.06544118,1,1
WGV33D_MAIN_F0001_C000037,GM_RM011,1,main,-4.1642,106.4205,R0,51,0,0.66666667,0,1,0.91623017
WGV33D_MAIN_F0001_C000038,GM_RM011,1,main,22.0634,71.1438,R0,10,0,0.9,0,1,1
WGV33D_MAIN_F0002_C000046,GM_RM011,2,main,-50.4979,246,R1,3,0,0.33333333,0,1,0.67364103
WGV33D_MAIN_F0002_C000047,GM_RM011,2,main,-46.0202,198,R1,4,0,0,0,1,0.41771581
WGV33D_MAIN_F0002_C000048,GM_RM011,2,main,-40.4557,198,R1,5,0,0,0,1,0.44717145
WGV33D_MAIN_F0002_C000049,GM_RM011,2,main,-19.7202,113.6214,R0,21,0,0.0952381,0,1,0.52158075
WGV33D_MAIN_F0002_C000050,GM_RM011,2,main,-18.1057,62.462,R0,29,0.06896552,0.72413793,0.07241379,1,1
WGV33D_MAIN_F0002_C000051,GM_RM011,2,main,-13.2471,177.0073,R1,6,0,1,0.075,1,1
WGV33D_MAIN_F0002_C000052,GM_RM011,2,main,-3.0065,105.5739,R0,66,0,0.6969697,0,1,0.93653383
WGV33D_MAIN_F0002_C000053,GM_RM011,2,main,-3.7491,63.1541,R0,19,0,0.94736842,0,1,1
WGV33D_MAIN_F0002_C000054,GM_RM011,2,main,11.8467,62.2125,R0,35,0,0.8,0,1,1
WGV33D_MAIN_F0002_C000055,GM_RM011,2,main,25.5603,278.8446,R2,10,0,0,0.04,0.99811924,0.42738242
WGV33D_MAIN_F0002_C000056,GM_RM011,2,main,28.4759,73.1185,R0,17,0,0.64705882,0,1,0.89779812
WGV33D_MAIN_F0003_C000067,GM_RM011,3,main,-48.3461,158.6354,R1,10,0,0,0,1,0.42170774
WGV33D_MAIN_F0003_C000068,GM_RM011,3,main,-40.002,196.0277,R1,8,0,0,0,1,0.44767563
WGV33D_MAIN_F0003_C000069,GM_RM011,3,main,-31.7916,68.2568,R0,8,0,1,0,1,1
WGV33D_MAIN_F0003_C000070,GM_RM011,3,main,-26.0313,174,R1,2,0,1,0.225,1,1
WGV33D_MAIN_F0003_C000071,GM_RM011,3,main,-13.9229,63.0757,R0,48,0.02083333,0.89583333,0.01979167,1,1
WGV33D_MAIN_F0003_C000072,GM_RM011,3,main,-17.4364,113.2707,R0,21,0,0.04761905,0,1,0.48685568
WGV33D_MAIN_F0003_C000073,GM_RM011,3,main,-8.0997,103.5862,R0,20,0,0.5,0,1,0.80253005
WGV33D_MAIN_F0003_C000074,GM_RM011,3,main,-9.9783,218,R1,2,0,0,0,1,0.43878373
WGV33D_MAIN_F0003_C000075,GM_RM011,3,main,-8.0435,182,R1,2,1,0,0.7,1,1
WGV33D_MAIN_F0003_C000076,GM_RM011,3,main,-1.6655,63.0245,R0,29,0,0.89655172,0,1,1
WGV33D_MAIN_F0003_C000077,GM_RM011,3,main,-4.2638,195.264,R1,8,0,0.25,0,1,0.61986476
WGV33D_MAIN_F0003_C000078,GM_RM011,3,main,2.8307,107.2741,R0,30,0,0.8,0,1,1
WGV33D_MAIN_F0003_C000079,GM_RM011,3,main,12.68,62.3923,R0,33,0,0.87878788,0,1,1
WGV33D_MAIN_F0003_C000080,GM_RM011,3,main,20.1614,66.1882,R0,38,0,0.89473684,0.01184211,1,1
WGV33D_MAIN_F0003_C000081,GM_RM011,3,main,27.315,280.4885,R2,6,0,0,0.01666667,0.99952797,0.43239481
WGV33D_MAIN_F0003_C000082,GM_RM011,3,main,31.4664,74.4545,R0,18,0,0.61111111,0,1,0.8751999
WGV33D_MAIN_F0003_C000083,GM_RM011,3,main,33.0413,210,R1,2,0,1,0,1,1
WGV33D_MAIN_F0004_C000098,GM_RM011,4,main,-48.3397,154.6079,R1,10,0,0.1,0,1,0.49953954
WGV33D_MAIN_F0004_C000099,GM_RM011,4,main,-44.5382,134,R1,3,0,0,0,1,0.45298539
WGV33D_MAIN_F0004_C000100,GM_RM011,4,main,-40.1421,193.3742,R1,8,0,0,0,1,0.44150518
WGV33D_MAIN_F0004_C000101,GM_RM011,4,main,-29.1886,65.8465,R0,12,0,0.91666667,0.0375,1,1
WGV33D_MAIN_F0004_C000102,GM_RM011,4,main,-23.497,158,R1,3,0,0.33333333,0,1,0.69349525
WGV33D_MAIN_F0004_C000103,GM_RM011,4,main,-12.1515,63.1024,R0,24,0,1,0,1,1
WGV33D_MAIN_F0004_C000104,GM_RM011,4,main,-15.853,187.2777,R1,4,0.5,0.5,0.575,1,1
WGV33D_MAIN_F0004_C000105,GM_RM011,4,main,-9.9716,174,R1,2,0,1,0,1,1
WGV33D_MAIN_F0004_C000106,GM_RM011,4,main,-7.1505,183.2236,R1,4,0.5,0.5,0.4625,1,1
WGV33D_MAIN_F0004_C000107,GM_RM011,4,main,-0.6771,63.1645,R0,35,0,0.85714286,0,1,1
WGV33D_MAIN_F0004_C000108,GM_RM011,4,main,-2.0282,194,R1,4,0,0.25,0,1,0.62969158
WGV33D_MAIN_F0004_C000109,GM_RM011,4,main,0.4991,106.8893,R0,6,0,0.83333333,0,1,1
WGV33D_MAIN_F0004_C000110,GM_RM011,4,main,2.2152,223.9468,R1,18,0,0.11111111,0,1,0.5269067
WGV33D_MAIN_F0004_C000111,GM_RM011,4,main,8.3278,107.5537,R0,20,0,0.95,0,1,1
WGV33D_MAIN_F0004_C000112,GM_RM011,4,main,16.0678,65.2863,R0,35,0,0.8,0,1,1
WGV33D_MAIN_F0004_C000113,GM_RM011,4,main,22.2214,63.2454,R0,14,0,1,0.03214286,1,1
WGV33D_MAIN_F0004_C000114,GM_RM011,4,main,27.98,74,R0,4,0,1,0,1,1
WGV33D_MAIN_F0004_C000115,GM_RM011,4,main,28.4908,282.5964,R2,10,0,0,0.04,0.99442773,0.42616247
WGV33D_MAIN_F0004_C000116,GM_RM011,4,main,32.4802,75.1014,R0,6,0,0.66666667,0,1,0.91612498
WGV33D_MAIN_F0005_C000134,GM_RM011,5,main,-48.0196,154,R1,4,0,0.25,0,1,0.60987135
WGV33D_MAIN_F0005_C000135,GM_RM011,5,main,-38.5048,192.4451,R1,10,0,0.1,0,1,0.52113033
WGV33D_MAIN_F0005_C000136,GM_RM011,5,main,-27.9581,65.1542,R0,17,0,0.88235294,0.04117647,1,1
WGV33D_MAIN_F0005_C000137,GM_RM011,5,main,-23.0393,182,R1,2,0,1,0,1,1
WGV33D_MAIN_F0005_C000138,GM_RM011,5,main,-16.8027,111.2375,R0,27,0,0.44444444,0,1,0.75901025
WGV33D_MAIN_F0005_C000139,GM_RM011,5,main,-15.039,186,R1,2,1,0,0.7,1,1
WGV33D_MAIN_F0005_C000140,GM_RM011,5,main,-2.0715,63.0597,R0,82,0,0.85365854,0,1,1
WGV33D_MAIN_F0005_C000141,GM_RM011,5,main,-9.5074,110,R0,5,0,0,0,1,0.4546399
WGV33D_MAIN_F0005_C000142,GM_RM011,5,main,-9.1714,164.5919,R1,4,0.5,0.5,0.35,1,1
WGV33D_MAIN_F0005_C000143,GM_RM011,5,main,-8.9654,174,R1,2,0,1,0,1,1
WGV33D_MAIN_F0005_C000144,GM_RM011,5,main,-8.5021,206,R1,3,0,0,0,1,0.44376995
WGV33D_MAIN_F0005_C000145,GM_RM011,5,main,-7.9671,218,R1,2,0,0,0,1,0.45629216
WGV33D_MAIN_F0005_C000146,GM_RM011,5,main,-6.1571,183.3867,R1,4,0.5,0.5,0.575,1,1
WGV33D_MAIN_F0005_C000147,GM_RM011,5,main,-1.4327,194,R1,3,0,0.33333333,0,1,0.68235785
WGV33D_MAIN_F0005_C000148,GM_RM011,5,main,1.0385,106,R0,2,0,1,0,1,1
WGV33D_MAIN_F0005_C000149,GM_RM011,5,main,3.0157,222,R1,6,0,0,0,1,0.44589362
WGV33D_MAIN_F0005_C000150,GM_RM011,5,main,10.7574,107.6473,R0,14,0,1,0,1,1
WGV33D_MAIN_F0005_C000151,GM_RM011,5,main,20.2861,65.984,R0,51,0,0.90196078,0.00882353,1,1
WGV33D_MAIN_F0005_C000152,GM_RM011,5,main,20.9587,70,R0,2,0,1,0,1,1
WGV33D_MAIN_F0005_C000153,GM_RM011,5,main,28.7366,283.6271,R2,6,0,0,0.03333333,0.99567817,0.43241405
WGV33D_MAIN_F0005_C000154,GM_RM011,5,main,28.5,75.8947,R0,2,0,0.5,0,1,0.8030638
WGV33D_MAIN_F0006_C000173,GM_RM011,6,main,-42.9431,130,R1,2,0,0,0,1,0.45075065
WGV33D_MAIN_F0006_C000174,GM_RM011,6,main,-25.8181,64.3125,R0,14,0,0.85714286,0.03571429,1,1
WGV33D_MAIN_F0006_C000175,GM_RM011,6,main,-15.5,160.0311,R1,2,0,1,0,1,1
WGV33D_MAIN_F0006_C000176,GM_RM011,6,main,-14.8216,184.7251,R1,4,0.75,0.25,0.6375,1,1
WGV33D_MAIN_F0006_C000177,GM_RM011,6,main,-2.0184,63.4388,R0,104,0,0.90384615,0,1,1
WGV33D_MAIN_F0006_C000178,GM_RM011,6,main,-10.4681,159.6984,R1,10,0.5,0.5,0.35,1,1
WGV33D_MAIN_F0006_C000179,GM_RM011,6,main,-7.9622,206,R1,2,0,0,0,1,0.44626306
WGV33D_MAIN_F0006_C000180,GM_RM011,6,main,-5.1259,182.8196,R1,8,0.5,0.5,0.575,1,1
WGV33D_MAIN_F0006_C000181,GM_RM011,6,main,-0.9435,194,R1,4,0,0.25,0,1,0.62819571
WGV33D_MAIN_F0006_C000182,GM_RM011,6,main,4.4946,108.5014,R0,16,0,0.875,0,1,1
WGV33D_MAIN_F0006_C000183,GM_RM011,6,main,4.6134,223.6056,R1,12,0,0,0,1,0.43469276
WGV33D_MAIN_F0006_C000184,GM_RM011,6,main,12.6169,108.5025,R0,10,0,1,0,1,1
WGV33D_MAIN_F0006_C000185,GM_RM011,6,main,20.1519,64.9432,R0,43,0,0.88372093,0,1,1
WGV33D_MAIN_F0006_C000186,GM_RM011,6,main,25.5,72.0686,R0,2,0,1,0,1,1
WGV33D_MAIN_F0006_C000187,GM_RM011,6,main,29.0249,284.1148,R2,8,0,0,0.05,0.99303466,0.42626916
WGV33D_MAIN_F0007_C000202,GM_RM011,7,main,-46.9811,150,R1,4,0,0,0,1,0.43692749
WGV33D_MAIN_F0007_C000203,GM_RM011,7,main,-36.5505,190,R1,3,0,0.33333333,0,1,0.68359533
WGV33D_MAIN_F0007_C000204,GM_RM011,7,main,-25.6474,64.6389,R0,8,0,1,0.0625,1,1
WGV33D_MAIN_F0007_C000205,GM_RM011,7,main,-15.2013,160.4533,R1,18,0.33333333,0.66666667,0.30833333,1,1
WGV33D_MAIN_F0007_C000206,GM_RM011,7,main,-4.0991,63.1893,R0,59,0,0.91525424,0,1,1
WGV33D_MAIN_F0007_C000207,GM_RM011,7,main,-9.8654,204.5944,R1,16,0,0,0,1,0.43981553
WGV33D_MAIN_F0007_C000208,GM_RM011,7,main,-8.5736,162,R1,3,1,0,0.7,1,1
WGV33D_MAIN_F0007_C000209,GM_RM011,7,main,-0.0698,194,R1,4,0,0,0,1,0.46419985
WGV33D_MAIN_F0007_C000210,GM_RM011,7,main,6.8469,108.9495,R0,24,0,0.91666667,0,1,1
WGV33D_MAIN_F0007_C000211,GM_RM011,7,main,4.9478,222,R1,4,0,0,0,1,0.44270357
WGV33D_MAIN_F0007_C000212,GM_RM011,7,main,7.5042,64.6713,R0,6,0,0.5,0,1,0.80219575
WGV33D_MAIN_F0007_C000213,GM_RM011,7,main,21.1086,66.37,R0,54,0,0.88888889,0,1,1
WGV33D_MAIN_F0007_C000214,GM_RM011,7,main,29.484,286,R2,5,0,0,0.08,0.98198709,0.41845071
WGV33D_MAIN_F0008_C000221,GM_RM011,8,main,-26.0337,64.9912,R0,12,0,1,0.04166667,1,1
WGV33D_MAIN_F0008_C000222,GM_RM011,8,main,-6.6417,63.323,R0,78,0.02564103,0.87179487,0.02692308,1,1
WGV33D_MAIN_F0008_C000223,GM_RM011,8,main,-14.0162,202,R1,4,0,0,0,1,0.453535
WGV33D_MAIN_F0008_C000224,GM_RM011,8,main,-8.9425,206,R1,4,0,0,0,1,0.44327133
WGV33D_MAIN_F0008_C000225,GM_RM011,8,main,-8.5412,162,R1,3,1,0,0.7,1,1
WGV33D_MAIN_F0008_C000226,GM_RM011,8,main,-5.3104,183.842,R1,16,0.5,0.5,0.51875,1,1
WGV33D_MAIN_F0008_C000227,GM_RM011,8,main,9.4624,110,R0,9,0,1,0,1,1
WGV33D_MAIN_F0008_C000228,GM_RM011,8,main,18.2685,68.6089,R0,32,0,0.8125,0,1,1
WGV33D_MAIN_F0008_C000229,GM_RM011,8,main,22.0261,74,R0,2,0,0.5,0,1,0.80270344
WGV33D_MAIN_F0008_C000230,GM_RM011,8,main,26.281,64.4911,R0,6,0,1,0,1,1
WGV33D_MAIN_F0008_C000231,GM_RM011,8,main,27.0117,286,R2,4,0,0,0.025,0.99943282,0.4320476
WGV33D_MAIN_F0009_C000239,GM_RM011,9,main,-32.1981,168.9646,R1,6,0,0.33333333,0,1,0.69031767
WGV33D_MAIN_F0009_C000240,GM_RM011,9,main,-27.3992,62.3936,R0,18,0,1,0.05277778,1,1
WGV33D_MAIN_F0009_C000241,GM_RM011,9,main,-30.9801,150,R1,2,0,0,0,1,0.4223836
WGV33D_MAIN_F0009_C000242,GM_RM011,9,main,-7.9593,62.5958,R0,99,0.12121212,0.80808081,0.09949495,1,1
WGV33D_MAIN_F0009_C000243,GM_RM011,9,main,-15.5742,202,R1,5,0,0,0,1,0.45640231
WGV33D_MAIN_F0009_C000244,GM_RM011,9,main,-2.0118,222,R1,2,0,1,0,1,1
WGV33D_MAIN_F0009_C000245,GM_RM011,9,main,8.9696,110,R0,8,0,1,0,1,1
WGV33D_MAIN_F0009_C000246,GM_RM011,9,main,19.5404,75.1961,R0,10,0,0.2,0,1,0.5978144
WGV33D_MAIN_F0009_C000247,GM_RM011,9,main,19.9436,66,R0,4,0,1,0,1,1
WGV33D_MAIN_F0010_C000252,GM_RM011,10,main,-49.5176,145.009,R1,6,0,0,0,1,0.42921698
WGV33D_MAIN_F0010_C000253,GM_RM011,10,main,-31.4813,167.0684,R1,6,0,0.5,0,1,0.80213229
WGV33D_MAIN_F0010_C000254,GM_RM011,10,main,-28.8518,61.2363,R0,8,0,1,0.1125,1,1
WGV33D_MAIN_F0010_C000255,GM_RM011,10,main,-11.7068,61.9415,R0,74,0.05405405,0.90540541,0.05675676,1,1
WGV33D_MAIN_F0010_C000256,GM_RM011,10,main,-23.0177,138,R1,2,0,0,0,1,0.43133159
WGV33D_MAIN_F0010_C000257,GM_RM011,10,main,-16.4879,200.9941,R1,6,0,0.5,0.225,1,0.82772973
WGV33D_MAIN_F0010_C000258,GM_RM011,10,main,-15.5341,154,R1,3,0,1,0,1,1
WGV33D_MAIN_F0010_C000259,GM_RM011,10,main,-12.0467,162,R1,2,1,0,0.7,1,1
WGV33D_MAIN_F0010_C000260,GM_RM011,10,main,-7.8353,182.644,R1,10,0.5,0.5,0.44,1,1
WGV33D_MAIN_F0010_C000261,GM_RM011,10,main,-6.5221,106,R0,3,0,1,0,1,1
WGV33D_MAIN_F0010_C000262,GM_RM011,10,main,8.8058,111.6362,R0,12,0,0.58333333,0,1,0.86705673
WGV33D_MAIN_F0010_C000263,GM_RM011,10,main,18.3019,69.9521,R0,16,0,0.5,0,1,0.80607339
WGV33D_MAIN_F0010_C000264,GM_RM011,10,main,22.2905,75.5833,R0,6,0,0.5,0,1,0.80380267
WGV33D_MAIN_F0011_C000274,GM_RM011,11,main,-49.9637,142,R1,4,0,0,0,1,0.42872742
WGV33D_MAIN_F0011_C000275,GM_RM011,11,main,-47.9893,300.6412,R2,12,0,0,0,1,0.41981682
WGV33D_MAIN_F0011_C000276,GM_RM011,11,main,-31.9273,166,R1,4,0,0.25,0,1,0.63192178
WGV33D_MAIN_F0011_C000277,GM_RM011,11,main,-31.526,222,R1,3,0,1,0.15,1,1
WGV33D_MAIN_F0011_C000278,GM_RM011,11,main,-10.9797,60.1886,R0,93,0.16129032,0.80645161,0.13602151,1,1
WGV33D_MAIN_F0011_C000279,GM_RM011,11,main,-23.1408,139.3204,R1,4,0,0,0,1,0.43879733
WGV33D_MAIN_F0011_C000280,GM_RM011,11,main,-17.5266,156.081,R1,24,0,1,0.0375,1,1
WGV33D_MAIN_F0011_C000281,GM_RM011,11,main,-16.5,199.836,R1,2,0,0.5,0.225,1,0.83170964
WGV33D_MAIN_F0011_C000282,GM_RM011,11,main,-6.5816,105.4922,R0,14,0,0.78571429,0,1,1
WGV33D_MAIN_F0011_C000283,GM_RM011,11,main,-7.9384,181.1292,R1,8,1,0,0.7,1,1
WGV33D_MAIN_F0011_C000284,GM_RM011,11,main,-4.745,194.9241,R1,6,0,0.16666667,0,1,0.56455069
WGV33D_MAIN_F0011_C000285,GM_RM011,11,main,-1.1435,222.4515,R1,15,0,0.13333333,0,1,0.52919912
WGV33D_MAIN_F0011_C000286,GM_RM011,11,main,7.0473,73.4557,R0,12,0,0.5,0,1,0.80524414
WGV33D_MAIN_F0011_C000287,GM_RM011,11,main,9.626,111.1268,R0,10,0,0.6,0,1,0.87762783
WGV33D_MAIN_F0011_C000288,GM_RM011,11,main,18.3022,67.2454,R0,8,0,1,0,1,1
WGV33D_MAIN_F0011_C000289,GM_RM011,11,main,21.4273,76.8453,R0,6,0,0.5,0,1,0.80180818
WGV33D_MAIN_F0011_C000290,GM_RM011,11,main,24.983,74,R0,2,0,1,0,1,1
WGV33D_MAIN_F0012_C000304,GM_RM011,12,main,-11.7405,59.9812,R0,97,0.15463918,0.81443299,0.13041237,1,1
WGV33D_MAIN_F0012_C000305,GM_RM011,12,main,-16.3816,153.7002,R1,18,0,0.83333333,0,1,1
WGV33D_MAIN_F0012_C000306,GM_RM011,12,main,-19.964,182,R1,2,0,1,0,1,1
WGV33D_MAIN_F0012_C000307,GM_RM011,12,main,-19.0002,162,R1,2,0,1,0,1,1
WGV33D_MAIN_F0012_C000308,GM_RM011,12,main,-12.4764,198,R1,3,0,0,0,1,0.44949503
WGV33D_MAIN_F0012_C000309,GM_RM011,12,main,-6.7348,105.5736,R0,24,0,0.5,0,1,0.80294708
WGV33D_MAIN_F0012_C000310,GM_RM011,12,main,-8.5368,226,R1,3,0,0,0,1,0.4390421
WGV33D_MAIN_F0012_C000311,GM_RM011,12,main,18.8383,71.9971,R0,43,0,0.65116279,0,1,0.91211215
WGV33D_MAIN_F0013_C000317,GM_RM011,13,main,-50.7267,138.9233,R1,6,0,0,0,1,0.42972467
WGV33D_MAIN_F0013_C000318,GM_RM011,13,main,-34.4541,166,R1,3,0,0,0,1,0.44975341
WGV33D_MAIN_F0013_C000319,GM_RM011,13,main,-23.9951,59.9803,R0,4,0.5,0.5,0.4125,1,1
WGV33D_MAIN_F0013_C000320,GM_RM011,13,main,-12.6876,59.1389,R0,45,0.26666667,0.73333333,0.21888889,1,1
WGV33D_MAIN_F0013_C000321,GM_RM011,13,main,-16.8507,152.8124,R1,16,0,0.8125,0,1,1
WGV33D_MAIN_F0013_C000322,GM_RM011,13,main,-19.4942,198,R1,3,0,1,0.15,1,1
WGV33D_MAIN_F0013_C000323,GM_RM011,13,main,-14.1909,199.7127,R1,8,0,0.25,0.05625,1,0.63571074
WGV33D_MAIN_F0013_C000324,GM_RM011,13,main,-7.3289,105.1883,R0,30,0,0.5,0,1,0.80166857
WGV33D_MAIN_F0013_C000325,GM_RM011,13,main,-8.5476,226,R1,3,0,0,0,1,0.4390421
WGV33D_MAIN_F0013_C000326,GM_RM011,13,main,-2.2312,59.0681,R0,10,0,1,0,1,1
WGV33D_MAIN_F0013_C000327,GM_RM011,13,main,9.2848,112.7142,R0,12,0,0.58333333,0,1,0.86705673
WGV33D_MAIN_F0013_C000328,GM_RM011,13,main,10.3386,72.7075,R0,8,0,0.75,0,1,0.97575949
WGV33D_MAIN_F0013_C000329,GM_RM011,13,main,20.0185,72.3353,R0,46,0,0.65217391,0,1,0.91206419
WGV33D_MAIN_F0014_C000337,GM_RM011,14,main,-36.0372,218,R1,4,0.5,0.5,0.35,1,1
WGV33D_MAIN_F0014_C000338,GM_RM011,14,main,-35.0158,142,R1,4,0,0,0,1,0.43077744
WGV33D_MAIN_F0014_C000339,GM_RM011,14,main,-18.4694,58.043,R0,36,0.30555556,0.69444444,0.26666667,1,1
WGV33D_MAIN_F0014_C000340,GM_RM011,14,main,-19.9524,198,R1,4,0,1,0.225,1,1
WGV33D_MAIN_F0014_C000341,GM_RM011,14,main,-17.5996,152.0437,R1,14,0,0.78571429,0,1,1
WGV33D_MAIN_F0014_C000342,GM_RM011,14,main,-14.4637,170,R1,3,0,1,0,1,1
WGV33D_MAIN_F0014_C000343,GM_RM011,14,main,-13.4919,200.6474,R1,6,0,0.16666667,0,1,0.57522574
WGV33D_MAIN_F0014_C000344,GM_RM011,14,main,-7.3143,105.7125,R0,33,0,0.51515152,0,1,0.81072392
WGV33D_MAIN_F0014_C000345,GM_RM011,14,main,-9.97,238,R1,4,0,0,0,1,0.43804939
WGV33D_MAIN_F0014_C000346,GM_RM011,14,main,-6.6548,59.5067,R0,29,0.13793103,0.86206897,0.10517241,1,1
WGV33D_MAIN_F0014_C000347,GM_RM011,14,main,-6.0139,194,R1,2,0,0.5,0,1,0.79777388
WGV33D_MAIN_F0014_C000348,GM_RM011,14,main,-1.7661,221.0242,R1,6,0,0.33333333,0,1,0.66901518
WGV33D_MAIN_F0014_C000349,GM_RM011,14,main,9.2435,111.9,R0,12,0,0.58333333,0,1,0.86705673
WGV33D_MAIN_F0014_C000350,GM_RM011,14,main,19.3964,70,R0,5,0,1,0,1,1
WGV33D_MAIN_F0014_C000351,GM_RM011,14,main,21.8103,80.1856,R0,8,0,0.125,0,1,0.5359477
WGV33D_MAIN_F0015_C000362,GM_RM011,15,main,-58.5103,134,R1,3,0,0,0,1,0.44077821
WGV33D_MAIN_F0015_C000363,GM_RM011,15,main,-37.5913,216.2734,R1,10,0.1,0.8,0.07,1,1
WGV33D_MAIN_F0015_C000364,GM_RM011,15,main,-35.4473,162,R1,3,0,0,0,1,0.43383377
WGV33D_MAIN_F0015_C000365,GM_RM011,15,main,-34.9794,74,R0,2,0,1,0,1,1
WGV33D_MAIN_F0015_C000366,GM_RM011,15,main,-34.6627,170.8804,R1,6,0,0.16666667,0,1,0.56429232
WGV33D_MAIN_F0015_C000367,GM_RM011,15,main,-24.4758,57.0722,R0,5,0.4,0.6,0.37,1,1
WGV33D_MAIN_F0015_C000368,GM_RM011,15,main,-21.5252,154,R1,3,0,0.33333333,0,1,0.67986473
WGV33D_MAIN_F0015_C000369,GM_RM011,15,main,-19.5353,57.3475,R0,8,0.5,0.5,0.46875,1,1
WGV33D_MAIN_F0015_C000370,GM_RM011,15,main,-19.9548,198,R1,2,0,1,0,1,1
WGV33D_MAIN_F0015_C000371,GM_RM011,15,main,-16.7143,150,R1,5,0,0.8,0,1,1
WGV33D_MAIN_F0015_C000372,GM_RM011,15,main,-14.8413,104.6841,R0,8,0,1,0,1,1
WGV33D_MAIN_F0015_C000373,GM_RM011,15,main,-13.587,170,R1,3,0,1,0,1,1
WGV33D_MAIN_F0015_C000374,GM_RM011,15,main,-14.0258,202,R1,2,0,0,0,1,0.45745485
WGV33D_MAIN_F0015_C000375,GM_RM011,15,main,-10.0988,54.6397,R0,19,0.42105263,0.57894737,0.33421053,1,1
WGV33D_MAIN_F0015_C000376,GM_RM011,15,main,-4.5342,104.9451,R0,39,0,0.58974359,0,1,0.86250753
WGV33D_MAIN_F0015_C000377,GM_RM011,15,main,-8.969,238,R1,4,0,0,0,1,0.44086094
WGV33D_MAIN_F0015_C000378,GM_RM011,15,main,-4.5795,62,R0,5,0,1,0,1,1
WGV33D_MAIN_F0015_C000379,GM_RM011,15,main,-1.9242,221.5015,R1,15,0,0.13333333,0,1,0.52919912
WGV33D_MAIN_F0015_C000380,GM_RM011,15,main,-0.0565,62,R0,2,0,1,0,1,1
WGV33D_MAIN_F0015_C000381,GM_RM011,15,main,10.0813,112.5,R0,18,0,0.72222222,0,1,0.95802086
WGV33D_MAIN_F0015_C000382,GM_RM011,15,main,11.4767,74.8325,R0,9,0,0.66666667,0,1,0.91344829
WGV33D_MAIN_F0015_C000383,GM_RM011,15,main,21.1187,70,R0,8,0,1,0,1,1
WGV33D_MAIN_F0015_C000384,GM_RM011,15,main,23.4815,78.9572,R0,6,0,0,0,1,0.456512
WGV33D_MAIN_F0015_C000385,GM_RM011,15,main,28.497,78,R0,3,0,0.33333333,0,1,0.68762057
WGV33D_MAIN_F0015_C000386,GM_RM011,15,main,50.4433,206,R1,5,0,0,0.02,0.92315277,0.38338687
WGV33D_MAIN_F0016_C000407,GM_RM011,16,main,-59.0363,134,R1,2,0,0,0,1,0.44177545
