source_family_id,target_family_id,source_frame,target_frame,source_geometry_type,target_geometry_type,center_shift_min_px,center_shift_max_px,bbox_iou_min,bbox_iou_max,shared_core_track_ids,temporal_edge_state,geometry_uncertainty
R21R1F00001,R21R1F00006,27,28,common_core_bbox,common_core_bbox,3,3,0.961538,0.961538,R21PT0001;R21PT0002,shared_core_track_diagnostic,true
R21R1F00001,R21R1F00007,27,28,common_core_bbox,single_conservative_bbox,52.392748,52.392748,0,0,R21PT0001,shared_core_track_diagnostic,true
R21R1F00001,R21R1F00008,27,28,common_core_bbox,single_conservative_bbox,29.546573,29.546573,0.05,0.05,,single_geometry_possible_correspondence,true
R21R1F00001,R21R1F00009,27,28,common_core_bbox,single_conservative_bbox,100.578328,100.578328,0,0,,single_geometry_possible_correspondence,true
R21R1F00002,R21R1F00006,27,28,single_conservative_bbox,common_core_bbox,54.332311,54.332311,0,0,R21PT0002,shared_core_track_diagnostic,true
R21R1F00002,R21R1F00007,27,28,single_conservative_bbox,single_conservative_bbox,4.242641,4.242641,0.711111,0.711111,,single_geometry_possible_correspondence,false
R21R1F00002,R21R1F00008,27,28,single_conservative_bbox,single_conservative_bbox,83.677954,83.677954,0,0,,single_geometry_possible_correspondence,false
R21R1F00002,R21R1F00009,27,28,single_conservative_bbox,single_conservative_bbox,134.465609,134.465609,0,0,,single_geometry_possible_correspondence,false
R21R1F00003,R21R1F00006,27,28,single_conservative_bbox,common_core_bbox,32.449961,32.449961,0.038462,0.038462,,single_geometry_possible_correspondence,true
R21R1F00003,R21R1F00007,27,28,single_conservative_bbox,single_conservative_bbox,82.540899,82.540899,0,0,,single_geometry_possible_correspondence,false
R21R1F00003,R21R1F00008,27,28,single_conservative_bbox,single_conservative_bbox,3,3,0.8,0.8,,single_geometry_possible_correspondence,false
R21R1F00003,R21R1F00009,27,28,single_conservative_bbox,single_conservative_bbox,81.055537,81.055537,0,0,,single_geometry_possible_correspondence,false
R21R1F00004,R21R1F00006,27,28,single_conservative_bbox,common_core_bbox,107.20541,107.20541,0,0,,single_geometry_possible_correspondence,true
R21R1F00004,R21R1F00007,27,28,single_conservative_bbox,single_conservative_bbox,139.201293,139.201293,0,0,,single_geometry_possible_correspondence,false
R21R1F00004,R21R1F00008,27,28,single_conservative_bbox,single_conservative_bbox,87.206651,87.206651,0,0,,single_geometry_possible_correspondence,false
R21R1F00004,R21R1F00009,27,28,single_conservative_bbox,single_conservative_bbox,4.242641,4.242641,0.333333,0.333333,,single_geometry_possible_correspondence,false
R21R1F00005,R21R1F00006,27,28,single_conservative_bbox,common_core_bbox,98.407317,98.407317,0,0,,single_geometry_possible_correspondence,true
