scene,case_id,detector_name,frames_checked,vehicle_detections,non_vehicle_false_positive_count,missing_vehicle_count,multi_box_same_vehicle_count,box_fit_status,edge_contact_status,timeline_fragment_risk,same_vehicle_support_status,forbidden_edge_safety_status,manual_override_pressure,overall_effect,reason
GM_RM011,GM011_bs0061_seg002_to_seg003,ultralytics_yolo8n_no_download,14,0,0,,,backend_missing,backend_missing,unknown,unknown,unknown,unknown,backend_missing,weight_missing_no_download; no local source table or no-download policy for ultralytics_yolo8n; tracker_replay_not_run
GM_RM011,GM011_bs0061_seg001_to_seg002,ultralytics_yolo8n_no_download,20,0,0,,,backend_missing,backend_missing,unknown,unknown,unknown,unknown,backend_missing,weight_missing_no_download; no local source table or no-download policy for ultralytics_yolo8n; tracker_replay_not_run
GM_RM011,GM011_forbid_bs0061_to_bs0064,ultralytics_yolo8n_no_download,31,0,0,,,backend_missing,backend_missing,unknown,unknown,unknown,unknown,backend_missing,weight_missing_no_download; no local source table or no-download policy for ultralytics_yolo8n; tracker_replay_not_run
GM_RM011,GM011_forbid_bs0056_to_bs0061,ultralytics_yolo8n_no_download,15,0,0,,,backend_missing,backend_missing,unknown,unknown,unknown,unknown,backend_missing,weight_missing_no_download; no local source table or no-download policy for ultralytics_yolo8n; tracker_replay_not_run
GM_RM017,GM017_bs_0008_leading_dark_sedan,ultralytics_yolo12n_no_download,41,0,0,,,backend_missing,backend_missing,unknown,unknown,unknown,unknown,backend_missing,weight_missing_no_download; no local source table or no-download policy for ultralytics_yolo12n; tracker_replay_not_run
GM_RM017,GM017_bs_0010_white_suv,ultralytics_yolo12n_no_download,50,0,0,,,backend_missing,backend_missing,unknown,unknown,unknown,unknown,backend_missing,weight_missing_no_download; no local source table or no-download policy for ultralytics_yolo12n; tracker_replay_not_run
GM_RM017,GM017_bs_0012_trailing_dark_sedan,ultralytics_yolo12n_no_download,53,0,0,,,backend_missing,backend_missing,unknown,unknown,unknown,unknown,backend_missing,weight_missing_no_download; no local source table or no-download policy for ultralytics_yolo12n; tracker_replay_not_run
GM_RM017,GM017_bs_0002_non_vehicle_barrier,ultralytics_yolo12n_no_download,9,0,0,,,backend_missing,backend_missing,unknown,unknown,unknown,unknown,backend_missing,weight_missing_no_download; no local source table or no-download policy for ultralytics_yolo12n; tracker_replay_not_run
GM_RM011,GM011_bs0015_seg001_to_seg002,ultralytics_yolo12n_no_download,23,0,0,,,backend_missing,backend_missing,unknown,unknown,unknown,unknown,backend_missing,weight_missing_no_download; no local source table or no-download policy for ultralytics_yolo12n; tracker_replay_not_run
GM_RM011,GM011_bs0061_seg002_to_seg003,ultralytics_yolo12n_no_download,14,0,0,,,backend_missing,backend_missing,unknown,unknown,unknown,unknown,backend_missing,weight_missing_no_download; no local source table or no-download policy for ultralytics_yolo12n; tracker_replay_not_run
GM_RM011,GM011_bs0061_seg001_to_seg002,ultralytics_yolo12n_no_download,20,0,0,,,backend_missing,backend_missing,unknown,unknown,unknown,unknown,backend_missing,weight_missing_no_download; no local source table or no-download policy for ultralytics_yolo12n; tracker_replay_not_run
GM_RM011,GM011_forbid_bs0061_to_bs0064,ultralytics_yolo12n_no_download,31,0,0,,,backend_missing,backend_missing,unknown,unknown,unknown,unknown,backend_missing,weight_missing_no_download; no local source table or no-download policy for ultralytics_yolo12n; tracker_replay_not_run
GM_RM011,GM011_forbid_bs0056_to_bs0061,ultralytics_yolo12n_no_download,15,0,0,,,backend_missing,backend_missing,unknown,unknown,unknown,unknown,backend_missing,weight_missing_no_download; no local source table or no-download policy for ultralytics_yolo12n; tracker_replay_not_run
GM_RM017,GM017_bs_0008_leading_dark_sedan,rtdetr_l_no_download,41,0,0,,,backend_missing,backend_missing,unknown,unknown,unknown,unknown,backend_missing,weight_missing_no_download; no local source table or no-download policy for ultralytics_rtdetr_l; tracker_replay_not_run
GM_RM017,GM017_bs_0010_white_suv,rtdetr_l_no_download,50,0,0,,,backend_missing,backend_missing,unknown,unknown,unknown,unknown,backend_missing,weight_missing_no_download; no local source table or no-download policy for ultralytics_rtdetr_l; tracker_replay_not_run
GM_RM017,GM017_bs_0012_trailing_dark_sedan,rtdetr_l_no_download,53,0,0,,,backend_missing,backend_missing,unknown,unknown,unknown,unknown,backend_missing,weight_missing_no_download; no local source table or no-download policy for ultralytics_rtdetr_l; tracker_replay_not_run
GM_RM017,GM017_bs_0002_non_vehicle_barrier,rtdetr_l_no_download,9,0,0,,,backend_missing,backend_missing,unknown,unknown,unknown,unknown,backend_missing,weight_missing_no_download; no local source table or no-download policy for ultralytics_rtdetr_l; tracker_replay_not_run
GM_RM011,GM011_bs0015_seg001_to_seg002,rtdetr_l_no_download,23,0,0,,,backend_missing,backend_missing,unknown,unknown,unknown,unknown,backend_missing,weight_missing_no_download; no local source table or no-download policy for ultralytics_rtdetr_l; tracker_replay_not_run
GM_RM011,GM011_bs0061_seg002_to_seg003,rtdetr_l_no_download,14,0,0,,,backend_missing,backend_missing,unknown,unknown,unknown,unknown,backend_missing,weight_missing_no_download; no local source table or no-download policy for ultralytics_rtdetr_l; tracker_replay_not_run
GM_RM011,GM011_bs0061_seg001_to_seg002,rtdetr_l_no_download,20,0,0,,,backend_missing,backend_missing,unknown,unknown,unknown,unknown,backend_missing,weight_missing_no_download; no local source table or no-download policy for ultralytics_rtdetr_l; tracker_replay_not_run
GM_RM011,GM011_forbid_bs0061_to_bs0064,rtdetr_l_no_download,31,0,0,,,backend_missing,backend_missing,unknown,unknown,unknown,unknown,backend_missing,weight_missing_no_download; no local source table or no-download policy for ultralytics_rtdetr_l; tracker_replay_not_run
GM_RM011,GM011_forbid_bs0056_to_bs0061,rtdetr_l_no_download,15,0,0,,,backend_missing,backend_missing,unknown,unknown,unknown,unknown,backend_missing,weight_missing_no_download; no local source table or no-download policy for ultralytics_rtdetr_l; tracker_replay_not_run
