competition_id,scene,competition_type,anchor_auto_node_id,candidate_auto_node_ids,candidate_relation_ids,candidate_count,top_score,second_score,score_margin,competition_status,reason
COMP_0015,GM_RM011,one_source_multiple_successors,AUTO_GM_RM011_0020,AUTO_GM_RM011_0022;AUTO_GM_RM011_0021;AUTO_GM_RM011_0024;AUTO_GM_RM011_0025;AUTO_GM_RM011_0028;AUTO_GM_RM011_0026;AUTO_GM_RM011_0027;AUTO_GM_RM011_0030;AUTO_GM_RM011_0023;AUTO_GM_RM011_0031;AUTO_GM_RM011_0029,REL_GM_RM011_00125;REL_GM_RM011_00124;REL_GM_RM011_00127;REL_GM_RM011_00128;REL_GM_RM011_00131;REL_GM_RM011_00129;REL_GM_RM011_00130;REL_GM_RM011_00133;REL_GM_RM011_00126;REL_GM_RM011_00134;REL_GM_RM011_00132,11,0.891588,0.877028,0.014560,ambiguous_competition,fixed pre-WGV1.4 competition preservation rule
COMP_0016,GM_RM011,one_source_multiple_successors,AUTO_GM_RM011_0021,AUTO_GM_RM011_0024;AUTO_GM_RM011_0026;AUTO_GM_RM011_0028;AUTO_GM_RM011_0025;AUTO_GM_RM011_0027;AUTO_GM_RM011_0023;AUTO_GM_RM011_0031;AUTO_GM_RM011_0032;AUTO_GM_RM011_0030;AUTO_GM_RM011_0029,REL_GM_RM011_00138;REL_GM_RM011_00140;REL_GM_RM011_00142;REL_GM_RM011_00139;REL_GM_RM011_00141;REL_GM_RM011_00137;REL_GM_RM011_00145;REL_GM_RM011_00146;REL_GM_RM011_00144;REL_GM_RM011_00143,10,0.897166,0.858227,0.038939,ambiguous_competition,fixed pre-WGV1.4 competition preservation rule
COMP_0017,GM_RM011,one_source_multiple_successors,AUTO_GM_RM011_0022,AUTO_GM_RM011_0024;AUTO_GM_RM011_0025;AUTO_GM_RM011_0026;AUTO_GM_RM011_0028;AUTO_GM_RM011_0027;AUTO_GM_RM011_0030;AUTO_GM_RM011_0031;AUTO_GM_RM011_0032,REL_GM_RM011_00148;REL_GM_RM011_00149;REL_GM_RM011_00150;REL_GM_RM011_00152;REL_GM_RM011_00151;REL_GM_RM011_00154;REL_GM_RM011_00155;REL_GM_RM011_00156,8,0.944931,0.827961,0.116970,ambiguous_competition,fixed pre-WGV1.4 competition preservation rule
COMP_0018,GM_RM011,one_source_multiple_successors,AUTO_GM_RM011_0023,AUTO_GM_RM011_0025;AUTO_GM_RM011_0026;AUTO_GM_RM011_0027;AUTO_GM_RM011_0028;AUTO_GM_RM011_0030;AUTO_GM_RM011_0031;AUTO_GM_RM011_0032;AUTO_GM_RM011_0029,REL_GM_RM011_00158;REL_GM_RM011_00159;REL_GM_RM011_00160;REL_GM_RM011_00161;REL_GM_RM011_00163;REL_GM_RM011_00164;REL_GM_RM011_00165;REL_GM_RM011_00162,8,0.926725,0.874411,0.052314,ambiguous_competition,fixed pre-WGV1.4 competition preservation rule
COMP_0019,GM_RM011,one_source_multiple_successors,AUTO_GM_RM011_0024,AUTO_GM_RM011_0028;AUTO_GM_RM011_0032;AUTO_GM_RM011_0027;AUTO_GM_RM011_0026;AUTO_GM_RM011_0025;AUTO_GM_RM011_0031;AUTO_GM_RM011_0030,REL_GM_RM011_00170;REL_GM_RM011_00174;REL_GM_RM011_00169;REL_GM_RM011_00168;REL_GM_RM011_00167;REL_GM_RM011_00173;REL_GM_RM011_00172,7,0.849391,0.832537,0.016854,ambiguous_competition,fixed pre-WGV1.4 competition preservation rule
COMP_0020,GM_RM011,one_source_multiple_successors,AUTO_GM_RM011_0025,AUTO_GM_RM011_0027;AUTO_GM_RM011_0028;AUTO_GM_RM011_0032;AUTO_GM_RM011_0031;AUTO_GM_RM011_0030;AUTO_GM_RM011_0029;AUTO_GM_RM011_0033,REL_GM_RM011_00176;REL_GM_RM011_00177;REL_GM_RM011_00181;REL_GM_RM011_00180;REL_GM_RM011_00179;REL_GM_RM011_00178;REL_GM_RM011_00182,7,0.948646,0.946590,0.002056,ambiguous_competition,fixed pre-WGV1.4 competition preservation rule
COMP_0021,GM_RM011,one_source_multiple_successors,AUTO_GM_RM011_0026,AUTO_GM_RM011_0027;AUTO_GM_RM011_0031;AUTO_GM_RM011_0028;AUTO_GM_RM011_0032;AUTO_GM_RM011_0030;AUTO_GM_RM011_0029;AUTO_GM_RM011_0033,REL_GM_RM011_00183;REL_GM_RM011_00187;REL_GM_RM011_00184;REL_GM_RM011_00188;REL_GM_RM011_00186;REL_GM_RM011_00185;REL_GM_RM011_00189,7,0.964380,0.948209,0.016171,ambiguous_competition,fixed pre-WGV1.4 competition preservation rule
COMP_0022,GM_RM011,one_source_multiple_successors,AUTO_GM_RM011_0027,AUTO_GM_RM011_0032;AUTO_GM_RM011_0031;AUTO_GM_RM011_0033,REL_GM_RM011_00191;REL_GM_RM011_00190;REL_GM_RM011_00192,3,0.720371,0.719771,0.000600,ambiguous_competition,fixed pre-WGV1.4 competition preservation rule
COMP_0023,GM_RM011,one_source_multiple_successors,AUTO_GM_RM011_0028,AUTO_GM_RM011_0032;AUTO_GM_RM011_0031;AUTO_GM_RM011_0030;AUTO_GM_RM011_0033;AUTO_GM_RM011_0029,REL_GM_RM011_00196;REL_GM_RM011_00195;REL_GM_RM011_00194;REL_GM_RM011_00197;REL_GM_RM011_00193,5,0.925170,0.905788,0.019382,ambiguous_competition,fixed pre-WGV1.4 competition preservation rule
COMP_0024,GM_RM011,one_source_multiple_successors,AUTO_GM_RM011_0029,AUTO_GM_RM011_0030;AUTO_GM_RM011_0031;AUTO_GM_RM011_0032,REL_GM_RM011_00198;REL_GM_RM011_00199;REL_GM_RM011_00200,3,0.938395,0.873713,0.064682,ambiguous_competition,fixed pre-WGV1.4 competition preservation rule
