edge_id,source_node_id,target_node_id,source_sar_frame,target_sar_frame,geometry_distance,radial_drift,azimuth_drift,extent_continuity_ratio,orientation_difference,energy_ratio,role_compatibility,background_conflict_consistency,edge_status,blocked_reason
R1E0034,R1N0010,R1N0014,29,30,38.809977,31.053604,5.809879,6.194854,1.049684,9.432667,true,true,blocked_by_extent_jump,blocked_by_extent_jump;blocked_by_energy_jump
R1E0035,R1N0010,R1N0015,29,30,92.39461,90.845375,5.732783,1.989512,17.916975,4.495613,true,true,blocked_by_geometry,blocked_by_geometry;blocked_by_radial_azimuth_drift
R1E0036,R1N0010,R1N0016,29,30,106.680749,51.712997,31.383106,2.059419,38.530615,4.523304,false,true,blocked_by_geometry,blocked_by_geometry;blocked_by_radial_azimuth_drift;blocked_by_role_incompatibility
R1E0037,R1N0010,R1N0017,29,30,94.458751,68.523819,23.094311,1.221342,68.904144,4.158676,false,true,blocked_by_geometry,blocked_by_geometry;blocked_by_radial_azimuth_drift;blocked_by_orientation_jump;blocked_by_role_incompatibility
R1E0038,R1N0011,R1N0013,29,30,35.41375,27.136368,5.807365,8.518413,3.897505,14.653373,true,true,blocked_by_extent_jump,blocked_by_extent_jump;blocked_by_energy_jump
R1E0039,R1N0011,R1N0014,29,30,2.58881,2.32283,0.337988,1.000526,1.125447,1.132534,true,true,ambiguous_successors,
R1E0040,R1N0011,R1N0015,29,30,59.689163,62.114601,0.260892,3.115394,15.741844,2.376276,true,true,ambiguous_successors,
R1E0041,R1N0011,R1N0016,29,30,102.35759,22.982224,36.854998,12.764516,40.705746,48.321643,false,true,blocked_by_geometry,blocked_by_geometry;blocked_by_radial_azimuth_drift;blocked_by_extent_jump;blocked_by_energy_jump;blocked_by_role_incompatibility
R1E0042,R1N0011,R1N0017,29,30,82.544389,39.793045,28.566202,7.570018,66.729013,44.426389,false,true,blocked_by_geometry,blocked_by_geometry;blocked_by_radial_azimuth_drift;blocked_by_extent_jump;blocked_by_orientation_jump;blocked_by_energy_jump;blocked_by_role_incompatibility
R1E0043,R1N0012,R1N0013,29,30,89.279037,88.121521,4.644303,2.702447,16.389632,4.495802,true,true,blocked_by_geometry,blocked_by_geometry;blocked_by_radial_azimuth_drift
R1E0044,R1N0012,R1N0014,29,30,56.33163,58.662323,1.50105,3.150452,21.412584,2.877922,true,true,ambiguous_successors,
R1E0045,R1N0012,R1N0015,29,30,3.021636,1.129448,1.423954,1.011785,4.545293,1.371619,true,true,ambiguous_successors,
R1E0046,R1N0012,R1N0016,29,30,87.140263,38.00293,35.691936,4.049514,60.992883,14.825565,false,true,blocked_by_geometry,blocked_by_geometry;blocked_by_radial_azimuth_drift;blocked_by_orientation_jump;blocked_by_energy_jump;blocked_by_role_incompatibility
R1E0047,R1N0012,R1N0017,29,30,60.837963,21.192108,27.40314,2.401571,46.441875,13.630462,false,true,blocked_by_orientation_jump,blocked_by_orientation_jump;blocked_by_energy_jump;blocked_by_role_incompatibility
R1E0048,R1N0013,R1N0018,30,31,2.555571,1.763351,0.542118,1.0382,30.712283,1.367394,true,true,unique_continuation,
R1E0049,R1N0013,R1N0019,30,31,56.292271,50.982422,4.825555,9.092536,39.311125,16.057095,true,true,blocked_by_extent_jump,blocked_by_extent_jump;blocked_by_energy_jump
R1E0050,R1N0013,R1N0020,30,31,104.694743,54.45845,30.619696,1.113483,42.930466,2.094373,true,true,blocked_by_geometry,blocked_by_geometry;blocked_by_radial_azimuth_drift
R1E0051,R1N0013,R1N0021,30,31,90.881256,69.765518,20.964094,1.011133,76.816057,2.865277,true,true,blocked_by_geometry,blocked_by_geometry;blocked_by_radial_azimuth_drift;blocked_by_orientation_jump
R1E0052,R1N0014,R1N0018,30,31,35.539312,27.695847,5.603235,8.839159,35.735235,17.692116,true,true,blocked_by_extent_jump,blocked_by_extent_jump;blocked_by_energy_jump
R1E0053,R1N0014,R1N0019,30,31,22.049013,21.523224,1.319798,1.06796,34.288173,1.241026,true,true,unique_continuation,
R1E0054,R1N0014,R1N0020,30,31,100.526025,24.999252,36.765049,9.480118,37.907514,27.098183,true,true,blocked_by_geometry,blocked_by_geometry;blocked_by_radial_azimuth_drift;blocked_by_extent_jump;blocked_by_energy_jump
R1E0055,R1N0014,R1N0021,30,31,78.490419,40.30632,27.109447,8.420185,81.83901,37.072574,true,true,blocked_by_geometry,blocked_by_geometry;blocked_by_extent_jump;blocked_by_orientation_jump;blocked_by_energy_jump
R1E0056,R1N0015,R1N0018,30,31,89.018268,87.487617,5.526139,2.838746,18.867944,8.43207,true,true,blocked_by_geometry,blocked_by_geometry;blocked_by_radial_azimuth_drift;blocked_by_energy_jump
R1E0057,R1N0015,R1N0019,30,31,35.546213,38.268547,1.242702,3.325365,51.155464,2.603912,true,true,blocked_by_orientation_jump,blocked_by_orientation_jump
R1E0058,R1N0015,R1N0020,30,31,86.306027,34.792519,36.687953,3.044593,54.774805,12.915006,true,true,blocked_by_geometry,blocked_by_geometry;blocked_by_radial_azimuth_drift;blocked_by_orientation_jump;blocked_by_energy_jump
R1E0059,R1N0015,R1N0021,30,31,58.752945,19.485451,27.032351,2.70419,64.971719,17.668805,true,true,blocked_by_orientation_jump,blocked_by_orientation_jump;blocked_by_energy_jump
R1E0060,R1N0016,R1N0018,30,31,104.937406,48.35524,31.58975,1.443327,75.315535,2.411629,false,true,blocked_by_geometry,blocked_by_geometry;blocked_by_radial_azimuth_drift;blocked_by_orientation_jump;blocked_by_role_incompatibility
R1E0061,R1N0016,R1N0019,30,31,91.223841,0.863831,35.873187,13.624818,5.292126,52.950623,false,true,blocked_by_geometry,blocked_by_geometry;blocked_by_radial_azimuth_drift;blocked_by_extent_jump;blocked_by_energy_jump;blocked_by_role_incompatibility
R1E0062,R1N0016,R1N0020,30,31,4.493993,4.339859,0.427937,1.345743,1.672785,1.574527,false,true,blocked_by_role_incompatibility,blocked_by_role_incompatibility
R1E0063,R1N0016,R1N0021,30,31,31.292997,19.646927,10.083538,1.515145,58.580691,1.1509,false,true,blocked_by_orientation_jump,blocked_by_orientation_jump;blocked_by_role_incompatibility
R1E0064,R1N0017,R1N0018,30,31,92.090243,65.166061,23.300955,1.168268,32.119224,2.217225,false,true,blocked_by_geometry,blocked_by_geometry;blocked_by_radial_azimuth_drift;blocked_by_role_incompatibility
R1E0065,R1N0017,R1N0019,30,31,67.842307,15.946991,27.584392,8.080221,77.857367,48.682223,false,true,blocked_by_extent_jump,blocked_by_extent_jump;blocked_by_orientation_jump;blocked_by_energy_jump;blocked_by_role_incompatibility
R1E0066,R1N0017,R1N0020,30,31,22.640526,12.470963,7.860859,1.252984,74.238026,1.447603,false,true,blocked_by_orientation_jump,blocked_by_orientation_jump;blocked_by_role_incompatibility
R1E0067,R1N0017,R1N0021,30,31,4.983062,2.836105,1.794743,1.112893,13.98455,1.058125,false,true,blocked_by_role_incompatibility,blocked_by_role_incompatibility
R1E0068,R1N0018,R1N0022,31,32,2.192806,0.89743,0.58051,1.039975,13.087132,1.117861,true,true,unique_continuation,
R1E0069,R1N0018,R1N0023,31,32,66.250501,60.412857,7.960084,8.999859,80.708035,18.338691,true,true,blocked_by_extent_jump,blocked_by_extent_jump;blocked_by_orientation_jump;blocked_by_energy_jump
R1E0070,R1N0018,R1N0024,31,32,50.883205,12.521561,14.853443,1.668355,32.921504,2.960907,false,true,blocked_by_role_incompatibility,blocked_by_role_incompatibility
R1E0071,R1N0018,R1N0025,31,32,40.782437,29.531525,8.895067,2.017633,76.866116,1.079219,true,true,blocked_by_orientation_jump,blocked_by_orientation_jump
R1E0072,R1N0018,R1N0026,31,32,102.427509,55.390625,29.905607,1.062135,82.579191,1.601103,true,true,blocked_by_geometry,blocked_by_geometry;blocked_by_radial_azimuth_drift;blocked_by_orientation_jump
R1E0073,R1N0018,R1N0027,31,32,89.654356,69.68396,20.522295,1.062418,45.623722,1.824084,true,true,blocked_by_geometry,blocked_by_geometry;blocked_by_radial_azimuth_drift;blocked_by_orientation_jump
R1E0074,R1N0019,R1N0022,31,32,52.876509,48.32164,3.702927,9.817222,56.936276,24.544171,true,true,blocked_by_extent_jump,blocked_by_extent_jump;blocked_by_orientation_jump;blocked_by_energy_jump
R1E0075,R1N0019,R1N0023,31,32,13.360908,11.193787,3.676648,1.048891,29.268557,1.19727,true,true,unique_continuation,
R1E0076,R1N0019,R1N0024,31,32,68.153492,36.69751,19.13688,5.65819,37.101905,65.010765,false,true,blocked_by_extent_jump,blocked_by_extent_jump;blocked_by_energy_jump;blocked_by_role_incompatibility
R1E0077,R1N0019,R1N0025,31,32,43.104284,19.687546,13.178504,4.678684,33.110476,20.344681,true,true,blocked_by_extent_jump,blocked_by_extent_jump;blocked_by_energy_jump
R1E0078,R1N0019,R1N0026,31,32,84.978114,6.171555,34.189044,10.026409,12.555783,35.154412,true,true,blocked_by_geometry,blocked_by_geometry;blocked_by_radial_azimuth_drift;blocked_by_extent_jump;blocked_by_energy_jump
R1E0079,R1N0019,R1N0027,31,32,61.548272,20.46489,24.805732,10.029085,64.35287,40.050262,true,true,blocked_by_extent_jump,blocked_by_extent_jump;blocked_by_orientation_jump;blocked_by_energy_jump
R1E0080,R1N0020,R1N0022,31,32,105.570982,51.797668,31.742324,1.031288,60.555618,1.370164,true,true,blocked_by_geometry,blocked_by_geometry;blocked_by_radial_azimuth_drift;blocked_by_orientation_jump
R1E0081,R1N0020,R1N0023,31,32,95.595284,7.717758,39.121898,9.65247,25.649216,28.088511,true,true,blocked_by_geometry,blocked_by_geometry;blocked_by_radial_azimuth_drift;blocked_by_extent_jump;blocked_by_energy_jump
