pair_id,sar_frame,split,body_axis_proxy_deg,local_range_axis_deg,relative_aspect_angle_deg,aspect_angle_ci_width_deg,absolute_range_m_grid,aspect_observability_status,center_selection_status,diagnostic_scope
WGV35A_PAIR_0097,357,calibration,179.804833,77.007741,77.202908,0.969728,42.595317,OBSERVABLE_HIGH,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0100,358,calibration,179.75846,77.693163,77.934703,0.756761,42.797695,OBSERVABLE_HIGH,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0103,359,calibration,179.808134,78.104705,78.296571,1.075786,42.859872,OBSERVABLE_HIGH,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0106,360,calibration,179.276695,79.445128,80.168433,0.821327,43.02475,OBSERVABLE_HIGH,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0109,361,guard,179.292442,80.764824,81.472382,0.500225,43.243708,OBSERVABLE_HIGH,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0112,362,guard,179.317229,80.942927,81.625698,0.496847,43.273365,OBSERVABLE_MEDIUM,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0115,363,guard,179.704501,83.253359,83.548858,0.591604,43.57028,OBSERVABLE_MEDIUM,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0118,364,guard,179.481224,83.971606,84.490382,0.750823,43.726661,OBSERVABLE_MEDIUM,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0121,365,guard,0.068554,84.08433,84.015776,0.717491,43.761633,OBSERVABLE_MEDIUM,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0123,366,guard,0.030427,86.438545,86.408118,0.693537,44.129754,OBSERVABLE_MEDIUM,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0126,367,guard,1.263257,86.828894,85.565637,1.102981,44.219914,OBSERVABLE_MEDIUM,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0130,368,guard,1.62209,87.865838,86.243748,0.639295,44.369756,OBSERVABLE_MEDIUM,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0133,369,guard,1.13212,87.287492,86.155372,0.756779,44.268762,OBSERVABLE_MEDIUM,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0135,370,guard,2.481305,89.546442,87.065137,0.748661,44.655267,OBSERVABLE_MEDIUM,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0138,371,posthoc_diagnosis,2.517582,89.838195,87.320613,0.671717,44.697448,OBSERVABLE_MEDIUM,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0140,372,posthoc_diagnosis,1.609666,91.928732,89.680934,0.492632,44.984506,OBSERVABLE_MEDIUM,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0143,373,posthoc_diagnosis,1.247178,92.672748,88.57443,0.449312,45.136793,OBSERVABLE_MEDIUM,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0146,374,posthoc_diagnosis,0.603149,93.803274,86.799875,0.643103,45.32713,OBSERVABLE_MEDIUM,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0149,375,posthoc_diagnosis,0.409015,94.21781,86.191205,0.502137,45.441844,OBSERVABLE_MEDIUM,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0152,376,posthoc_diagnosis,0.30852,93.867326,86.441194,0.7266,45.362344,OBSERVABLE_MEDIUM,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0156,377,posthoc_diagnosis,179.970796,97.405703,82.565093,0.59154,45.908567,OBSERVABLE_MEDIUM,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0159,378,posthoc_diagnosis,179.149295,96.131037,83.018258,0.631028,45.721752,OBSERVABLE_MEDIUM,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0162,379,posthoc_diagnosis,179.253793,98.503471,80.750322,0.784061,46.063913,OBSERVABLE_MEDIUM,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0165,380,posthoc_diagnosis,178.568741,98.120624,80.448117,1.051576,46.005467,OBSERVABLE_MEDIUM,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0168,381,posthoc_diagnosis,178.213934,99.685091,78.528843,1.155841,46.264984,OBSERVABLE_MEDIUM,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0170,382,posthoc_diagnosis,176.922625,99.225141,77.697484,0.802232,46.171023,OBSERVABLE_MEDIUM,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0172,383,posthoc_diagnosis,176.421332,102.717076,73.704256,0.630282,46.757425,OBSERVABLE_MEDIUM,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0175,384,posthoc_diagnosis,176.911416,101.279622,75.631794,0.549801,46.511181,OBSERVABLE_MEDIUM,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0178,385,posthoc_diagnosis,177.578478,104.375391,73.203087,0.534549,47.035306,OBSERVABLE_MEDIUM,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0180,386,posthoc_diagnosis,178.053154,104.427424,73.62573,0.781584,47.040883,OBSERVABLE_MEDIUM,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0181,387,posthoc_diagnosis,179.036933,104.820535,74.216398,0.629758,47.113588,OBSERVABLE_MEDIUM,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0183,388,posthoc_diagnosis,178.373632,106.629891,71.743741,0.764837,47.392113,OBSERVABLE_MEDIUM,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0185,389,posthoc_diagnosis,178.056263,107.13133,70.924933,1.721997,47.533665,OBSERVABLE_MEDIUM,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0188,390,posthoc_diagnosis,179.358279,107.956699,71.40158,1.003509,47.669834,OBSERVABLE_MEDIUM,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0189,391,posthoc_diagnosis,178.850939,107.806244,71.044695,1.332495,47.649661,OBSERVABLE_MEDIUM,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0192,392,posthoc_diagnosis,0.521525,109.447399,71.074126,1.57694,47.922857,OBSERVABLE_MEDIUM,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0193,393,posthoc_diagnosis,2.532359,110.773906,71.758453,3.612792,48.187447,OBSERVABLE_MEDIUM,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0195,394,posthoc_diagnosis,3.035507,110.295868,72.739639,3.239803,48.110032,OBSERVABLE_MEDIUM,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
