control_variant,feature_name,paired_frame_count,vehicle_median,control_median,median_paired_difference,median_paired_ratio,fraction_vehicle_higher,paired_effect_size,temporal_sign_consistency,interpretation
matched_linear_structure_background_same_area,body_short_energy90_width_m,71,1.058627,1.826015,-0.242162,0.857566,0.253521,-1.17151,0.746479,within_frame_paired_vehicle_vs_control
matched_linear_structure_background_same_area,response_compactness,71,0.305487,0.158984,0.154581,2.049641,0.84507,1.531421,0.84507,within_frame_paired_vehicle_vs_control
matched_linear_structure_background_same_area,response_linearity,71,3.636852,2.556916,0.360086,1.149968,0.591549,0.535544,0.591549,within_frame_paired_vehicle_vs_control
matched_ordinary_background_same_area,mean_energy,71,51.400589,43.797863,5.26352,1.121253,0.957746,0.928236,0.957746,within_frame_paired_vehicle_vs_control
matched_ordinary_background_same_area,high_energy_pixel_fraction,71,0.188013,0.052208,0.141777,3.857126,0.957746,2.394703,0.957746,within_frame_paired_vehicle_vs_control
matched_ordinary_background_same_area,response_occupancy_ratio,71,0.188013,0.052208,0.141777,3.857126,0.957746,2.394703,0.957746,within_frame_paired_vehicle_vs_control
matched_ordinary_background_same_area,inside_ring_energy_ratio,71,1.260765,0,1.260765,0,0.760563,0.268612,0.760563,within_frame_paired_vehicle_vs_control
matched_ordinary_background_same_area,local_background_normalized_energy,71,1.09107,0.981278,0.118499,1.121253,0.957746,2.164,0.957746,within_frame_paired_vehicle_vs_control
matched_ordinary_background_same_area,body_long_energy90_width_m,71,3.279361,4.246826,-0.752414,0.824792,0.084507,-1.40011,0.915493,within_frame_paired_vehicle_vs_control
matched_ordinary_background_same_area,body_short_energy90_width_m,71,1.058627,1.873656,-0.625732,0.568638,0.253521,-1.344383,0.746479,within_frame_paired_vehicle_vs_control
matched_ordinary_background_same_area,response_compactness,71,0.305487,0.148696,0.172097,2.161247,0.985915,1.76933,0.985915,within_frame_paired_vehicle_vs_control
matched_ordinary_background_same_area,response_linearity,71,3.636852,2.226949,1.196661,1.469723,0.605634,0.942509,0.605634,within_frame_paired_vehicle_vs_control
matched_strong_scatterer_background_same_area,mean_energy,71,51.400589,47.318272,1.45554,1.034485,0.577465,0.090144,0.577465,within_frame_paired_vehicle_vs_control
matched_strong_scatterer_background_same_area,high_energy_pixel_fraction,71,0.188013,0.22557,0.041051,1.192509,0.549296,0.063816,0.549296,within_frame_paired_vehicle_vs_control
matched_strong_scatterer_background_same_area,response_occupancy_ratio,71,0.188013,0.22557,0.041051,1.192509,0.549296,0.063816,0.549296,within_frame_paired_vehicle_vs_control
matched_strong_scatterer_background_same_area,inside_ring_energy_ratio,71,1.260765,0,1.260765,0,0.760563,0.268612,0.760563,within_frame_paired_vehicle_vs_control
matched_strong_scatterer_background_same_area,local_background_normalized_energy,71,1.09107,1.095339,0.034744,1.034486,0.577465,0.251199,0.577465,within_frame_paired_vehicle_vs_control
matched_strong_scatterer_background_same_area,body_long_energy90_width_m,71,3.279361,3.29784,-0.055669,0.985785,0.492958,-0.215237,0.507042,within_frame_paired_vehicle_vs_control
matched_strong_scatterer_background_same_area,body_short_energy90_width_m,71,1.058627,1.678255,-0.564465,0.652229,0.267606,-1.056247,0.732394,within_frame_paired_vehicle_vs_control
matched_strong_scatterer_background_same_area,response_compactness,71,0.305487,0.203143,0.106665,1.517155,0.915493,1.229779,0.915493,within_frame_paired_vehicle_vs_control
matched_strong_scatterer_background_same_area,response_linearity,71,3.636852,2.00849,1.214126,1.488729,0.619718,1.031326,0.619718,within_frame_paired_vehicle_vs_control
