edge_id,sar_frame,source_atom_id,target_atom_id,support_boundary_gap_px,centroid_distance_px,radial_delta,azimuth_delta,orientation_delta,energy_ratio,role_compatibility,background_arc_conflict
R2E00061,34,R1A0029,R1A0034,72,90.016666,72.153297,20.173449,75.264961,1.267352,true,false
R2E00062,34,R1A0030,R1A0031,120,178.190198,121.316116,41.305219,71.651006,14.650027,true,false
R2E00063,34,R1A0030,R1A0032,6,55.290204,31.742462,17.133617,23.490333,20.805692,true,false
R2E00064,34,R1A0030,R1A0033,36,89.787716,8.514282,37.990995,88.406767,10.906551,true,false
R2E00065,34,R1A0030,R1A0034,6,59.751306,9.599022,26.585851,31.216082,20.671979,true,false
R2E00066,34,R1A0031,R1A0032,84,123.647144,89.573654,24.171602,48.160673,1.420181,true,false
R2E00067,34,R1A0031,R1A0033,67.882251,113.361615,112.801834,3.314224,16.755761,1.343232,true,false
R2E00068,34,R1A0031,R1A0034,102,138.411764,130.915138,14.719368,40.434924,1.411054,true,false
R2E00069,34,R1A0032,R1A0033,30,59.667717,23.22818,20.857378,64.916434,1.907633,true,false
R2E00070,34,R1A0032,R1A0034,30,47.385138,41.341484,9.452234,7.725749,1.006468,true,false
R2E00071,34,R1A0033,R1A0034,6,31.741208,18.113304,11.405144,57.190685,1.895373,true,false
R2E00072,39,R1A0035,R1A0036,12,51.452418,24.025741,11.767981,28.891565,2.052679,false,true
R2E00073,39,R1A0035,R1A0037,102,134.086182,40.64064,35.028641,1.362816,1.914374,false,true
R2E00074,39,R1A0035,R1A0038,78.917679,158.765786,118.254882,37.407595,88.438732,14.268103,true,false
R2E00075,39,R1A0035,R1A0039,56.920998,90.168997,71.192947,16.346329,5.06054,2.404876,false,false
R2E00076,39,R1A0035,R1A0040,56.920998,90.054567,90.002609,0.818878,13.490145,2.024927,true,false
R2E00077,39,R1A0035,R1A0041,80.721744,112.544327,110.624504,7.066235,27.633158,1.428498,true,false
R2E00078,39,R1A0036,R1A0037,48,82.638912,16.614899,23.26066,30.254381,1.072246,true,true
R2E00079,39,R1A0036,R1A0038,24.738634,117.286992,94.229141,25.639614,59.547167,6.950966,false,true
R2E00080,39,R1A0036,R1A0039,12,49.292872,47.167206,4.578348,33.952105,4.936439,false,true
R2E00081,39,R1A0036,R1A0040,48,76.176952,65.976868,12.586859,42.38171,4.156525,false,true
R2E00082,39,R1A0036,R1A0041,54,87.445293,86.598763,4.701746,1.258407,2.932247,false,true
R2E00083,39,R1A0037,R1A0038,18,78.804168,77.614242,2.378954,89.801548,7.453144,false,true
R2E00084,39,R1A0037,R1A0039,30,65.10424,30.552307,18.682312,3.697724,4.603831,false,true
R2E00085,39,R1A0037,R1A0040,80.721744,113.807739,49.361969,35.847519,12.127329,3.876466,false,true
R2E00086,39,R1A0037,R1A0041,72.498276,102.055143,69.983864,27.962406,28.995974,2.734678,false,true
R2E00087,39,R1A0038,R1A0039,0,69.229792,47.061935,21.061266,86.500728,34.313017,false,false
R2E00088,39,R1A0038,R1A0040,30,88.949466,28.252273,38.226473,78.071123,28.891862,true,false
R2E00089,39,R1A0038,R1A0041,6,62.627796,7.630378,30.34136,60.805574,20.38195,true,false
R2E00090,39,R1A0039,R1A0040,24.738634,49.372785,18.809662,17.165207,8.429605,1.187636,false,false
R2E00091,39,R1A0039,R1A0041,30,45.473825,39.431557,9.280094,32.693698,1.6835,false,false
R2E00092,39,R1A0040,R1A0041,6,27.620685,20.621895,7.885113,41.123303,1.417522,true,false
R2E00093,40,R1A0042,R1A0043,48,101.533904,23.595337,27.866337,9.506727,1.524231,false,true
R2E00094,40,R1A0042,R1A0044,12,64.072413,55.848694,10.004206,17.013047,9.706551,false,false
R2E00095,40,R1A0042,R1A0045,26.832816,128.243908,98.851387,29.610802,84.759243,3.628179,true,false
R2E00096,40,R1A0042,R1A0046,48,86.085765,86.246094,3.303501,19.123107,2.510573,true,false
R2E00097,40,R1A0043,R1A0044,30,63.420222,32.253357,17.862131,7.50632,6.368165,false,true
R2E00098,40,R1A0043,R1A0045,18,76.541059,75.25605,1.744465,85.73403,5.530182,false,true
R2E00099,40,R1A0043,R1A0046,61.773781,106.49212,62.650757,31.169838,9.61638,1.647108,false,true
R2E00100,40,R1A0044,R1A0045,0,64.173942,43.002693,19.606596,78.22771,35.217109,false,false
R2E00101,40,R1A0044,R1A0046,24,46.052683,30.3974,13.307707,2.11006,3.86627,false,false
R2E00102,40,R1A0045,R1A0046,6,71.58388,12.605293,32.914303,76.11765,9.108808,true,false
