response_box_id,core_subgraph_id,sar_frame,box_state,core_member_atom_ids,strong_optional_atom_ids,uncertain_optional_atom_ids,excluded_atom_ids,core_bbox,conservative_response_bbox,uncertain_envelope_bbox,center_x_px,center_y_px,center_x_m,center_y_m,range_m,azimuth_deg,metric_consistency_error_m,final_annotation_space
R21B00043,R21C00043,34,unresolved,R21A00031,,R21A00028;R21A00029;R21A00032;R21A00033;R21A00034,R21A00030,"1102,1135,1120,1147","1102,1135,1120,1147","1018,1135,1193,1267",1111,1141,-1.29,5.688,5.832448,-12.778141,0,sar_image_pixel_domain
R21B00044,R21C00044,34,vehicle_part_box_only,R21A00032,,R21A00028;R21A00029;R21A00031;R21A00033;R21A00034,R21A00030,"1078,1219,1102,1237","1078,1219,1102,1237","1018,1135,1193,1267",1090,1228,-1.92,3.078,3.627738,-31.955159,0,sar_image_pixel_domain
R21B00045,R21C00045,34,unresolved,R21A00033,,R21A00028;R21A00029;R21A00031;R21A00032;R21A00034,R21A00030,"1072,1165,1102,1189","1072,1165,1102,1189","1018,1135,1193,1267",1087,1177,-2.01,4.608,5.027302,-23.566729,0,sar_image_pixel_domain
R21B00046,R21C00046,34,unresolved,R21A00034,,R21A00029;R21A00030;R21A00031;R21A00032;R21A00033,R21A00028,"1018,1141,1042,1159","1018,1141,1042,1159","952,1135,1120,1243",1030,1150,-3.72,5.418,6.572148,-34.473501,0,sar_image_pixel_domain
R21B00047,R21C00047,34,vehicle_response_box_supported,R21A00028;R21A00029,,R21A00030;R21A00031;R21A00032;R21A00033;R21A00034,,"1036,1135,1193,1267","1036,1135,1193,1267","952,1135,1193,1267",1114.5,1201,-1.185,3.888,4.064575,-16.95038,0,sar_image_pixel_domain
R21B00048,R21C00048,39,vehicle_response_box_possible,R21A00035,,R21A00039;R21A00040;R21A00041,R21A00036;R21A00037;R21A00038,"1108,1165,1192,1276","1108,1165,1192,1276","1048,1165,1192,1276",1150,1220.5,-0.12,3.303,3.305179,-2.080675,0,sar_image_pixel_domain
R21B00049,R21C00049,39,vehicle_part_box_only,R21A00038,,R21A00039;R21A00040;R21A00041,R21A00035;R21A00036;R21A00037,"982,1141,1030,1153","982,1141,1030,1153","982,1141,1114,1231",1006,1147,-4.44,5.508,7.07472,-38.872295,0,sar_image_pixel_domain
R21B00050,R21C00050,39,vehicle_part_box_only,R21A00039,,R21A00035;R21A00038;R21A00040;R21A00041,R21A00036;R21A00037,"1084,1213,1102,1231","1084,1213,1102,1231","982,1141,1192,1276",1093,1222,-1.83,3.258,3.736772,-29.322673,0,sar_image_pixel_domain
R21B00051,R21C00051,39,vehicle_part_box_only,R21A00040,,R21A00035;R21A00038;R21A00039;R21A00041,R21A00036;R21A00037,"1048,1207,1078,1225","1048,1207,1078,1225","982,1141,1192,1276",1063,1216,-2.73,3.438,4.390073,-38.451906,0,sar_image_pixel_domain
R21B00052,R21C00052,39,unresolved,R21A00041,,R21A00035;R21A00038;R21A00039;R21A00040,R21A00036;R21A00037,"1084,1171,1114,1183","1084,1171,1114,1183","982,1141,1192,1276",1099,1177,-1.65,4.608,4.894503,-19.701071,0,sar_image_pixel_domain
