interval_id,physical_vehicle_id,method,direction,source_pair_id,target_pair_id,sar_frame,propagation_status,propagated_region,search_window,local_response_center,visible_response_coverage,masked_overlap_coverage,local_search_ratio,stop_reason
WGV35A_PAIR_0204_TO_WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,P3,forward,WGV35A_PAIR_0204,WGV35A_PAIR_0205,27,PROPAGATED_CONFIDENT,"972.640,1175.599,1154.917,1247.699","866.775,1121.504,1260.646,1286.074","1063.880,1223.440",,,0.024661,local_connected_response
WGV35A_PAIR_0204_TO_WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,P3,forward,WGV35A_PAIR_0204,WGV35A_PAIR_0205,28,PROPAGATED_CONFIDENT,"975.939,1178.152,1155.234,1249.692","870.690,1124.994,1259.491,1288.611","1066.331,1224.602",,,0.024203,local_connected_response
WGV35A_PAIR_0204_TO_WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,P3,forward,WGV35A_PAIR_0204,WGV35A_PAIR_0205,29,PROPAGATED_CONFIDENT,"980.257,1179.780,1155.525,1250.563","876.101,1126.694,1258.057,1289.026","1069.109,1226.139",,,0.02359,local_connected_response
WGV35A_PAIR_0204_TO_WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,P3,forward,WGV35A_PAIR_0204,WGV35A_PAIR_0205,30,PROPAGATED_WEAK,"983.840,1172.201,1154.717,1242.159","881.997,1128.095,1256.487,1289.024","1069.333,1205.111",,,0.022929,local_connected_response
WGV35A_PAIR_0204_TO_WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,P3,forward,WGV35A_PAIR_0204,WGV35A_PAIR_0205,31,PROPAGATED_WEAK,"988.742,1171.343,1155.099,1240.452","887.680,1126.282,1254.487,1285.768","1073.176,1205.706",0.996128,0.996128,0.022257,local_connected_response
WGV35A_PAIR_0204_TO_WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,P3,backward,WGV35A_PAIR_0205,WGV35A_PAIR_0204,31,PROPAGATED_WEAK,"990.542,1171.198,1154.465,1239.850","890.721,1126.049,1253.390,1284.757","1073.176,1205.706",,,0.021899,local_connected_response
WGV35A_PAIR_0204_TO_WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,P3,backward,WGV35A_PAIR_0205,WGV35A_PAIR_0204,30,PROPAGATED_WEAK,"986.794,1170.548,1153.700,1239.760","886.987,1125.353,1254.726,1285.014","1069.333,1205.111",,,0.022338,local_connected_response
WGV35A_PAIR_0204_TO_WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,P3,backward,WGV35A_PAIR_0205,WGV35A_PAIR_0204,29,PROPAGATED_CONFIDENT,"983.404,1178.346,1154.336,1248.315","881.418,1124.318,1256.003,1285.265","1069.109,1226.139",,,0.022937,local_connected_response
WGV35A_PAIR_0204_TO_WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,P3,backward,WGV35A_PAIR_0205,WGV35A_PAIR_0204,28,PROPAGATED_CONFIDENT,"978.994,1178.878,1154.318,1249.672","875.847,1126.216,1257.898,1288.565","1066.331,1224.602",,,0.023598,local_connected_response
WGV35A_PAIR_0204_TO_WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,P3,backward,WGV35A_PAIR_0205,WGV35A_PAIR_0204,27,PROPAGATED_CONFIDENT,"974.439,1177.913,1154.282,1249.556","869.874,1125.563,1259.608,1289.356","1063.789,1223.147",0.847426,0.847426,0.024287,local_connected_response
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,31,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,32,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,33,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,34,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,35,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,36,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,37,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,38,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,39,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,40,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,41,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,42,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
WGV35A_PAIR_0205_TO_WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,P0,forward,WGV35A_PAIR_0205,WGV35A_PAIR_0206,43,PROPAGATED_WEAK,"990.094,1171.077,1154.017,1239.729","974.094,1159.077,1170.017,1251.729","1072.055,1205.403",,,0.006906,fixed_anchor_region
