pair_id,scene,split_role,variant,time_start,time_end,sar_frame_center,azimuth_min,azimuth_max,azimuth_center,radial_min,radial_max,rho_center,rho_low_50,rho_high_50,rho_low_80,rho_high_80,rho_low_95,rho_high_95,heading_state,visibility_uncertainty,field_rule
WGV35A_PAIR_0107,GM_RM017,validation,P2,352,369,360.4167,-31.598628,-23.598628,-27.598628,401.173916,577.150416,489.162166,471.162166,507.162166,453.162166,525.162166,401.173916,577.150416,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0109,GM_RM017,train,P2,352,369,360.4167,-14.699709,-6.699709,-10.699709,298.739262,490.309262,394.524262,376.524262,412.524262,358.524262,430.524262,298.739262,490.309262,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0110,GM_RM017,validation,P2,354,371,362.5,-29.949547,-21.949547,-25.949547,395.095103,571.512103,483.303603,465.303603,501.303603,447.303603,519.303603,395.095103,571.512103,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0112,GM_RM017,train,P2,354,371,362.5,-12.641838,-4.641838,-8.641838,296.736027,489.848027,393.292027,375.292027,411.292027,357.292027,429.292027,296.736027,489.848027,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0113,GM_RM017,validation,P2,354,371,362.5,-29.949743,-21.949743,-25.949743,395.093853,571.513353,483.303603,465.303603,501.303603,447.303603,519.303603,395.093853,571.513353,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0115,GM_RM017,train,P2,354,371,362.5,-12.642034,-4.642034,-8.642034,297.538332,490.647832,394.093082,376.093082,412.093082,358.093082,430.093082,297.538332,490.647832,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0116,GM_RM017,validation,P2,356,373,364.5833,-28.244084,-20.244084,-24.244084,394.273377,571.392877,482.833127,464.833127,500.833127,446.833127,518.833127,394.273377,571.392877,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0118,GM_RM017,train,P2,356,373,364.5833,-10.537881,-2.537881,-6.537881,295.401421,488.924921,392.163171,374.163171,410.163171,356.163171,428.163171,295.401421,488.924921,lateral_right,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0119,GM_RM017,validation,P2,356,373,364.5833,-28.243985,-20.243985,-24.243985,394.275127,571.391127,482.833127,464.833127,500.833127,446.833127,518.833127,394.275127,571.391127,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0121,GM_RM017,train,P2,356,373,364.5833,-10.538273,-2.538273,-6.538273,295.402921,488.923421,392.163171,374.163171,410.163171,356.163171,428.163171,295.402921,488.923421,lateral_right,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0123,GM_RM017,train,P2,358,375,366.6667,-8.683375,-0.683375,-4.683375,295.425171,488.901171,392.163171,374.163171,410.163171,356.163171,428.163171,295.425171,488.901171,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0124,GM_RM017,validation,P2,358,375,366.6667,-26.91417,-18.91417,-22.91417,401.979275,577.869775,489.924525,471.924525,507.924525,453.924525,525.924525,401.979275,577.869775,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0126,GM_RM017,train,P2,358,375,366.6667,-8.683669,-0.683669,-4.683669,295.426421,488.899921,392.163171,374.163171,410.163171,356.163171,428.163171,295.426421,488.899921,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0127,GM_RM017,validation,P2,358,375,366.6667,-26.873673,-18.873673,-22.873673,401.769775,578.079275,489.924525,471.924525,507.924525,453.924525,525.924525,401.769775,578.079275,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0129,GM_RM017,validation,P2,360,377,368.75,-25.350101,-17.350101,-21.350101,397.340636,574.712636,486.026636,468.026636,504.026636,450.026636,522.026636,397.340636,574.712636,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0130,GM_RM017,train,P2,360,377,368.75,-6.8122,1.1878,-2.8122,294.957913,488.126413,391.542163,373.542163,409.542163,355.542163,427.542163,294.957913,488.126413,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0132,GM_RM017,validation,P2,360,377,368.75,-25.350297,-17.350297,-21.350297,397.340886,574.712386,486.026636,468.026636,504.026636,450.026636,522.026636,397.340886,574.712386,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0133,GM_RM017,train,P2,360,377,368.75,-6.812102,1.187898,-2.812102,294.959163,488.125163,391.542163,373.542163,409.542163,355.542163,427.542163,294.959163,488.125163,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0135,GM_RM017,train,P2,362,379,370.8333,-4.827183,3.172817,-0.827183,294.477413,488.606913,391.542163,373.542163,409.542163,355.542163,427.542163,294.477413,488.606913,lateral_right,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0136,GM_RM017,validation,P2,362,379,370.8333,-23.547564,-15.547564,-19.547564,397.222136,574.831136,486.026636,468.026636,504.026636,450.026636,522.026636,397.222136,574.831136,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0138,GM_RM017,train,P2,362,379,370.8333,-4.827281,3.172719,-0.827281,294.477913,488.606413,391.542163,373.542163,409.542163,355.542163,427.542163,294.477913,488.606413,lateral_right,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0139,GM_RM017,validation,P2,362,379,370.8333,-23.547074,-15.547074,-19.547074,397.222636,574.830636,486.026636,468.026636,504.026636,450.026636,522.026636,397.222636,574.830636,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0140,GM_RM017,train,P2,364,381,372.9167,-2.706263,5.293737,1.293737,295.017913,488.066413,391.542163,373.542163,409.542163,355.542163,427.542163,295.017913,488.066413,lateral_right,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0142,GM_RM017,validation,P2,364,381,372.9167,-22.03723,-14.03723,-18.03723,397.268636,574.784636,486.026636,468.026636,504.026636,450.026636,522.026636,397.268636,574.784636,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0143,GM_RM017,train,P2,364,381,372.9167,-2.706263,5.293737,1.293737,295.020913,488.063413,391.542163,373.542163,409.542163,355.542163,427.542163,295.020913,488.063413,lateral_right,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0145,GM_RM017,validation,P2,364,381,372.9167,-22.037132,-14.037132,-18.037132,397.270136,574.783136,486.026636,468.026636,504.026636,450.026636,522.026636,397.270136,574.783136,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0146,GM_RM017,train,P2,366,383,375,-0.624173,7.375827,3.375827,294.119564,487.428064,390.773814,372.773814,408.773814,354.773814,426.773814,294.119564,487.428064,lateral_right,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0147,GM_RM017,validation,P2,366,383,375,-20.107222,-12.107222,-16.107222,390.892187,569.092687,479.992437,461.992437,497.992437,443.992437,515.992437,390.892187,569.092687,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0149,GM_RM017,train,P2,366,383,375,-0.624173,7.375827,3.375827,294.120064,487.427564,390.773814,372.773814,408.773814,354.773814,426.773814,294.120064,487.427564,lateral_right,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0150,GM_RM017,validation,P2,366,383,375,-20.106928,-12.106928,-16.106928,390.893437,569.091437,479.992437,461.992437,497.992437,443.992437,515.992437,390.893437,569.091437,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0152,GM_RM017,train,P2,366,383,375,-0.624173,7.375827,3.375827,294.119564,487.428064,390.773814,372.773814,408.773814,354.773814,426.773814,294.119564,487.428064,lateral_right,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0153,GM_RM017,validation,P2,366,383,375,-20.107222,-12.107222,-16.107222,390.892187,569.092687,479.992437,461.992437,497.992437,443.992437,515.992437,390.892187,569.092687,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0155,GM_RM017,validation,P2,369,386,377.0833,-18.480202,-10.480202,-14.480202,393.933958,572.548458,483.241208,465.241208,501.241208,447.241208,519.241208,393.933958,572.548458,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0156,GM_RM017,train,P2,369,386,377.0833,1.520085,9.520085,5.520085,293.745814,487.801814,390.773814,372.773814,408.773814,354.773814,426.773814,293.745814,487.801814,lateral_right,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0158,GM_RM017,validation,P2,369,386,377.0833,-18.479614,-10.479614,-14.479614,393.931458,572.550958,483.241208,465.241208,501.241208,447.241208,519.241208,393.931458,572.550958,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0159,GM_RM017,train,P2,369,386,377.0833,1.51979,9.51979,5.51979,293.745064,487.802564,390.773814,372.773814,408.773814,354.773814,426.773814,293.745064,487.802564,lateral_right,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
WGV35A_PAIR_0161,GM_RM017,validation,P2,371,388,379.1667,-16.762483,-8.762483,-12.762483,384.291568,561.974568,473.133068,455.133068,491.133068,437.133068,509.133068,384.291568,561.974568,lateral_right,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,weak_calibrated_plus_heading_visibility_size_uncertainty
