atom_id,sar_frame,candidate_role,role_rule_provenance,role_inputs,polarity_used,physical_vehicle_id_used,gt_used
R1A0152,270,endpoint_hotspot_candidate,bottom_local_peak_support; nearest_a1_7r_source_shell_frame_269,area=86;peak=133;axis1=39.182581;axis2=8.654409;compactness=0.170635;arc=0,false,false,false
R1A0153,270,body_core_candidate,bottom_local_high_energy_compact_support; nearest_a1_7r_source_shell_frame_269,area=243;peak=178;axis1=42.280873;axis2=23.300677;compactness=0.09375;arc=0.980895,false,false,false
R1A0154,271,unresolved_atom,feature_combination_not_separable_runtime; nearest_a1_7r_source_shell_frame_269,area=1168;peak=143;axis1=143.20544;axis2=124.310635;compactness=0.06581;arc=0.945936,false,false,false
R1A0155,271,isolated_small_atom,small_area_without_vehicle_scale_support; nearest_a1_7r_source_shell_frame_269,area=27;peak=76;axis1=26.141583;axis2=10.712082;compactness=0.075;arc=0.371064,false,false,false
R1A0156,271,endpoint_hotspot_candidate,bottom_local_peak_support; nearest_a1_7r_source_shell_frame_269,area=87;peak=122;axis1=34.944975;axis2=6.66407;compactness=0.115079;arc=0,false,false,false
R1A0157,271,body_core_candidate,bottom_local_high_energy_compact_support; nearest_a1_7r_source_shell_frame_269,area=254;peak=135;axis1=46.37417;axis2=21.017194;compactness=0.111993;arc=0.942737,false,false,false
R1A0158,272,unresolved_atom,feature_combination_not_separable_runtime; nearest_a1_7r_source_shell_frame_273,area=1258;peak=159;axis1=136.69059;axis2=112.195827;compactness=0.089372;arc=0.337151,false,false,false
R1A0159,272,isolated_small_atom,small_area_without_vehicle_scale_support; nearest_a1_7r_source_shell_frame_273,area=18;peak=72;axis1=43.379097;axis2=10.184203;compactness=0.041667;arc=0.105944,false,false,false
R1A0160,272,isolated_small_atom,small_area_without_vehicle_scale_support; nearest_a1_7r_source_shell_frame_273,area=31;peak=75;axis1=23.066485;axis2=11.966875;compactness=0.053819;arc=0.879192,false,false,false
R1A0161,272,endpoint_hotspot_candidate,bottom_local_peak_support; nearest_a1_7r_source_shell_frame_273,area=100;peak=114;axis1=34.468536;axis2=7.253062;compactness=0.231481;arc=0.034894,false,false,false
R1A0162,272,body_core_candidate,bottom_local_high_energy_compact_support; nearest_a1_7r_source_shell_frame_273,area=282;peak=159;axis1=51.229191;axis2=25.519202;compactness=0.096708;arc=0.992114,false,false,false
R1A0163,273,unresolved_atom,feature_combination_not_separable_runtime; nearest_a1_7r_source_shell_frame_273,area=1192;peak=116;axis1=136.362507;axis2=115.884521;compactness=0.065697;arc=0.437483,false,false,false
R1A0164,273,isolated_small_atom,small_area_without_vehicle_scale_support; nearest_a1_7r_source_shell_frame_273,area=23;peak=67;axis1=39.526828;axis2=8.317885;compactness=0.063889;arc=0.22316,false,false,false
R1A0165,273,isolated_small_atom,small_area_without_vehicle_scale_support; nearest_a1_7r_source_shell_frame_273,area=26;peak=62;axis1=24.156575;axis2=12.158626;compactness=0.080247;arc=0.90381,false,false,false
R1A0166,273,endpoint_hotspot_candidate,bottom_local_peak_support; nearest_a1_7r_source_shell_frame_273,area=82;peak=87;axis1=37.678058;axis2=8.876899;compactness=0.108466;arc=0,false,false,false
R1A0167,276,unresolved_atom,feature_combination_not_separable_runtime; nearest_a1_7r_source_shell_frame_273,area=1179;peak=174;axis1=144.346079;axis2=107.208198;compactness=0.08027;arc=0.951912,false,false,false
R1A0168,276,isolated_small_atom,small_area_without_vehicle_scale_support; nearest_a1_7r_source_shell_frame_273,area=18;peak=90;axis1=13.151574;axis2=4.714407;compactness=0.125;arc=0.94862,false,false,false
R1A0169,276,endpoint_hotspot_candidate,bottom_local_peak_support; nearest_a1_7r_source_shell_frame_273,area=69;peak=104;axis1=35.37426;axis2=8.146369;compactness=0.09127;arc=0,false,false,false
R1A0170,276,body_core_candidate,bottom_local_high_energy_compact_support; nearest_a1_7r_source_shell_frame_273,area=198;peak=140;axis1=60.878477;axis2=24.355741;compactness=0.122222;arc=0.984805,false,false,false
R1A0171,278,unresolved_atom,feature_combination_not_separable_runtime; nearest_a1_7r_source_shell_frame_273,area=1196;peak=179;axis1=152.180547;axis2=96.317941;compactness=0.079861;arc=0.887181,false,false,false
R1A0172,278,isolated_small_atom,small_area_without_vehicle_scale_support; nearest_a1_7r_source_shell_frame_273,area=17;peak=91;axis1=19.672003;axis2=10.01531;compactness=0.078704;arc=0,false,false,false
R1A0173,278,body_core_candidate,bottom_local_high_energy_compact_support; nearest_a1_7r_source_shell_frame_273,area=210;peak=164;axis1=57.611945;axis2=35.204525;compactness=0.072016;arc=0.980802,false,false,false
R1A0174,279,unresolved_atom,feature_combination_not_separable_runtime; nearest_a1_7r_source_shell_frame_273,area=1093;peak=171;axis1=151.862399;axis2=98.290244;compactness=0.07028;arc=0.857642,false,false,false
R1A0175,279,isolated_small_atom,small_area_without_vehicle_scale_support; nearest_a1_7r_source_shell_frame_273,area=27;peak=95;axis1=39.907748;axis2=11.603547;compactness=0.05;arc=0,false,false,false
R1A0176,279,endpoint_hotspot_candidate,bottom_local_peak_support; nearest_a1_7r_source_shell_frame_273,area=41;peak=122;axis1=33.880747;axis2=4.787925;compactness=0.094907;arc=0.038287,false,false,false
R1A0177,279,body_core_candidate,bottom_local_high_energy_compact_support; nearest_a1_7r_source_shell_frame_273,area=226;peak=170;axis1=52.665469;axis2=35.752936;compactness=0.077503;arc=0.991116,false,false,false
R1A0178,280,unresolved_atom,feature_combination_not_separable_runtime; nearest_a1_7r_source_shell_frame_273,area=1178;peak=145;axis1=157.421324;axis2=98.624945;compactness=0.075746;arc=0.788002,false,false,false
R1A0179,280,isolated_small_atom,small_area_without_vehicle_scale_support; nearest_a1_7r_source_shell_frame_273,area=21;peak=90;axis1=13.727509;axis2=7.280323;compactness=0.145833;arc=0.828488,false,false,false
R1A0180,280,body_core_candidate,bottom_local_high_energy_compact_support; nearest_a1_7r_source_shell_frame_273,area=259;peak=151;axis1=50.338888;axis2=30.904959;compactness=0.079938;arc=0.738414,false,false,false
R1A0181,281,unresolved_atom,feature_combination_not_separable_runtime; nearest_a1_7r_source_shell_frame_288,area=1183;peak=150;axis1=132.253123;axis2=116.1097;compactness=0.087864;arc=0.496963,false,false,false
R1A0182,281,isolated_small_atom,small_area_without_vehicle_scale_support; nearest_a1_7r_source_shell_frame_288,area=32;peak=87;axis1=36.946882;axis2=13.031929;compactness=0.059259;arc=0.071751,false,false,false
R1A0183,281,side_ridge_candidate,elongated_non_arc_local_ridge; nearest_a1_7r_source_shell_frame_288,area=51;peak=83;axis1=27.34347;axis2=6.011147;compactness=0.141667;arc=0.052412,false,false,false
R1A0184,281,body_core_candidate,bottom_local_high_energy_compact_support; nearest_a1_7r_source_shell_frame_288,area=205;peak=150;axis1=33.363696;axis2=18.197874;compactness=0.113889;arc=0,false,false,false
R1A0185,281,endpoint_hotspot_candidate,bottom_local_peak_support; nearest_a1_7r_source_shell_frame_288,area=58;peak=96;axis1=14.644472;axis2=8.384033;compactness=0.179012;arc=0,false,false,false
R1A0186,284,unresolved_atom,feature_combination_not_separable_runtime; nearest_a1_7r_source_shell_frame_288,area=1124;peak=142;axis1=140.229442;axis2=92.567206;compactness=0.078056;arc=0.710131,false,false,false
R1A0187,284,isolated_small_atom,small_area_without_vehicle_scale_support; nearest_a1_7r_source_shell_frame_288,area=15;peak=69;axis1=6.02738;axis2=3.632423;compactness=0.208333;arc=0,false,false,false
R1A0188,284,isolated_small_atom,small_area_without_vehicle_scale_support; nearest_a1_7r_source_shell_frame_288,area=15;peak=71;axis1=14.566974;axis2=5.977214;compactness=0.046296;arc=0,false,false,false
R1A0189,284,body_core_candidate,bottom_local_high_energy_compact_support; nearest_a1_7r_source_shell_frame_288,area=213;peak=136;axis1=54.575645;axis2=41.527702;compactness=0.059167;arc=0.128045,false,false,false
R1A0190,284,isolated_small_atom,small_area_without_vehicle_scale_support; nearest_a1_7r_source_shell_frame_288,area=27;peak=72;axis1=34.582717;axis2=5.068341;compactness=0.075;arc=0,false,false,false
