family_id,response_box_id,core_subgraph_id,sar_frame,member_relation_to_family,box_state,core_member_atom_ids,strong_optional_atom_ids,uncertain_optional_atom_ids,conservative_response_bbox,uncertain_envelope_bbox
R21R1F00016,R21B00019,R21C00019,30,single_member_family,vehicle_part_box_only,R21A00016,,R21A00013;R21A00014;R21A00015;R21A00017,"1066,1221,1084,1239","1042,1131,1193,1245"
R21R1F00017,R21B00020,R21C00020,30,single_member_family,unresolved,R21A00017,,R21A00013;R21A00014;R21A00015;R21A00016,"1042,1221,1054,1239","1042,1131,1193,1245"
R21R1F00018,R21B00024,R21C00024,31,exact_duplicate_bbox;nested_same_core_variant,vehicle_response_box_possible,R21A00018,,R21A00019;R21A00020;R21A00021,"1042,1135,1193,1249","1042,1135,1193,1249"
R21R1F00018,R21B00025,R21C00025,31,nested_same_core_variant,unresolved,R21A00019,,R21A00018;R21A00020;R21A00021,"1090,1135,1114,1147","1042,1135,1193,1249"
R21R1F00018,R21B00028,R21C00028,31,exact_duplicate_bbox;nested_same_core_variant,unresolved,R21A00018;R21A00019,,R21A00020;R21A00021,"1042,1135,1193,1249","1042,1135,1193,1249"
R21R1F00018,R21B00029,R21C00029,31,exact_duplicate_bbox;nested_same_core_variant,vehicle_response_box_supported,R21A00018;R21A00020,,R21A00019;R21A00021,"1042,1135,1193,1249","1042,1135,1193,1249"
R21R1F00018,R21B00030,R21C00030,31,exact_duplicate_bbox;nested_same_core_variant,vehicle_response_box_supported,R21A00018;R21A00021,,R21A00019;R21A00020,"1042,1135,1193,1249","1042,1135,1193,1249"
R21R1F00018,R21B00031,R21C00031,31,nested_same_core_variant,unresolved,R21A00019;R21A00020,,R21A00018;R21A00021,"1042,1135,1114,1243","1042,1135,1193,1249"
R21R1F00019,R21B00026,R21C00026,31,single_member_family,vehicle_part_box_only,R21A00020,,R21A00018;R21A00019;R21A00021,"1042,1225,1060,1243","1042,1135,1193,1249"
R21R1F00020,R21B00027,R21C00027,31,single_member_family,vehicle_part_box_only,R21A00021,,R21A00018;R21A00019;R21A00020,"1066,1219,1084,1237","1042,1135,1193,1249"
R21R1F00021,R21B00032,R21C00032,32,high_iou_boundary_variant,vehicle_response_box_possible,R21A00022,,R21A00023;R21A00024;R21A00025;R21A00026;R21A00027,"1102,1135,1192,1249","1048,1135,1192,1249"
R21R1F00021,R21B00038,R21C00038,32,high_iou_boundary_variant,unresolved,R21A00022;R21A00023,,R21A00024;R21A00025;R21A00026;R21A00027,"1072,1135,1192,1249","1048,1135,1192,1249"
R21R1F00021,R21B00039,R21C00039,32,high_iou_boundary_variant,unresolved,R21A00022;R21A00024,,R21A00023;R21A00025;R21A00026;R21A00027,"1090,1135,1192,1249","1048,1135,1192,1249"
R21R1F00022,R21B00033,R21C00033,32,single_member_family,unresolved,R21A00023,,R21A00022;R21A00024;R21A00025;R21A00026;R21A00027,"1072,1159,1096,1189","1048,1135,1192,1249"
R21R1F00023,R21B00034,R21C00034,32,single_member_family,unresolved,R21A00024,,R21A00022;R21A00023;R21A00025;R21A00026;R21A00027,"1090,1135,1114,1147","1048,1135,1192,1249"
R21R1F00024,R21B00035,R21C00035,32,single_member_family,vehicle_part_box_only,R21A00025,,R21A00022;R21A00023;R21A00024;R21A00026;R21A00027,"1048,1225,1060,1243","1048,1135,1192,1249"
