core_subgraph_id,sar_frame,atom_id,candidate_role,membership_decision,boundary_distance_to_core_px,centroid_distance_to_core_px,shares_persistent_track,compatible_part_relation,background_arc_conflict,bbox_blank_ratio_if_included,decision_reason
R2C0046,269,R1A0144,isolated_small_atom,include_in_bbox,0,90.278085,false,true,false,0,near_core_compatible_optional_response
R2C0046,269,R1A0145,isolated_small_atom,include_in_bbox,18,107.701111,false,true,false,0.127586,near_core_compatible_optional_response
R2C0046,269,R1A0146,isolated_small_atom,include_in_bbox,6,82.681006,false,true,false,0.021795,near_core_compatible_optional_response
R2C0047,270,R1A0149,unresolved_atom,include_in_bbox,0,48.41771,false,true,false,0.103846,near_core_compatible_optional_response
R2C0047,270,R1A0150,isolated_small_atom,exclude_from_bbox,99.859902,142.588539,false,true,false,0.819444,too_far_or_would_expand_blank_area
R2C0047,270,R1A0151,unresolved_atom,uncertain_bbox_membership,62.641839,111.218501,false,true,false,0.712215,near_but_not_decisive_optional_response
R2C0047,270,R1A0152,endpoint_hotspot_candidate,uncertain_bbox_membership,48,77.992394,false,true,false,0.446128,near_but_not_decisive_optional_response
R2C0048,270,R1A0150,isolated_small_atom,include_in_bbox,6,103.718044,false,true,false,0.137356,near_core_compatible_optional_response
R2C0048,270,R1A0151,unresolved_atom,include_in_bbox,0,76.863409,false,true,false,0.095833,near_core_compatible_optional_response
R2C0049,271,R1A0154,unresolved_atom,include_in_bbox,0,44.996466,false,true,false,0.139746,near_core_compatible_optional_response
R2C0049,271,R1A0155,isolated_small_atom,uncertain_bbox_membership,53.665631,106.743034,false,true,false,0.672494,near_but_not_decisive_optional_response
R2C0049,271,R1A0156,endpoint_hotspot_candidate,uncertain_bbox_membership,36,72.764508,false,true,false,0.298354,near_but_not_decisive_optional_response
R2C0050,271,R1A0155,isolated_small_atom,include_in_bbox,0,71.568676,false,true,false,0.07078,near_core_compatible_optional_response
R2C0051,272,R1A0158,unresolved_atom,include_in_bbox,0,49.225239,false,true,false,0,near_core_compatible_optional_response
R2C0051,272,R1A0159,isolated_small_atom,exclude_from_bbox,80.721744,137.034555,false,true,false,0.801587,too_far_or_would_expand_blank_area
