pair_id,sar_frame,split,selected_center_x,selected_center_y,body_axis_proxy_deg,body_axis_axial_ci_low_deg,body_axis_axial_ci_high_deg,body_axis_axial_ci_width_deg,method_consensus_axial_mad_deg,speed_px_per_sar_frame,along_track_residual_px,cross_track_residual_px,total_residual_px,support_frame_count,support_frames,trajectory_gap_size,local_displacement_sign_stability,duplicate_conflict_status,identity_consistency_status,heading_observability_status,observability_thresholds,threshold_source,diagnostic_scope
WGV35A_PAIR_0027,334,calibration,907.7895,942.629,1.088342,178.914765,0.892075,1.97731,1.781261,6.683176,2.496541,1.928121,3.15442,13,327;331;332;333;334;335;336;337;338;339;340;341;342,1,0.916667,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_HIGH,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0030,335,calibration,922.34,938.917,0.167191,179.06178,0.10648,1.0447,0.918139,6.680982,2.407479,1.868605,3.047563,14,327;331;332;333;334;335;336;337;338;339;340;341;342;343,1,0.923077,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_HIGH,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0033,336,calibration,921.75,940.5815,179.786847,179.494189,0.663368,1.169179,1.757415,6.536745,2.151423,1.761834,2.780769,14,331;332;333;334;335;336;337;338;339;340;341;342;343;344,1,0.923077,WEAK_CORRESPONDENCE_EXCLUDED,duplicate_frame_primary_thread_selected_weak_correspondence_excluded,OBSERVABLE_HIGH,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0035,337,calibration,931.1845,941.426,179.500937,179.203675,0.224942,1.021267,1.251794,6.472768,2.157697,1.74475,2.774853,15,331;332;333;334;335;336;337;338;339;340;341;342;343;344;345,1,0.928571,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_HIGH,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0038,338,calibration,939.9,941.11,179.468615,179.130711,179.882729,0.752018,0.548362,6.492254,2.098641,1.710533,2.707438,16,331;332;333;334;335;336;337;338;339;340;341;342;343;344;345;346,1,0.933333,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_HIGH,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0041,339,calibration,943.9145,943.403,0.066252,179.139561,179.884756,0.745194,0.65744,6.504677,2.040746,1.664233,2.633308,17,331;332;333;334;335;336;337;338;339;340;341;342;343;344;345;346;347,1,0.9375,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_HIGH,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0044,340,calibration,950.81,945.983,0.742528,179.321638,0.392135,1.070497,1.040589,6.442027,2.032843,1.752308,2.683847,17,332;333;334;335;336;337;338;339;340;341;342;343;344;345;346;347;348,1,0.9375,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_HIGH,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0048,341,calibration,954.2055,941.303,1.36998,0.347454,1.269063,0.921609,0.661025,6.435934,2.033534,1.715739,2.660643,17,333;334;335;336;337;338;339;340;341;342;343;344;345;346;347;348;349,1,0.9375,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_HIGH,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0051,342,calibration,960.6925,941.6285,0.711232,179.796499,0.844668,1.048169,0.464761,6.497061,2.264416,1.714149,2.84005,17,334;335;336;337;338;339;340;341;342;343;344;345;346;347;348;349;350,1,0.9375,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_HIGH,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0053,343,calibration,970.145,940.871,1.303458,0.016048,1.084446,1.068399,0.883798,6.347488,2.210908,1.68742,2.781277,17,335;336;337;338;339;340;341;342;343;344;345;346;347;348;349;350;351,1,0.875,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_HIGH,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
