frame_a,frame_b,pair_type,time_delta_frames,aspect_delta_deg,corrected_range_delta_m,axis_pair_reliable,registration_pair_reliable,frame_a_axis_reliability,frame_b_axis_reliability,used_for_identifiability
350,372,different_aspect_similar_range;similar_range_different_aspect,22,19.684313,0.694424,true,true,HIGH,MEDIUM,true
350,373,different_aspect_similar_range;similar_range_different_aspect,23,18.577809,0.745991,true,true,HIGH,MEDIUM,true
350,377,different_aspect_similar_range,27,12.568472,0.688239,true,true,HIGH,MEDIUM,true
350,379,different_aspect_similar_range,29,10.753701,0.609996,true,true,HIGH,MEDIUM,true
350,380,different_aspect_similar_range,30,10.451496,0.629946,true,true,HIGH,MEDIUM,true
350,383,non_adjacent_similar_aspect,33,3.707635,0.424548,true,true,HIGH,MEDIUM,true
350,385,non_adjacent_similar_aspect,35,3.206466,0.3225,true,true,HIGH,MEDIUM,true
350,386,non_adjacent_similar_aspect,36,3.629109,0.310628,true,true,HIGH,MEDIUM,true
350,387,non_adjacent_similar_aspect,37,4.219777,0.30018,true,true,HIGH,MEDIUM,true
350,389,non_adjacent_similar_aspect,39,0.928312,0.194047,true,true,HIGH,MEDIUM,true
350,390,non_adjacent_similar_aspect,40,1.404959,0.099684,true,true,HIGH,MEDIUM,true
350,391,non_adjacent_similar_aspect,41,1.048074,0.132389,true,true,HIGH,MEDIUM,true
350,392,non_adjacent_similar_aspect,42,1.077505,0.079806,true,true,HIGH,MEDIUM,true
350,393,non_adjacent_similar_aspect,43,1.761832,0.128945,true,true,HIGH,MEDIUM,true
350,394,non_adjacent_similar_aspect,44,2.743018,0.042906,true,true,HIGH,MEDIUM,true
351,360,different_aspect_similar_range,9,10.923263,0.506386,true,true,MEDIUM,HIGH,true
351,361,different_aspect_similar_range,10,12.227212,0.566756,true,true,MEDIUM,HIGH,true
351,362,different_aspect_similar_range,11,12.380528,0.574667,true,true,MEDIUM,HIGH,true
351,363,different_aspect_similar_range,12,14.303688,0.549369,true,true,MEDIUM,HIGH,true
351,364,different_aspect_similar_range;similar_range_different_aspect,13,15.245212,0.624983,true,true,MEDIUM,HIGH,true
351,365,different_aspect_similar_range,14,14.770606,0.651302,true,true,MEDIUM,HIGH,true
351,366,different_aspect_similar_range;similar_range_different_aspect,15,17.162948,0.689366,true,true,MEDIUM,HIGH,true
351,367,different_aspect_similar_range;similar_range_different_aspect,16,16.320467,0.736486,true,true,MEDIUM,HIGH,true
351,368,different_aspect_similar_range;similar_range_different_aspect,17,16.998578,0.727849,true,true,MEDIUM,MEDIUM,true
351,369,different_aspect_similar_range;similar_range_different_aspect,18,16.910202,0.707437,true,true,MEDIUM,MEDIUM,true
351,372,different_aspect_similar_range;similar_range_different_aspect,21,20.435764,0.689017,true,true,MEDIUM,MEDIUM,true
351,373,different_aspect_similar_range;similar_range_different_aspect,22,19.32926,0.740583,true,true,MEDIUM,MEDIUM,true
351,374,different_aspect_similar_range;similar_range_different_aspect,23,17.554705,0.746776,true,true,MEDIUM,MEDIUM,true
351,377,different_aspect_similar_range,26,13.319923,0.682831,true,true,MEDIUM,MEDIUM,true
351,378,different_aspect_similar_range,27,13.773088,0.748697,true,true,MEDIUM,MEDIUM,true
351,379,different_aspect_similar_range,28,11.505152,0.604588,true,true,MEDIUM,MEDIUM,true
351,380,different_aspect_similar_range,29,11.202947,0.624538,true,true,MEDIUM,MEDIUM,true
351,383,non_adjacent_similar_aspect,32,4.459086,0.41914,true,true,MEDIUM,MEDIUM,true
351,385,non_adjacent_similar_aspect,34,3.957917,0.317092,true,true,MEDIUM,MEDIUM,true
351,386,non_adjacent_similar_aspect,35,4.38056,0.30522,true,true,MEDIUM,MEDIUM,true
351,387,non_adjacent_similar_aspect,36,4.971228,0.294773,true,true,MEDIUM,MEDIUM,true
351,389,non_adjacent_similar_aspect,38,1.679763,0.188639,true,true,MEDIUM,MEDIUM,true
351,390,non_adjacent_similar_aspect,39,2.15641,0.094276,true,true,MEDIUM,MEDIUM,true
351,391,non_adjacent_similar_aspect,40,1.799525,0.126981,true,true,MEDIUM,MEDIUM,true
351,392,non_adjacent_similar_aspect,41,1.828956,0.085214,true,true,MEDIUM,MEDIUM,true
351,393,non_adjacent_similar_aspect,42,2.513283,0.134353,true,true,MEDIUM,MEDIUM,true
351,394,non_adjacent_similar_aspect,43,3.494469,0.048314,true,true,MEDIUM,MEDIUM,true
352,360,different_aspect_similar_range,8,10.156216,0.266885,true,true,MEDIUM,HIGH,true
352,361,different_aspect_similar_range,9,11.460165,0.327255,true,true,MEDIUM,HIGH,true
352,362,different_aspect_similar_range,10,11.613481,0.335166,true,true,MEDIUM,HIGH,true
352,363,different_aspect_similar_range,11,13.536641,0.309868,true,true,MEDIUM,HIGH,true
352,364,different_aspect_similar_range,12,14.478165,0.385482,true,true,MEDIUM,HIGH,true
352,365,different_aspect_similar_range,13,14.003559,0.411801,true,true,MEDIUM,HIGH,true
352,366,different_aspect_similar_range;similar_range_different_aspect,14,16.395901,0.449865,true,true,MEDIUM,HIGH,true
352,367,different_aspect_similar_range;similar_range_different_aspect,15,15.55342,0.496985,true,true,MEDIUM,HIGH,true
352,368,different_aspect_similar_range;similar_range_different_aspect,16,16.231531,0.488348,true,true,MEDIUM,MEDIUM,true
352,369,different_aspect_similar_range;similar_range_different_aspect,17,16.143155,0.467936,true,true,MEDIUM,MEDIUM,true
352,370,different_aspect_similar_range;similar_range_different_aspect,18,17.05292,0.53026,true,true,MEDIUM,MEDIUM,true
352,371,different_aspect_similar_range;similar_range_different_aspect,19,17.308396,0.525057,true,true,MEDIUM,MEDIUM,true
352,372,different_aspect_similar_range;similar_range_different_aspect,20,19.668717,0.449516,true,true,MEDIUM,MEDIUM,true
352,373,different_aspect_similar_range;similar_range_different_aspect,21,18.562213,0.501083,true,true,MEDIUM,MEDIUM,true
352,374,different_aspect_similar_range;similar_range_different_aspect,22,16.787658,0.507275,true,true,MEDIUM,MEDIUM,true
352,375,different_aspect_similar_range;similar_range_different_aspect,23,16.178988,0.587771,true,true,MEDIUM,MEDIUM,true
352,376,different_aspect_similar_range;similar_range_different_aspect,24,16.428977,0.550274,true,true,MEDIUM,MEDIUM,true
352,377,different_aspect_similar_range,25,12.552876,0.443331,true,true,MEDIUM,MEDIUM,true
352,378,different_aspect_similar_range,26,13.006041,0.509196,true,true,MEDIUM,MEDIUM,true
352,379,different_aspect_similar_range,27,10.738105,0.365087,true,true,MEDIUM,MEDIUM,true
352,380,different_aspect_similar_range,28,10.4359,0.385037,true,true,MEDIUM,MEDIUM,true
352,383,non_adjacent_similar_aspect,31,3.692039,0.179639,true,true,MEDIUM,MEDIUM,true
352,385,non_adjacent_similar_aspect,33,3.19087,0.077591,true,true,MEDIUM,MEDIUM,true
352,386,non_adjacent_similar_aspect,34,3.613513,0.065719,true,true,MEDIUM,MEDIUM,true
352,387,non_adjacent_similar_aspect,35,4.204181,0.055272,true,true,MEDIUM,MEDIUM,true
352,389,non_adjacent_similar_aspect,37,0.912716,0.050862,true,true,MEDIUM,MEDIUM,true
352,390,non_adjacent_similar_aspect,38,1.389363,0.145225,true,true,MEDIUM,MEDIUM,true
352,391,non_adjacent_similar_aspect,39,1.032478,0.11252,true,true,MEDIUM,MEDIUM,true
352,392,non_adjacent_similar_aspect,40,1.061909,0.324715,true,true,MEDIUM,MEDIUM,true
352,393,non_adjacent_similar_aspect,41,1.746236,0.373853,true,true,MEDIUM,MEDIUM,true
352,394,non_adjacent_similar_aspect,42,2.727422,0.287815,true,true,MEDIUM,MEDIUM,true
353,361,different_aspect_similar_range,8,10.956745,0.341674,true,true,HIGH,HIGH,true
353,362,different_aspect_similar_range,9,11.110061,0.349585,true,true,HIGH,HIGH,true
353,363,different_aspect_similar_range,10,13.033221,0.324287,true,true,HIGH,HIGH,true
353,364,different_aspect_similar_range,11,13.974745,0.399901,true,true,HIGH,HIGH,true
353,365,different_aspect_similar_range,12,13.500139,0.42622,true,true,HIGH,HIGH,true
