pair_id,sar_frame,timestamp_or_sequence_index,split,physical_vehicle_id,center_x,center_y,body_width_px,body_height_px,body_length_m_grid,body_width_m_grid,motion_tangent_image_deg,motion_tangent_uncertainty_deg,body_axis_proxy_deg,body_axis_proxy_source,body_axis_proxy_uncertainty_deg,local_range_axis_image_deg,relative_aspect_angle_deg,aspect_domain_status,aspect_observability_status,absolute_range_from_radar_m,absolute_azimuth_deg,gt_visible_fraction,gt_mask_contact_ratio,gt_boundary_contact_ratio,mask_observability_status,planned_anchor_class,plan_stage_input_role
WGV35A_PAIR_0027,334,334,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,907.7895,942.629,158.83115,69.254939,4.764934,2.077648,-0.333548,2.900752,1.088342,E0_R2_two_sided_trajectory_body_axis_proxy,1.97731,57.600356,56.512014,IN_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_HIGH,13.785028,-122.399644,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,geometry_identity_mask_metadata_aspect_proxy_only
WGV35A_PAIR_0030,335,335,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,922.34,938.917,158.83115,69.254939,4.764934,2.077648,-0.52904,3.817682,0.167191,E0_R2_two_sided_trajectory_body_axis_proxy,1.0447,59.397906,59.230715,IN_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_HIGH,13.651877,-120.602094,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,geometry_identity_mask_metadata_aspect_proxy_only
WGV35A_PAIR_0033,336,336,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,921.75,940.5815,158.83115,69.254939,4.764934,2.077648,0.135745,4.212995,179.786847,E0_R2_two_sided_trajectory_body_axis_proxy,1.169179,59.226854,59.440007,IN_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_HIGH,13.617968,-120.773146,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,geometry_identity_mask_metadata_aspect_proxy_only
WGV35A_PAIR_0035,337,337,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,931.1845,941.426,158.83115,69.254939,4.764934,2.077648,-0.245544,2.140989,179.500937,E0_R2_two_sided_trajectory_body_axis_proxy,1.021267,60.207379,60.706442,IN_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_HIGH,13.453358,-119.792621,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,geometry_identity_mask_metadata_aspect_proxy_only
WGV35A_PAIR_0038,338,338,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,939.9,941.11,158.83115,69.254939,4.764934,2.077648,-0.486978,1.185709,179.468615,E0_R2_two_sided_trajectory_body_axis_proxy,0.752018,61.202704,61.734089,IN_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_HIGH,13.333685,-118.797296,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,geometry_identity_mask_metadata_aspect_proxy_only
WGV35A_PAIR_0041,339,339,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,943.9145,943.403,158.83115,69.254939,4.764934,2.077648,-0.591188,0.600733,0.066252,E0_R2_two_sided_trajectory_body_axis_proxy,0.745194,61.51661,61.450358,IN_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_HIGH,13.215585,-118.48339,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,geometry_identity_mask_metadata_aspect_proxy_only
WGV35A_PAIR_0044,340,340,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,950.81,945.983,158.83115,69.254939,4.764934,2.077648,-0.298061,2.626841,0.742528,E0_R2_two_sided_trajectory_body_axis_proxy,1.070497,62.152874,61.410346,IN_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_HIGH,13.049704,-117.847126,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,geometry_identity_mask_metadata_aspect_proxy_only
WGV35A_PAIR_0048,341,341,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,954.2055,941.303,158.83115,69.254939,4.764934,2.077648,0.708955,2.924942,1.36998,E0_R2_two_sided_trajectory_body_axis_proxy,0.921609,62.832257,61.462277,IN_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_HIGH,13.127185,-117.167743,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,geometry_identity_mask_metadata_aspect_proxy_only
WGV35A_PAIR_0051,342,342,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,960.6925,941.6285,158.83115,69.254939,4.764934,2.077648,0.246471,2.167244,0.711232,E0_R2_two_sided_trajectory_body_axis_proxy,1.048169,63.573963,62.862731,IN_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_HIGH,13.030731,-116.426037,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,geometry_identity_mask_metadata_aspect_proxy_only
WGV35A_PAIR_0053,343,343,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,970.145,940.871,158.83115,69.254939,4.764934,2.077648,0.41966,2.025153,1.303458,E0_R2_two_sided_trajectory_body_axis_proxy,1.068399,64.744363,63.440905,IN_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_HIGH,12.927576,-115.255637,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,geometry_identity_mask_metadata_aspect_proxy_only
