edge_id,sar_frame,source_atom_id,target_atom_id,support_boundary_gap_px,centroid_distance_px,radial_delta,azimuth_delta,orientation_delta,energy_ratio,role_relation,shared_or_compatible_lineage,background_conflict,edge_status
R21GE00151,79,R21A00068,R21A00072,60,110.082155,110.762604,10.270774,11.387595,32.140025,background_conflict_relation,false,true,ambiguous_relation
R21GE00152,79,R21A00068,R21A00073,12,70.695795,29.178116,22.097482,6.804456,77.578265,background_conflict_relation,false,true,blocked_by_background
R21GE00153,79,R21A00068,R21A00074,60,123.02376,122.205101,15.726685,59.263599,78.045135,background_conflict_relation,false,true,ambiguous_relation
R21GE00154,79,R21A00069,R21A00070,55.317267,113.951554,110.021805,7.874743,13.4002,7.526645,unresolved_local_response,true,false,ambiguous_relation
R21GE00155,79,R21A00069,R21A00071,0,46.73272,45.248886,1.778355,24.550134,9.070446,body_to_side,true,false,accepted_local_relation
R21GE00156,79,R21A00069,R21A00072,6,51.327805,51.619446,4.10144,11.225697,11.434531,unresolved_local_response,true,false,accepted_local_relation
R21GE00157,79,R21A00069,R21A00073,0,36.829644,29.965042,7.725267,15.808837,27.600199,role_ambiguous,false,false,blocked_by_role
R21GE00158,79,R21A00069,R21A00074,30.594117,78.681974,63.061943,30.098899,81.876891,27.766299,role_ambiguous,false,false,blocked_by_role
R21GE00159,79,R21A00070,R21A00071,42.426407,68.423129,64.772919,6.096388,37.950334,1.205111,unresolved_local_response,true,false,ambiguous_relation
R21GE00160,79,R21A00070,R21A00072,132.136293,164.68001,161.641251,11.976183,24.625897,1.519207,role_ambiguous,false,false,blocked_by_role
R21GE00161,79,R21A00070,R21A00073,61.773781,80.088004,80.056763,0.149475,29.209037,3.666999,role_ambiguous,false,false,blocked_by_role
R21GE00162,79,R21A00070,R21A00074,162.111073,192.084522,173.083748,37.973642,84.722909,3.689067,role_ambiguous,false,false,blocked_by_role
R21GE00163,79,R21A00071,R21A00072,64.621978,98.059583,96.868332,5.879795,13.324437,1.260636,unresolved_local_response,true,false,ambiguous_relation
R21GE00164,79,R21A00071,R21A00073,12,23.163742,15.283844,5.946913,8.741297,3.042871,role_ambiguous,false,false,blocked_by_role
R21GE00165,79,R21A00071,R21A00074,89.196412,123.832194,108.310829,31.877254,57.326757,3.061184,role_ambiguous,false,false,blocked_by_role
R21GE00166,79,R21A00072,R21A00073,55.317267,85.286623,81.584488,11.826708,4.58314,2.413759,role_ambiguous,false,false,blocked_by_role
R21GE00167,79,R21A00072,R21A00074,6,34.708113,11.442497,25.997459,70.651194,2.428285,role_ambiguous,false,false,blocked_by_role
R21GE00168,79,R21A00073,R21A00074,88.588938,115.099906,93.026985,37.824166,66.068055,1.006018,role_ambiguous,false,false,blocked_by_role
R21GE00169,80,R21A00075,R21A00076,18,74.284593,56.96402,18.287636,29.761704,2.150314,body_to_side,true,false,accepted_local_relation
R21GE00170,80,R21A00075,R21A00077,78,113.79477,113.883514,4.672014,2.578533,15.882702,side_to_side,true,false,blocked_by_geometry
R21GE00171,80,R21A00075,R21A00078,6,88.094371,7.297592,26.642857,86.602481,18.24804,unresolved_local_response,true,false,accepted_local_relation
R21GE00172,80,R21A00075,R21A00079,30,107.18708,52.92868,25.154293,47.267294,18.828855,background_conflict_relation,false,true,ambiguous_relation
R21GE00173,80,R21A00075,R21A00080,12,61.436089,12.044159,19.425503,8.319808,21.352367,side_to_side,true,false,accepted_local_relation
R21GE00174,80,R21A00075,R21A00081,43.680659,123.966886,28.592865,34.797253,49.34783,71.527255,role_ambiguous,false,false,blocked_by_role
R21GE00175,80,R21A00076,R21A00077,0,61.715098,56.919495,13.615622,32.340237,7.386224,body_to_side,true,false,accepted_local_relation
R21GE00176,80,R21A00076,R21A00078,12,69.423289,64.261612,8.355221,63.635815,8.48622,unresolved_local_response,true,false,accepted_local_relation
R21GE00177,80,R21A00076,R21A00079,50.911688,113.056834,109.8927,6.866657,17.50559,8.756327,background_conflict_relation,false,true,ambiguous_relation
R21GE00178,80,R21A00076,R21A00080,0,46.080236,44.919861,1.137867,21.441896,9.929882,body_to_side,true,false,accepted_local_relation
R21GE00179,80,R21A00076,R21A00081,48,99.355716,85.556885,16.509617,19.586126,33.263627,role_ambiguous,false,false,blocked_by_role
R21GE00180,80,R21A00077,R21A00078,80.721744,130.75322,121.181107,21.970842,84.023949,1.148925,unresolved_local_response,true,false,blocked_by_geometry
R21GE00181,80,R21A00077,R21A00079,127.56175,174.769345,166.812195,20.482279,49.845827,1.185494,background_conflict_relation,false,true,ambiguous_relation
R21GE00182,80,R21A00077,R21A00080,59.093147,107.298534,101.839355,14.753489,10.89834,1.344379,side_to_side,true,false,ambiguous_relation
R21GE00183,80,R21A00077,R21A00081,104.785495,157.966554,142.476379,30.125238,51.926363,4.503469,role_ambiguous,false,false,blocked_by_role
R21GE00184,80,R21A00078,R21A00079,18.973666,46.011093,45.631088,1.488564,46.130225,1.031829,background_conflict_relation,false,true,blocked_by_background
R21GE00185,80,R21A00078,R21A00080,6,30.460646,19.341751,7.217354,85.077711,1.170118,unresolved_local_response,true,false,accepted_local_relation
R21GE00186,80,R21A00078,R21A00081,18,36.447476,21.295273,8.154396,44.049689,3.919722,role_ambiguous,false,false,blocked_by_role
R21GE00187,80,R21A00079,R21A00080,42.426407,68.259781,64.972839,5.72879,38.947486,1.134024,background_conflict_relation,false,true,ambiguous_relation
R21GE00188,80,R21A00079,R21A00081,30,45.869751,24.335815,9.64296,2.080536,3.798811,background_conflict_relation,false,true,ambiguous_relation
R21GE00189,80,R21A00080,R21A00081,42,66.568693,40.637024,15.37175,41.028022,3.349851,role_ambiguous,false,false,blocked_by_role
R21GE00190,81,R21A00082,R21A00083,0,70.302442,56.549225,16.679789,24.431563,2.325134,background_conflict_relation,false,true,blocked_by_background
R21GE00191,81,R21A00082,R21A00084,6,101.512825,53.778793,22.897642,41.065213,22.801533,background_conflict_relation,false,true,blocked_by_background
R21GE00192,81,R21A00082,R21A00085,54,111.847137,112.765381,11.074463,15.802575,26.434188,background_conflict_relation,false,true,ambiguous_relation
R21GE00193,81,R21A00082,R21A00086,0,59.117816,9.410278,18.688009,0.187988,44.334862,background_conflict_relation,false,true,blocked_by_background
R21GE00194,81,R21A00083,R21A00084,55.317267,113.176984,110.328018,6.217854,16.63365,9.806547,unresolved_local_response,true,false,ambiguous_relation
R21GE00195,81,R21A00083,R21A00085,0,56.39673,56.216156,5.605326,8.628988,11.368889,unresolved_local_response,true,false,accepted_local_relation
R21GE00196,81,R21A00083,R21A00086,0,48.51455,47.138947,2.008221,24.243575,19.067661,role_ambiguous,false,false,blocked_by_role
R21GE00197,81,R21A00084,R21A00085,131.590273,169.388409,166.544174,11.823179,25.262638,1.159316,role_ambiguous,false,false,blocked_by_role
