region_id,pair_id,sar_frame,family,variant,comparison_group,area_ratio_to_gt,offset_axis,offset_value,offset_unit,scale_ratio,rotation_relative_to_gt_deg,region_area_px,region_area_m2,region_area_p0_convention_m2,total_energy,mean_energy,median_energy,energy_std,peak_energy,energy_quantile_90,energy_quantile_95,energy_quantile_99,high_energy_threshold,high_energy_pixel_count,high_energy_pixel_fraction,response_occupancy_ratio,component_count,component_count_per_m2,component_count_per_p0_convention_m2,peak_count,peak_count_per_m2,peak_count_per_p0_convention_m2,energy_centroid_x,energy_centroid_y,energy_centroid_range_px,energy_centroid_azimuth_px,energy_centroid_range_m,energy_centroid_azimuth_m,energy_centroid_range_p0_convention_m,energy_centroid_azimuth_p0_convention_m,principal_axis_deg,principal_axis_minus_gt_storage_axis_deg,principal_axis_minus_local_range_axis_deg,range_support_width_px,azimuth_support_width_px,range_energy90_width_px,azimuth_energy90_width_px,range_second_moment_width_px,azimuth_second_moment_width_px,range_support_width_m,azimuth_support_width_m,range_energy90_width_m,azimuth_energy90_width_m,range_second_moment_width_m,azimuth_second_moment_width_m,range_support_width_p0_convention_m,azimuth_support_width_p0_convention_m,range_energy90_width_p0_convention_m,azimuth_energy90_width_p0_convention_m,near_far_energy_ratio,front_rear_energy_ratio,inside_gt_pixel_fraction,inside_gt_energy_fraction,inside_ring_energy_ratio,boundary_contact_ratio,mask_contact_ratio,visible_fraction,metric_extent_reliable,observation_status,crop_bbox,mask_definition,gt_file_opened_for_region_generation,final_detection_label,body_axis_source,heading_confidence,sar_motion_heading_deg,body_long_energy90_width_px,body_short_energy90_width_px,body_long_energy90_width_m,body_short_energy90_width_m,body_long_second_moment_width_m,body_short_second_moment_width_m,energy_centroid_body_long_m,energy_centroid_body_short_m,body_positive_negative_energy_ratio,body_short_positive_negative_energy_ratio,principal_axis_minus_body_axis_deg,response_linearity,response_compactness,raw_image_grid_extent_available,psf_corrected_extent_ready,local_background_normalized_energy
E0_R1_REG_000315_0011,WGV35A_PAIR_0003,315,METRIC_TRANSLATION,local_azimuth_-0.45m,metric_translation_surface,1.088095,local_azimuth,-0.45,metre_current_image_grid,1,0,11042,9.9378,9.9378,448422,40.610577,40,7.655893,112,50,53,65,51,894,0.080964,0.080964,165,16.603272,16.603272,22,2.21377,2.21377,780.694118,951.238213,-0.90147,-14.748727,-0.027044,-0.442462,-0.027044,-0.442462,178.874183,178.874183,-48.174731,136.07735,149.184834,88.152447,101.662002,124.025948,136.495255,4.082321,4.475545,2.644573,3.04986,,,4.082321,4.475545,2.644573,3.04986,1.030235,0.78502,0.753758,0.761811,3.198354,0,0,1,raw_image_grid_current_config_only,fully_observed,"696,908,864,994",zero_value_proxy_only,true,,SAR_MOTION_HEADING_PROXY,HIGH,4.415781,131.223201,55.375693,3.936696,1.661271,5.342816,1.916749,-0.279784,0.343839,0.797023,2.036978,176.026027,2.750823,0.161286,true,false,0.975717
E0_R1_REG_000315_0012,WGV35A_PAIR_0003,315,METRIC_TRANSLATION,local_azimuth_+0.00m,metric_translation_surface,1.088095,local_azimuth,0,metre_current_image_grid,1,0,11050,9.945,9.945,446668,40.422443,40,7.547377,112,48,52,64,51,833,0.075385,0.075385,153,15.384615,15.384615,20,2.011061,2.011061,791.611141,940.980511,-0.832064,0.23116,-0.024962,0.006935,-0.024962,0.006935,-178.637283,-178.637283,-45.686197,148.192816,145.751473,89.66688,103.378683,126.027606,129.046806,4.445784,4.372544,2.690006,3.101361,,,4.445784,4.372544,2.690006,3.101361,1.033878,1.037756,0.870136,0.874383,6.960719,0,0,1,raw_image_grid_current_config_only,fully_observed,"707,897,875,984",zero_value_proxy_only,true,,SAR_MOTION_HEADING_PROXY,HIGH,4.415781,128.682411,57.316077,3.860472,1.719482,5.150496,2.198223,0.023062,0.011805,1.029977,1.048945,179.817627,2.297189,0.187511,true,false,0.971196
E0_R1_REG_000315_0013,WGV35A_PAIR_0003,315,METRIC_TRANSLATION,local_azimuth_+0.45m,metric_translation_surface,1.088095,local_azimuth,0.45,metre_current_image_grid,1,0,11042,9.9378,9.9378,437663,39.636208,39,6.954972,112,47,50,59,51,526,0.047636,0.047636,141,14.188251,14.188251,9,0.905633,0.905633,802.351711,930.171362,-0.238805,15.457637,-0.007164,0.463729,-0.007164,0.463729,-164.206844,-164.206844,-31.255758,152.078811,147.191275,102.740599,83.113226,134.175918,96.072519,4.562364,4.415738,3.082218,2.493397,,,4.562364,4.415738,3.082218,2.493397,1.00554,1.368986,0.74117,0.745331,2.926673,0,0,1,raw_image_grid_current_config_only,fully_observed,"718,887,886,973",zero_value_proxy_only,true,,SAR_MOTION_HEADING_PROXY,HIGH,4.415781,137.374921,62.131704,4.121248,1.863951,5.224081,2.42054,0.319355,-0.336316,1.324397,0.522068,-172.706908,2.25708,0.155588,true,false,0.952306
E0_R1_REG_000315_0014,WGV35A_PAIR_0003,315,METRIC_TRANSLATION,local_azimuth_+0.90m,metric_translation_surface,1.088095,local_azimuth,0.9,metre_current_image_grid,1,0,11082,9.9738,9.9738,431997,38.981861,39,6.112665,74,46,48,53,51,317,0.028605,0.028605,132,13.234675,13.234675,6,0.601576,0.601576,812.562166,919.755975,0.427452,30.027804,0.012824,0.900834,0.012824,0.900834,-166.353107,-166.353107,-33.402021,155.586804,146.307654,113.892964,92.806568,149.065202,112.137305,4.667604,4.38923,3.416789,2.784197,,,4.667604,4.38923,3.416789,2.784197,0.975828,1.773514,0.563165,0.564115,1.294183,0,0,1,raw_image_grid_current_config_only,fully_observed,"728,877,897,963",zero_value_proxy_only,true,,SAR_MOTION_HEADING_PROXY,HIGH,4.415781,143.487783,62.682317,4.304633,1.88047,5.435449,2.454332,0.600702,-0.671434,1.672471,0.216362,-175.251236,2.258227,0.162328,true,false,0.936585
E0_R1_REG_000315_0015,WGV35A_PAIR_0003,315,METRIC_TRANSLATION,body_long_-0.90m,metric_translation_surface,1.088095,body_long,-0.9,metre_current_image_grid,1,0,11042,9.9378,9.9378,438931,39.751041,39,6.683945,74,47,51,59,51,574,0.051983,0.051983,138,13.886373,13.886373,14,1.408763,1.408763,761.239081,938.207891,21.892039,-20.110044,0.656761,-0.603301,0.656761,-0.603301,-172.503557,-172.503557,-39.552471,157.681487,136.087048,103.068039,87.728732,126.311139,113.204437,4.730445,4.082611,3.092041,2.631862,,,4.730445,4.082611,3.092041,2.631862,0.45815,0.46226,0.739631,0.74648,2.944454,0,0,1,raw_image_grid_current_config_only,fully_observed,"677,895,845,981",zero_value_proxy_only,true,,SAR_MOTION_HEADING_PROXY,HIGH,4.415781,134.907238,62.935891,4.047217,1.888077,5.109198,2.516103,-0.8918,-0.000973,0.45818,1.010024,-173.65202,2.084495,0.168659,true,false,0.955065
E0_R1_REG_000315_0016,WGV35A_PAIR_0003,315,METRIC_TRANSLATION,body_long_-0.45m,metric_translation_surface,1.088095,body_long,-0.45,metre_current_image_grid,1,0,11123,10.0107,10.0107,446506,40.142586,40,7.063715,93,48,52,61,51,720,0.064731,0.064731,152,15.183753,15.183753,17,1.698183,1.698183,776.591761,939.644921,10.379313,-9.852023,0.311379,-0.295561,0.311379,-0.295561,-175.141237,-175.141237,-42.190151,154.628551,146.408778,110.055107,95.327391,132.883792,124.826742,4.638857,4.392263,3.301653,2.859822,,,4.638857,4.392263,3.301653,2.859822,0.704182,0.708532,0.826396,0.831259,4.926232,0,0,1,raw_image_grid_current_config_only,fully_observed,"692,896,860,983",zero_value_proxy_only,true,,SAR_MOTION_HEADING_PROXY,HIGH,4.415781,140.204257,59.136724,4.206128,1.774102,5.226569,2.342359,-0.429267,0.006548,0.702811,1.029914,-176.512091,2.220681,0.151727,true,false,0.964473
E0_R1_REG_000315_0017,WGV35A_PAIR_0003,315,METRIC_TRANSLATION,body_long_+0.00m,metric_translation_surface,1.088095,body_long,0,metre_current_image_grid,1,0,11050,9.945,9.945,446668,40.422443,40,7.547377,112,48,52,64,51,833,0.075385,0.075385,153,15.384615,15.384615,20,2.011061,2.011061,791.611141,940.980511,-0.832064,0.23116,-0.024962,0.006935,-0.024962,0.006935,-178.637283,-178.637283,-45.686197,148.192816,145.751473,89.66688,103.378683,126.027606,129.046806,4.445784,4.372544,2.690006,3.101361,,,4.445784,4.372544,2.690006,3.101361,1.033878,1.037756,0.870136,0.874383,6.960719,0,0,1,raw_image_grid_current_config_only,fully_observed,"707,897,875,984",zero_value_proxy_only,true,,SAR_MOTION_HEADING_PROXY,HIGH,4.415781,128.682411,57.316077,3.860472,1.719482,5.150496,2.198223,0.023062,0.011805,1.029977,1.048945,179.817627,2.297189,0.187511,true,false,0.971196
E0_R1_REG_000315_0018,WGV35A_PAIR_0003,315,METRIC_TRANSLATION,body_long_+0.45m,metric_translation_surface,1.088095,body_long,0.45,metre_current_image_grid,1,0,11082,9.9738,9.9738,448941,40.51083,40,7.580544,112,50,53,65,51,873,0.078776,0.078776,165,16.543344,16.543344,20,2.005254,2.005254,805.642579,942.501892,-11.506271,9.464641,-0.345188,0.283939,-0.345188,0.283939,178.579457,178.579457,-48.469457,150.489747,146.432846,88.426901,106.356988,122.551683,135.001097,4.514692,4.392985,2.652807,3.19071,,,4.514692,4.392985,2.652807,3.19071,1.488518,1.482188,0.831529,0.835932,5.095022,0,0,1,raw_image_grid_current_config_only,fully_observed,"721,899,890,985",zero_value_proxy_only,true,,SAR_MOTION_HEADING_PROXY,HIGH,4.415781,131.681277,54.836737,3.950438,1.645102,5.180145,2.068452,0.446269,0.024901,1.471666,1.078152,176.0215,2.488013,0.156627,true,false,0.97332
E0_R1_REG_000315_0019,WGV35A_PAIR_0003,315,METRIC_TRANSLATION,body_long_+0.90m,metric_translation_surface,1.088095,body_long,0.9,metre_current_image_grid,1,0,11082,9.9738,9.9738,448117,40.436474,40,7.469446,112,48,52,64,51,836,0.075438,0.075438,172,17.245182,17.245182,20,2.005254,2.005254,820.215223,943.376627,-22.075937,19.534857,-0.662278,0.586046,-0.662278,0.586046,176.634725,176.634725,-50.414189,158.61567,156.730508,78.584297,105.901931,111.460483,128.481994,4.75847,4.701915,2.357529,3.177058,,,4.75847,4.701915,2.357529,3.177058,2.214451,2.214267,0.743187,0.750737,3.011826,0,0,1,raw_image_grid_current_config_only,fully_observed,"736,900,905,986",zero_value_proxy_only,true,,SAR_MOTION_HEADING_PROXY,HIGH,4.415781,127.308182,56.226508,3.819245,1.686795,4.849231,2.143051,0.884171,0.017405,2.195016,1.0621,173.413976,2.309493,0.193487,true,false,0.971534
E0_R1_REG_000315_0020,WGV35A_PAIR_0003,315,METRIC_TRANSLATION,body_short_-0.90m,metric_translation_surface,1.088095,body_short,-0.9,metre_current_image_grid,1,0,11164,10.0476,10.0476,432975,38.783142,39,5.884792,66,46,48,52,51,252,0.022573,0.022573,126,12.540308,12.540308,3,0.298579,0.298579,792.703482,910.325649,20.86103,21.918101,0.625831,0.657543,0.625831,0.657543,-169.469931,-169.469931,-36.518845,160.609229,150.143087,131.006787,110.267052,165.062158,132.09747,4.818277,4.504293,3.930204,3.308012,,,4.818277,4.504293,3.930204,3.308012,0.471438,1.060177,0.510391,0.512565,1.051557,0,0,1,raw_image_grid_current_config_only,fully_observed,"709,867,878,954",zero_value_proxy_only,true,,SAR_MOTION_HEADING_PROXY,HIGH,4.415781,142.883491,63.078221,4.286505,1.892347,5.528643,2.472704,-0.015072,-0.907634,0.98898,0.070914,-177.479047,2.242984,0.148344,true,false,0.93181
