independent_geometry_id,scene,sar_frame,member_sar_frames,conservative_bbox,core_bbox,member_response_unit_count,member_response_unit_ids,representative_response_unit_id,measured_once_then_mapped_to_members
GM019IG0136,GM_RM019,80,80,"1146,1241,1212,1271","1146,1241,1212,1271",1,R21B00094,R21B00094,true
GM019IG0137,GM_RM019,289,289,"1146,1246,1206,1270","1146,1246,1206,1270",1,R21B00238,R21B00238,true
GM019IG0138,GM_RM019,290,290,"1146,1246,1206,1282","1146,1246,1206,1282",1,R21B00246,R21B00246,true
GM019IG0139,GM_RM019,78,78;79,"1146,1247,1164,1271","1146,1247,1164,1271",2,R21B00081;R21B00089,R21B00081,true
GM019IG0140,GM_RM019,276,276,"1157,1194,1271,1242","1157,1194,1271,1242",1,R21B00203,R21B00203,true
GM019IG0141,GM_RM019,276,276,"1157,1212,1211,1242","1157,1212,1211,1242",1,R21B00197,R21B00197,true
GM019IG0142,GM_RM019,60,60,"1162,1249,1192,1267","1162,1249,1192,1267",1,R21B00068,R21B00068,true
GM019IG0143,GM_RM019,278,278;279,"1163,1212,1217,1266","1163,1212,1217,1266",2,R21B00205;R21B00209,R21B00205,true
GM019IG0144,GM_RM019,280,280,"1163,1212,1223,1266","1163,1212,1223,1266",1,R21B00214,R21B00214,true
GM019IG0145,GM_RM019,281,281,"1169,1200,1283,1266","1169,1200,1283,1266",1,R21B00223,R21B00223,true
GM019IG0146,GM_RM019,281,281,"1169,1212,1223,1266","1169,1212,1223,1266",1,R21B00218,R21B00218,true
GM019IG0147,GM_RM019,78,78,"1170,1175,1260,1271","1170,1175,1260,1271",1,R21B00083,R21B00083,true
GM019IG0148,GM_RM019,78,78,"1170,1187,1248,1271","1170,1187,1248,1271",1,R21B00077,R21B00077,true
GM019IG0149,GM_RM019,79,79,"1170,1187,1254,1271","1170,1187,1254,1271",1,R21B00091,R21B00091,true
GM019IG0150,GM_RM019,288,288,"1170,1246,1206,1270","1170,1246,1206,1270",1,R21B00234,R21B00234,true
GM019IG0151,GM_RM019,79,79,"1170,1247,1206,1271","1170,1247,1206,1271",1,R21B00087,R21B00087,true
GM019IG0152,GM_RM019,284,284,"1175,1206,1235,1266","1175,1206,1235,1266",1,R21B00226,R21B00226,true
GM019IG0153,GM_RM019,276,276,"1175,1254,1211,1266","1175,1254,1211,1266",1,R21B00200,R21B00200,true
GM019IG0154,GM_RM019,81,81,"1176,1181,1260,1271","1176,1181,1260,1271",1,R21B00104,R21B00104,true
GM019IG0155,GM_RM019,81,81,"1176,1241,1212,1271","1176,1241,1212,1271",1,R21B00102,R21B00102,true
GM019IG0156,GM_RM019,243,243,"1177,1165,1195,1177","1177,1165,1195,1177",1,R21B00139,R21B00139,true
GM019IG0157,GM_RM019,52,52,"1180,1135,1193,1147","1180,1135,1193,1147",1,R21B00064,R21B00064,true
GM019IG0158,GM_RM019,250,250,"1183,1165,1201,1189","1183,1165,1201,1189",1,R21B00141,R21B00141,true
GM019IG0159,GM_RM019,259,259,"1189,1141,1218,1189","1189,1141,1218,1189",1,R21B00145,R21B00145,true
GM019IG0160,GM_RM019,259,259,"1189,1141,1218,1237","1189,1141,1218,1237",1,R21B00148,R21B00148,true
GM019IG0161,GM_RM019,259,259,"1189,1195,1218,1237","1189,1195,1218,1237",1,R21B00144,R21B00144,true
GM019IG0162,GM_RM019,79,79,"1194,1175,1260,1241","1194,1175,1260,1241",1,R21B00090,R21B00090,true
