region_id,scene,hypothesis_id,region_role,control_family,sar_frame,azimuth_min,azimuth_max,valid_pixel_count,nonzero_pixel_count,nonzero_ratio,mean_intensity,p95_intensity,p99_intensity,max_intensity,top1pct_mean_intensity,sum_intensity
WGV33C_WGV33B_H001_AUTO_RESPONSE,GM_RM011,WGV33B_H001,automatic_feasible_field_response,automatic_response,24,-55.052,38.971,1456143,1455183,0.99934072,45.56088104,59,76,250,96.65286362,66343158
WGV33C_WGV33B_H001_AUTO_RESPONSE,GM_RM011,WGV33B_H001,automatic_feasible_field_response,automatic_response,25,-55.052,38.971,1456143,1455091,0.99927754,41.68256483,53,69,251,87.91759374,60695775
WGV33C_WGV33B_H001_AUTO_RESPONSE,GM_RM011,WGV33B_H001,automatic_feasible_field_response,automatic_response,26,-55.052,38.971,1456143,1455184,0.99934141,45.06167663,58,76,253,95.17868425,65616245
WGV33C_WGV33B_H001_AUTO_RESPONSE,GM_RM011,WGV33B_H001,automatic_feasible_field_response,automatic_response,27,-55.052,38.971,1456143,1455190,0.99934553,44.22581711,57,74,248,93.42871858,64399114
WGV33C_WGV33B_H001_AUTO_RESPONSE,GM_RM011,WGV33B_H001,automatic_feasible_field_response,automatic_response,28,-55.052,38.971,1456143,1455289,0.99941352,48.20660952,62,81,253,101.75065238,70195717
WGV33C_WGV33B_H001_AUTO_RESPONSE,GM_RM011,WGV33B_H001,automatic_feasible_field_response,automatic_response,29,-55.052,38.971,1456143,1455359,0.99946159,50.42634961,65,85,255,106.32227716,73427976
WGV33C_WGV33B_H001_AUTO_RESPONSE,GM_RM011,WGV33B_H001,automatic_feasible_field_response,automatic_response,30,-55.052,38.971,1456143,1455368,0.99946777,51.33886644,66,87,252,108.7535366,74756731
WGV33C_WGV33B_H001_AUTO_RESPONSE,GM_RM011,WGV33B_H001,automatic_feasible_field_response,automatic_response,31,-55.052,38.971,1456143,1455441,0.9995179,54.19447334,69,93,249,115.93256421,78914903
WGV33C_WGV33B_H001_AUTO_RESPONSE,GM_RM011,WGV33B_H001,automatic_feasible_field_response,automatic_response,32,-55.052,38.971,1456143,1455307,0.99942588,49.54689958,64,85,255,107.3986403,72147371
WGV33C_WGV33B_H001_AUTO_RESPONSE,GM_RM011,WGV33B_H001,automatic_feasible_field_response,automatic_response,33,-55.052,38.971,1456143,1455198,0.99935103,42.15665975,54,72,251,91.31369317,61386125
WGV33C_WGV33B_H001_AUTO_RESPONSE,GM_RM011,WGV33B_H001,automatic_feasible_field_response,automatic_response,34,-55.052,38.971,1456143,1455178,0.99933729,41.80919044,54,73,255,92.53996704,60880160
WGV33C_WGV33B_H001_AUTO_RESPONSE,GM_RM011,WGV33B_H001,automatic_feasible_field_response,automatic_response,35,-55.052,38.971,1456143,1455271,0.99940116,45.55880569,59,82,250,104.56386485,66340136
WGV33C_WGV33B_H001_AUTO_RESPONSE,GM_RM011,WGV33B_H001,automatic_feasible_field_response,automatic_response,36,-55.052,38.971,1456143,1455327,0.99943962,48.89106564,64,91,251,116.76830106,71192383
WGV33C_WGV33B_H001_AUTO_RESPONSE,GM_RM011,WGV33B_H001,automatic_feasible_field_response,automatic_response,37,-55.052,38.971,1456143,1455266,0.99939772,46.86076917,60,89,255,112.81767614,68235981
WGV33C_WGV33B_H001_AUTO_RESPONSE,GM_RM011,WGV33B_H001,automatic_feasible_field_response,automatic_response,38,-55.052,38.971,1456143,1455236,0.99937712,47.11630726,61,90,255,113.51428375,68608081
WGV33C_WGV33B_H001_AUTO_RESPONSE,GM_RM011,WGV33B_H001,automatic_feasible_field_response,automatic_response,39,-55.052,38.971,1456143,1455166,0.99932905,43.16717795,55,81,255,102.12278533,62857584
WGV33C_WGV33B_H001_AUTO_RESPONSE,GM_RM011,WGV33B_H001,automatic_feasible_field_response,automatic_response,40,-55.052,38.971,1456143,1455052,0.99925076,38.93219759,51,72,251,91.16220299,56690847
WGV33C_WGV33B_H001_AUTO_RESPONSE,GM_RM011,WGV33B_H001,automatic_feasible_field_response,automatic_response,41,-55.052,38.971,1456143,1455180,0.99933866,39.55342367,51,72,253,90.23753605,57595441
WGV33C_WGV33B_H001_AUTO_RESPONSE,GM_RM011,WGV33B_H001,automatic_feasible_field_response,automatic_response,42,-55.052,38.971,1456143,1455257,0.99939154,45.58536078,59,82,249,103.53708282,66378804
WGV33C_WGV33B_H001_AUTO_RESPONSE,GM_RM011,WGV33B_H001,automatic_feasible_field_response,automatic_response,43,-55.052,38.971,1456143,1455307,0.99942588,52.28296809,68,95,252,117.51634391,76131478
WGV33C_WGV33B_H001_AUTO_RESPONSE,GM_RM011,WGV33B_H001,automatic_feasible_field_response,automatic_response,44,-55.052,38.971,1456143,1455317,0.99943275,52.53012719,68,94,249,116.06159868,76491377
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,0,41,62,301680,299564,0.99298595,28.83467582,36,39,75,42.65296652,8698845
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,1,41,62,301680,299604,0.99311854,31.93475537,38,44,95,50.53828306,9634077
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,2,41,62,301680,299450,0.99260806,28.14612503,34,40,95,46.90056347,8491123
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,3,41,62,301680,299596,0.99309202,30.09134182,36,44,107,49.75903215,9077956
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,4,41,62,301680,299516,0.99282684,31.5175716,39,47,105,53.70732516,9508221
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,5,41,62,301680,299626,0.99319146,32.53571665,39,47,102,53.96884322,9815375
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,6,41,62,301680,299537,0.99289645,32.94356935,41,48,107,55.27245608,9938416
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,7,41,62,301680,299733,0.99354614,34.81378613,41,50,89,55.54789526,10502623
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,8,41,62,301680,299617,0.99316163,36.88775192,46,52,88,57.79880676,11128297
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,9,41,62,301680,299630,0.99320472,36.03026717,43,48,76,52.31421942,10869611
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,10,41,62,301680,299496,0.99276054,33.53210024,41,46,76,48.52999669,10115964
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,11,41,62,301680,299748,0.99359586,40.7192323,50,54,86,57.66655618,12284178
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,12,41,62,301680,299662,0.99331079,44.84220366,57,61,107,65.14716606,13527996
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,13,41,62,301680,299710,0.9934699,42.95025192,52,58,115,61.03049387,12957232
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,14,41,62,301680,299570,0.99300583,43.34431517,54,60,116,64.00099437,13076113
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,15,41,62,301680,299397,0.99243238,36.92210621,45,51,147,56.63805104,11138661
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,16,41,62,301680,299456,0.99262795,38.45814439,48,54,170,63.70434206,11602053
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,17,41,62,301680,299451,0.99261138,37.38169915,46,53,163,63.1859463,11277311
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,18,41,62,301680,299338,0.99223681,38.34648634,50,57,166,65.86078886,11568368
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,19,41,62,301680,299462,0.99264784,43.40326505,55,65,190,74.99370235,13093897
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,20,41,62,301680,299334,0.99222355,45.46845333,59,68,211,79.24759695,13716923
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,21,41,62,301680,299287,0.99206775,49.39187881,64,74,220,87.22240636,14900542
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,22,41,62,301680,299251,0.99194842,52.16359387,67,78,241,92.13556513,15736713
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,23,41,62,301680,299143,0.99159043,50.33553103,65,73,231,87.59529334,15185223
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,24,41,62,301680,299062,0.99132193,43.47110183,57,62,202,75.09413324,13114362
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,25,41,62,301680,298913,0.99082803,39.77743304,51,58,183,67.87537289,12000056
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,26,41,62,301680,298989,0.99107995,43.01600371,55,61,182,72.55585018,12977068
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,27,41,62,301680,299049,0.99127884,42.23218311,54,60,193,70.66291018,12740605
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,28,41,62,301680,299108,0.99147441,45.98542827,59,66,201,76.05336427,13872884
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,29,41,62,301680,299166,0.99166667,47.91630536,61,67,170,75.77063308,14455391
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,30,41,62,301680,299078,0.99137497,48.66004375,62,68,118,72.55817037,14679762
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,31,41,62,301680,299114,0.9914943,51.2334162,65,71,112,74.87073252,15456097
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,32,41,62,301680,299003,0.99112636,46.73558738,60,65,101,67.75074577,14099192
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,same_time_adjacent_azimuth_control,matched_background_control,33,41,62,301680,299005,0.99113299,39.7976896,51,54,89,57.51872721,12006167
