auto_node_id,scene,detection_source,tracker_name,tracker_variant,track_id,tracklet_segment_id,start_frame,end_frame,frame_count,linked_embedding_count,start_bbox,end_bbox,representative_frames,mean_bbox_width,mean_bbox_height,mean_bbox_area,aspect_ratio_mean,aspect_ratio_std,edge_contact_ratio,truncation_like_ratio,same_frame_competitor_count,internal_embedding_stability,aggregate_embedding_available,motion_estimate_available,track_identity_status,track_status,duplicate_track_overlap_count,possible_id_switch_count,missing_gap_count,optical_message_readiness,source_tracklet_index,source_tracker_assignments,source_tracker_tracks
AUTO_GM_RM011_0011,GM_RM011,yolo26l_probe,botsort,raw,bs_0019,GM_RM011__botsort__raw__bs_0019__seg_001,88,130,43,43,"[0.183, 287.23, 60.351, 413.594]","[754.011, 307.6, 800.06, 377.04]",88;109;130,280.372017,269.688077,84603.307829,0.980638,0.330403,0.000000,1.000000,0,0.710180,True,True,tracker_stable_hypothesis,tracker_stable_hypothesis,0,0,0,ready,outputs/oty2_wgv3_3a_yolo26l_embedding_source_20260710_000000/oty2/tracklet_embedding_aggregation_probe_20260710_000000_yolo26l/tracklet_embedding_index.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_detection_assignments.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_tracks.csv
AUTO_GM_RM011_0012,GM_RM011,yolo26l_probe,botsort,raw,bs_0025,GM_RM011__botsort__raw__bs_0025__seg_001,116,151,36,36,"[0.194, 284.232, 63.858, 343.577]","[689.433, 269.488, 800.705, 504.894]",116;133;151,310.181830,281.705645,95320.835353,1.080775,0.326379,0.000000,1.000000,0,0.721838,True,True,tracker_stable_hypothesis,tracker_stable_hypothesis,0,0,0,ready,outputs/oty2_wgv3_3a_yolo26l_embedding_source_20260710_000000/oty2/tracklet_embedding_aggregation_probe_20260710_000000_yolo26l/tracklet_embedding_index.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_detection_assignments.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_tracks.csv
AUTO_GM_RM011_0013,GM_RM011,yolo26l_probe,botsort,raw,bs_0026,GM_RM011__botsort__raw__bs_0026__seg_001,119,133,15,15,"[1.38, 297.506, 427.643, 596.12]","[525.913, 299.958, 807.059, 595.615]",119;126;133,439.605402,301.920199,133188.972114,1.451768,0.237236,0.000000,1.000000,0,0.887953,True,True,tracker_stable_hypothesis,tracker_stable_hypothesis,0,0,0,ready,outputs/oty2_wgv3_3a_yolo26l_embedding_source_20260710_000000/oty2/tracklet_embedding_aggregation_probe_20260710_000000_yolo26l/tracklet_embedding_index.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_detection_assignments.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_tracks.csv
AUTO_GM_RM011_0014,GM_RM011,yolo26l_probe,botsort,raw,bs_0030,GM_RM011__botsort__raw__bs_0030__seg_001,135,161,27,27,"[0.828, 270.834, 302.974, 588.646]","[656.773, 251.052, 802.299, 553.427]",135;148;161,326.615842,322.701437,105504.882027,1.011617,0.248194,0.000000,1.000000,0,0.855468,True,True,tracker_fragmented_hypothesis,fragmented_tracker_hypothesis,0,0,1,ready,outputs/oty2_wgv3_3a_yolo26l_embedding_source_20260710_000000/oty2/tracklet_embedding_aggregation_probe_20260710_000000_yolo26l/tracklet_embedding_index.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_detection_assignments.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_tracks.csv
AUTO_GM_RM011_0015,GM_RM011,yolo26l_probe,botsort,raw,bs_0030,GM_RM011__botsort__raw__bs_0030__seg_002,163,166,4,4,"[700.588, 261.943, 802.886, 458.238]","[769.645, 304.176, 800.798, 442.015]",163;164;166,66.405136,154.245247,10776.814398,0.419959,0.125537,0.000000,1.000000,0,0.872737,True,True,tracker_fragmented_hypothesis,fragmented_tracker_hypothesis,0,0,1,ready,outputs/oty2_wgv3_3a_yolo26l_embedding_source_20260710_000000/oty2/tracklet_embedding_aggregation_probe_20260710_000000_yolo26l/tracklet_embedding_index.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_detection_assignments.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_tracks.csv
AUTO_GM_RM011_0016,GM_RM011,yolo26l_probe,botsort,raw,bs_0039,GM_RM011__botsort__raw__bs_0039__seg_001,189,189,1,1,"[347.732, 289.958, 797.433, 595.582]","[347.732, 289.958, 797.433, 595.582]",189,449.701324,305.623260,137439.185033,1.471424,0.000000,0.000000,1.000000,0,1.000000,True,False,tracker_short_hypothesis,short_tracker_hypothesis,0,0,0,insufficient,outputs/oty2_wgv3_3a_yolo26l_embedding_source_20260710_000000/oty2/tracklet_embedding_aggregation_probe_20260710_000000_yolo26l/tracklet_embedding_index.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_detection_assignments.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_tracks.csv
AUTO_GM_RM011_0017,GM_RM011,yolo26l_probe,botsort,raw,bs_0041,GM_RM011__botsort__raw__bs_0041__seg_001,211,239,29,29,"[0.545, 387.322, 104.741, 595.328]","[397.623, 283.092, 807.399, 596.647]",211;225;239,458.041588,300.915803,142738.616588,1.481886,0.415778,0.000000,1.000000,0,0.795417,True,True,tracker_fragmented_hypothesis,fragmented_tracker_hypothesis,0,0,1,ready,outputs/oty2_wgv3_3a_yolo26l_embedding_source_20260710_000000/oty2/tracklet_embedding_aggregation_probe_20260710_000000_yolo26l/tracklet_embedding_index.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_detection_assignments.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_tracks.csv
AUTO_GM_RM011_0018,GM_RM011,yolo26l_probe,botsort,raw,bs_0041,GM_RM011__botsort__raw__bs_0041__seg_002,242,245,4,4,"[566.12, 330.079, 807.783, 595.97]","[736.142, 385.042, 800.577, 592.88]",242;243;245,151.333252,235.639709,37019.064519,0.622701,0.226728,0.000000,1.000000,0,0.858415,True,True,tracker_fragmented_hypothesis,fragmented_tracker_hypothesis,0,0,1,ready,outputs/oty2_wgv3_3a_yolo26l_embedding_source_20260710_000000/oty2/tracklet_embedding_aggregation_probe_20260710_000000_yolo26l/tracklet_embedding_index.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_detection_assignments.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_tracks.csv
AUTO_GM_RM011_0019,GM_RM011,yolo26l_probe,botsort,raw,bs_0051,GM_RM011__botsort__raw__bs_0051__seg_001,243,259,17,17,"[1.082, 338.556, 363.036, 596.401]","[36.577, 293.003, 641.348, 598.848]",243;251;259,538.204290,278.507705,150614.430217,1.933950,0.220446,0.000000,1.000000,0,0.874826,True,True,tracker_duplicate_overlap_hypothesis,duplicate_overlap_review,2,0,2,ready_with_uncertainty,outputs/oty2_wgv3_3a_yolo26l_embedding_source_20260710_000000/oty2/tracklet_embedding_aggregation_probe_20260710_000000_yolo26l/tracklet_embedding_index.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_detection_assignments.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_tracks.csv
AUTO_GM_RM011_0020,GM_RM011,yolo26l_probe,botsort,raw,bs_0052,GM_RM011__botsort__raw__bs_0052__seg_001,251,252,2,2,"[182.597, 388.227, 779.227, 598.71]","[222.4, 386.298, 791.292, 597.786]",251;252,582.761192,210.986053,122947.513339,2.762256,0.072317,0.000000,1.000000,0,0.980858,True,True,tracker_duplicate_overlap_hypothesis,duplicate_overlap_review,4,0,3,blocked,outputs/oty2_wgv3_3a_yolo26l_embedding_source_20260710_000000/oty2/tracklet_embedding_aggregation_probe_20260710_000000_yolo26l/tracklet_embedding_index.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_detection_assignments.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_tracks.csv
AUTO_GM_RM011_0021,GM_RM011,yolo26l_probe,botsort,raw,bs_0052,GM_RM011__botsort__raw__bs_0052__seg_002,259,261,3,3,"[122.655, 295.565, 735.55, 597.841]","[197.152, 294.3, 776.33, 598.122]",259;260;261,597.113146,303.051839,180947.552683,1.970436,0.049762,0.000000,1.000000,0,0.966673,True,True,tracker_duplicate_overlap_hypothesis,duplicate_overlap_review,4,0,3,blocked,outputs/oty2_wgv3_3a_yolo26l_embedding_source_20260710_000000/oty2/tracklet_embedding_aggregation_probe_20260710_000000_yolo26l/tracklet_embedding_index.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_detection_assignments.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_tracks.csv
AUTO_GM_RM011_0022,GM_RM011,yolo26l_probe,botsort,raw,bs_0051,GM_RM011__botsort__raw__bs_0051__seg_002,261,264,4,4,"[210.372, 298.16, 765.394, 597.806]","[385.363, 302.282, 805.532, 597.038]",261;262;264,494.210243,296.962791,146856.693560,1.663213,0.162297,0.000000,1.000000,0,0.956051,True,True,tracker_duplicate_overlap_hypothesis,duplicate_overlap_review,2,0,2,ready_with_uncertainty,outputs/oty2_wgv3_3a_yolo26l_embedding_source_20260710_000000/oty2/tracklet_embedding_aggregation_probe_20260710_000000_yolo26l/tracklet_embedding_index.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_detection_assignments.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_tracks.csv
AUTO_GM_RM011_0023,GM_RM011,yolo26l_probe,botsort,raw,bs_0057,GM_RM011__botsort__raw__bs_0057__seg_001,262,266,5,5,"[0.652, 395.156, 171.488, 594.822]","[1.084, 340.216, 327.363, 596.198]",262;264;266,239.885545,229.678101,56200.042171,1.031750,0.148300,0.000000,1.000000,0,0.913852,True,True,tracker_duplicate_overlap_hypothesis,duplicate_overlap_review,2,0,2,ready_with_uncertainty,outputs/oty2_wgv3_3a_yolo26l_embedding_source_20260710_000000/oty2/tracklet_embedding_aggregation_probe_20260710_000000_yolo26l/tracklet_embedding_index.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_detection_assignments.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_tracks.csv
AUTO_GM_RM011_0024,GM_RM011,yolo26l_probe,botsort,raw,bs_0051,GM_RM011__botsort__raw__bs_0051__seg_003,266,266,1,1,"[503.606, 304.254, 807.923, 594.761]","[503.606, 304.254, 807.923, 594.761]",266,304.317352,290.507324,88406.419729,1.047538,0.000000,0.000000,1.000000,0,1.000000,True,False,tracker_duplicate_overlap_hypothesis,duplicate_overlap_review,2,0,2,insufficient,outputs/oty2_wgv3_3a_yolo26l_embedding_source_20260710_000000/oty2/tracklet_embedding_aggregation_probe_20260710_000000_yolo26l/tracklet_embedding_index.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_detection_assignments.csv,outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_tracks.csv
