scene,canonical_vehicle_id,segment_id,dx_px,dy_px,grid_level,offset_category,frame_count,mean_valid_fraction,mean_clarity,median_clarity,temporal_mad_mean,temporal_mad_median,positive_persistence_mean,positive_persistence_p90,positive_persistence_fraction_ge_0_5,vehicle_scale_horizontal_run_px,background_median_mean,background_mad_mean,fixed_world_mean_clarity,fixed_world_minus_track_mean_clarity,phase_world_residual_median_px,phase_vehicle_residual_median_px,phase_wrong_residual_median_px,phase_response_median,flow_world_residual_median_px,flow_vehicle_residual_median_px,flow_wrong_residual_median_px,flow_support_fraction_median,weighted_score,rank,winner
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,-400,-240,COARSE,BACKGROUND_DOMINATED_REGION,21.0,1.0,28.302261352539062,37.927982330322266,7.538468837738037,7.0,0.02350892857142857,0.047619047619047616,0.008046875,12.0,46.095238095238095,5.190476190476191,25.150636672973633,-3.1516246795654297,0.11093641432171854,4.605660543472771,4.58441113515822,0.5408363092828681,0.10244083674574553,4.697632730795145,4.6446930723950555,0.45352678571428573,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,-300,-240,COARSE,BACKGROUND_DOMINATED_REGION,21.0,1.0,27.407899856567383,37.661102294921875,7.481046676635742,7.0,0.017414434523809526,0.047619047619047616,0.00259375,13.0,45.904761904761905,5.142857142857143,25.39865493774414,-2.009244918823242,0.13530540372450922,4.681879958109533,4.645692013006801,0.5498779424362712,0.07996593132780672,4.639124509265962,4.69705692846626,0.45498511904761907,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,-200,-240,COARSE,BACKGROUND_DOMINATED_REGION,21.0,1.0,28.46676254272461,39.239810943603516,7.7476091384887695,8.0,0.020988095238095236,0.047619047619047616,0.00240625,11.0,46.523809523809526,5.285714285714286,26.0219783782959,-2.444784164428711,0.11960406554223088,4.5250495397939385,4.667580237334359,0.5863818543652694,0.08639261520089783,4.654977191315631,4.677620924693633,0.4524404761904762,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,-100,-240,COARSE,BACKGROUND_DOMINATED_REGION,21.0,1.0,29.430240631103516,40.062931060791016,7.894499778747559,8.0,0.022285714285714284,0.047619047619047616,0.002734375,13.0,47.23809523809524,5.428571428571429,28.910079956054688,-0.5201606750488281,0.12149838562270386,4.624362176729605,4.569291303359442,0.6096137565043237,0.0751512820677242,4.6032332305766275,4.728331840531336,0.44717261904761907,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,0,-240,COARSE,BACKGROUND_DOMINATED_REGION,21.0,1.0,28.737789154052734,38.94456100463867,7.673359394073486,7.0,0.025351934523809523,0.09523809523809523,0.002140625,14.0,46.523809523809526,5.285714285714286,28.868072509765625,0.13028335571289062,0.10197689644637184,4.572779704290165,4.6123554918611855,0.613207152913566,0.09702769978200729,4.651962501483483,4.6796930798323935,0.4429761904761905,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,100,-240,COARSE,BACKGROUND_DOMINATED_REGION,21.0,1.0,28.751693725585938,38.04270553588867,7.444687366485596,7.0,0.01950967261904762,0.047619047619047616,0.001984375,13.0,47.38095238095238,5.571428571428571,28.527523040771484,-0.22417068481445312,0.12545550322259974,4.514097902529739,4.670927714327923,0.5797898655136426,0.09607167047532371,4.630243983774317,4.701884598863,0.4396428571428571,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,200,-240,COARSE,BACKGROUND_DOMINATED_REGION,21.0,1.0,27.724172592163086,37.13056564331055,7.212203025817871,7.0,0.01680580357142857,0.047619047619047616,0.0005625,5.0,47.04761904761905,5.333333333333333,26.802642822265625,-0.9215297698974609,0.16781651231135705,4.567277709073809,4.683491813025377,0.6016128892699877,0.13123316803926915,4.671693050783894,4.6593607717246455,0.4420089285714286,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,300,-240,COARSE,BACKGROUND_DOMINATED_REGION,21.0,1.0,27.401044845581055,36.81698226928711,7.166078090667725,7.0,0.022331101190476193,0.09523809523809523,0.0010625,7.0,46.142857142857146,5.095238095238095,25.461299896240234,-1.9397449493408203,0.14620156361747838,4.5226469139843255,4.673548606454957,0.5838438617410483,0.1349554304757813,4.585075319227313,4.7469156560920185,0.44325892857142857,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,400,-240,COARSE,BACKGROUND_DOMINATED_REGION,21.0,1.0,26.20499038696289,36.12869644165039,7.117343902587891,7.0,0.016253720238095237,0.047619047619047616,0.000140625,2.0,46.04761904761905,5.095238095238095,25.024028778076172,-1.1809616088867188,0.16412886384087735,4.544357005641048,4.696443095512475,0.5546482289003001,0.192153715940594,4.566599983657223,4.814649933194376,0.45450892857142855,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,-400,-160,COARSE,BACKGROUND_DOMINATED_REGION,21.0,1.0,26.24135971069336,35.98125076293945,7.227140426635742,7.0,0.014688988095238093,0.047619047619047616,0.004234375,13.0,45.714285714285715,5.142857142857143,24.401901245117188,-1.8394584655761719,0.11457167067877666,4.720180696669711,4.5681195000532835,0.5104887168164607,0.15364403603889681,4.770323301243174,4.641775615445065,0.46352678571428574,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,-300,-160,COARSE,BACKGROUND_DOMINATED_REGION,21.0,1.0,26.02558135986328,36.223060607910156,7.264546871185303,7.0,0.012141369047619047,0.047619047619047616,0.00075,7.0,45.714285714285715,5.142857142857143,24.691875457763672,-1.3337059020996094,0.13737973522857638,4.642064590980456,4.666747382271519,0.5497411922724159,0.15060894281310847,4.729860704333215,4.6303680582866455,0.45919642857142856,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,-200,-160,COARSE,BACKGROUND_DOMINATED_REGION,21.0,1.0,27.552257537841797,38.220428466796875,7.619781017303467,7.0,0.014919642857142855,0.047619047619047616,0.00059375,8.0,46.904761904761905,5.428571428571429,25.29820442199707,-2.2540531158447266,0.1137431441451011,4.614444174109254,4.5684175025625215,0.5035446261918104,0.15229533333948708,4.768063213482751,4.6041214986725905,0.45452380952380955,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,-100,-160,COARSE,BACKGROUND_DOMINATED_REGION,21.0,1.0,28.980239868164062,39.45862579345703,7.840984344482422,8.0,0.02451488095238095,0.09523809523809523,0.002015625,13.0,46.904761904761905,5.333333333333333,28.00449562072754,-0.9757442474365234,0.1335942178707868,4.567576415755795,4.6197001187791065,0.5790978311940476,0.09517737701227882,4.632708791321289,4.6997136323466115,0.4369642857142857,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,0,-160,COARSE,BACKGROUND_DOMINATED_REGION,21.0,1.0,28.730443954467773,38.776493072509766,7.7028279304504395,7.0,0.028423363095238092,0.09523809523809523,0.002265625,14.0,46.42857142857143,5.238095238095238,27.972993850708008,-0.7574501037597656,0.09724273337932046,4.609223850723891,4.574582059098551,0.6199692055583,0.09170336767380041,4.618491552129475,4.71292696510829,0.43447916666666664,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,100,-160,COARSE,BACKGROUND_DOMINATED_REGION,21.0,1.0,30.096813201904297,39.30415344238281,7.651109218597412,7.0,0.02576636904761905,0.09523809523809523,0.004875,12.0,47.80952380952381,5.571428571428571,28.184492111206055,-1.9123210906982422,0.11801469668755757,4.557050272183188,4.628608649365562,0.5023291426676291,0.10839343714002353,4.59514876710709,4.74040711260899,0.4380803571428571,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,200,-160,COARSE,BACKGROUND_DOMINATED_REGION,21.0,1.0,28.570690155029297,37.74014663696289,7.353250026702881,7.0,0.018998511904761903,0.047619047619047616,0.003546875,7.0,47.333333333333336,5.476190476190476,26.613788604736328,-1.9569015502929688,0.12224153284058788,4.639892403392524,4.701901119132884,0.5577805271855107,0.1276393583011878,4.669430338377248,4.6946860843369915,0.43811011904761904,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,300,-160,COARSE,BACKGROUND_DOMINATED_REGION,21.0,1.0,28.302927017211914,37.44647979736328,7.29896879196167,7.0,0.020576636904761907,0.047619047619047616,0.00396875,9.0,47.142857142857146,5.380952380952381,25.808320999145508,-2.4946060180664062,0.14139969923677786,4.533592589236935,4.705647285546055,0.5983977832279548,0.16561207623561658,4.607266997618002,4.7744677623546306,0.4426785714285715,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,400,-160,COARSE,BACKGROUND_DOMINATED_REGION,21.0,1.0,25.9528751373291,35.481021881103516,7.077343940734863,7.0,0.011723214285714285,0.047619047619047616,9.375e-05,2.0,46.76190476190476,5.190476190476191,25.351329803466797,-0.6015453338623047,0.1739121714707701,4.534681736951974,4.729626199936395,0.5209121712379985,0.26219943604343543,4.582690472808631,4.753069224402665,0.4616071428571429,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,-160,-120,FINE,BACKGROUND_DOMINATED_REGION,21.0,1.0,29.39353370666504,39.62043762207031,7.853015422821045,7.0,0.023078125,0.047619047619047616,0.0084375,35.0,47.76190476190476,5.809523809523809,26.7028865814209,-2.6906471252441406,0.11569448571028318,4.6431188601055595,4.5450294405835745,0.6024420406255457,0.16555576948915407,4.733302703328892,4.691377194330186,0.4422172619047619,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,-120,-120,FINE,BACKGROUND_DOMINATED_REGION,21.0,1.0,29.916683197021484,39.90604782104492,7.942765712738037,8.0,0.02551190476190476,0.047619047619047616,0.008546875,42.0,47.666666666666664,5.809523809523809,28.3056583404541,-1.6110248565673828,0.1003442424494061,4.635780321849328,4.5485365739365395,0.6064226587337476,0.14030960752287563,4.648126690680423,4.7239087082677536,0.4358035714285714,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED
