frame,stage,region_id,fragment_id,x1_local_px,y1_local_px,x2_local_px,y2_local_px,center_x_stabilized_px,center_y_stabilized_px,length_px,orientation_deg,horizontal_angle_distance_deg,representation
330,WEAK_DISTRIBUTED_330_338,FROZEN_COARSE_CENTER_CORRIDOR,FROZEN_COARSE_CENTER_CORRIDOR|330|LS005,176.81761169433594,79.10403442382812,202.01116943359375,73.76790618896484,1090.3983905639648,1040.2259703063964,25.75246815550351,168.04119151417237,11.958808485827632,LOCAL_DIRECTION_FRAGMENT_LSD
330,WEAK_DISTRIBUTED_330_338,FROZEN_COARSE_CENTER_CORRIDOR,FROZEN_COARSE_CENTER_CORRIDOR|330|LS010,257.0513916015625,64.26983642578125,230.57675170898438,66.21992492675781,1144.7980716552734,1029.0348806762695,26.546363265112795,175.7872732015978,4.212726798402201,LOCAL_DIRECTION_FRAGMENT_LSD
330,WEAK_DISTRIBUTED_330_338,FROZEN_COARSE_CENTER_CORRIDOR,FROZEN_COARSE_CENTER_CORRIDOR|330|LS025,13.731805801391602,10.306682586669922,28.135103225708008,4.399637222290039,921.9174545135497,971.14315990448,15.567535502775046,157.70060413781724,22.299395862182763,LOCAL_DIRECTION_FRAGMENT_LSD
330,WEAK_DISTRIBUTED_330_338,FROZEN_COARSE_CENTER_CORRIDOR,FROZEN_COARSE_CENTER_CORRIDOR|330|LS028,231.76266479492188,69.35910034179688,254.4170379638672,67.3487548828125,1144.0738513793945,1032.1439276123047,22.743397119654055,174.92886515524123,5.071134844758774,LOCAL_DIRECTION_FRAGMENT_LSD
330,WEAK_DISTRIBUTED_330_338,FROZEN_COARSE_CENTER_CORRIDOR,FROZEN_COARSE_CENTER_CORRIDOR|330|LS042,129.6397247314453,93.658447265625,115.6202621459961,100.61544799804688,1023.6139934387206,1060.926947631836,15.650724915342707,153.60761060186593,26.39238939813407,LOCAL_DIRECTION_FRAGMENT_LSD
330,WEAK_DISTRIBUTED_330_338,MATCHED_BG_RIGHT_COMPLEX,MATCHED_BG_RIGHT_COMPLEX|330|LS003,3.1493735313415527,44.30538558959961,24.41805648803711,51.75202178955078,1268.7837150096893,973.0287036895752,22.534623702357564,19.29627895484171,19.29627895484171,LOCAL_DIRECTION_FRAGMENT_LSD
330,WEAK_DISTRIBUTED_330_338,MATCHED_BG_RIGHT_COMPLEX,MATCHED_BG_RIGHT_COMPLEX|330|LS019,47.24222946166992,46.93015670776367,30.639625549316406,41.827415466308594,1293.9409275054932,969.3787860870361,17.36906516907985,17.08459290884926,17.08459290884926,LOCAL_DIRECTION_FRAGMENT_LSD
330,WEAK_DISTRIBUTED_330_338,MATCHED_BG_LEFT_CURVE,MATCHED_BG_LEFT_CURVE|330|LS002,38.316463470458984,101.54100036621094,92.65705871582031,132.69129943847656,650.4867610931396,1042.1161499023438,62.63578389316908,29.823136222824743,29.823136222824743,LOCAL_DIRECTION_FRAGMENT_LSD
330,WEAK_DISTRIBUTED_330_338,MATCHED_BG_LEFT_CURVE,MATCHED_BG_LEFT_CURVE|330|LS003,16.9876651763916,89.18049621582031,37.778316497802734,101.22350311279297,612.3829908370972,1020.2019996643066,24.026760028955746,30.081613407055986,30.081613407055986,LOCAL_DIRECTION_FRAGMENT_LSD
330,WEAK_DISTRIBUTED_330_338,MATCHED_BG_LEFT_CURVE,MATCHED_BG_LEFT_CURVE|330|LS008,178.71621704101562,130.11558532714844,167.85275268554688,144.1644744873047,758.2844848632812,1062.1400299072266,17.759114404634477,127.71339885267174,52.286601147328255,LOCAL_DIRECTION_FRAGMENT_LSD
