scene,frame_index,runtime_observation_id,detector_source,source_detection_id,bbox,confidence,class,source_tracker_ids,appearance_feature_reference,color_feature_reference,boundary_contact,runtime_quality_features,provenance,notes
GM_RM019,98,GM_RM019:YOLO11l:GM_RM019_000098_001,YOLO11l,GM_RM019_000098_001,"[0.323,304.164,58.818,493.422]",0.820965,car,YOLO11l:botsort:bs_0066;YOLO11l:bytetrack:bt_0077,GM_RM019:YOLO11l:GM_RM019_000098_001:gray_histogram_8+edge_density,GM_RM019:YOLO11l:GM_RM019_000098_001:color_hsv_mean,left,"{""area_ratio"":0.0230636,""aspect_ratio"":0.30907,""color_hsv_mean"":[0.727143,0.074223,0.522377],""gray_histogram_8"":[0.0,0.032912,0.217649,0.23388,0.3232,0.162855,0.029504,0.0],""edge_density"":0.06394,""area_plausibility"":1.0,""aspect_plausibility"":0.25,""structure_support"":0.799256,""tracker_support"":1.0,""vehicle_likeness"":0.810039}",normalized_detection:YOLO11l:GM_RM019_000098_001,p1c_local_cluster=GM_RM019:F098:ALT001;normalization_action=keep_without_grouping_context;suppression_reason=;no_benchmark_input=true
GM_RM019,98,GM_RM019:YOLO11l:GM_RM019_000098_002,YOLO11l,GM_RM019_000098_002,"[618.575,326.732,643.711,354.453]",0.720181,car,YOLO11l:botsort:bs_0055;YOLO11l:bytetrack:bt_0066;YOLO26l:botsort:bs_0050;YOLO26l:bytetrack:bt_0053,GM_RM019:YOLO11l:GM_RM019_000098_002:gray_histogram_8+edge_density,GM_RM019:YOLO11l:GM_RM019_000098_002:color_hsv_mean,none,"{""area_ratio"":0.0014516,""aspect_ratio"":0.90676,""color_hsv_mean"":[0.618074,0.073139,0.555468],""gray_histogram_8"":[0.0,0.0,0.063704,0.36,0.342222,0.220741,0.013333,0.0],""edge_density"":0.245926,""area_plausibility"":0.580659,""aspect_plausibility"":1.0,""structure_support"":1.0,""tracker_support"":1.0,""vehicle_likeness"":0.812607}",normalized_detection:YOLO11l:GM_RM019_000098_002,p1c_local_cluster=GM_RM019:F098:ALT002;normalization_action=keep_without_grouping_context;suppression_reason=;no_benchmark_input=true
GM_RM019,98,GM_RM019:YOLO26l:GM_RM019_000098_001,YOLO26l,GM_RM019_000098_001,"[618.659,326.517,643.617,354.711]",0.694419,car,YOLO11l:botsort:bs_0055;YOLO11l:bytetrack:bt_0066;YOLO26l:botsort:bs_0050;YOLO26l:bytetrack:bt_0053,GM_RM019:YOLO26l:GM_RM019_000098_001:gray_histogram_8+edge_density,GM_RM019:YOLO26l:GM_RM019_000098_001:color_hsv_mean,none,"{""area_ratio"":0.001466,""aspect_ratio"":0.88524,""color_hsv_mean"":[0.608127,0.073613,0.553843],""gray_histogram_8"":[0.0,0.0,0.061429,0.371429,0.341429,0.212857,0.012857,0.0],""edge_density"":0.252857,""area_plausibility"":0.586401,""aspect_plausibility"":1.0,""structure_support"":1.0,""tracker_support"":1.0,""vehicle_likeness"":0.805111}",normalized_detection:YOLO26l:GM_RM019_000098_001,p1c_local_cluster=GM_RM019:F098:ALT002;normalization_action=keep_without_grouping_context;suppression_reason=;no_benchmark_input=true
GM_RM019,98,GM_RM019:YOLO26l:GM_RM019_000098_002,YOLO26l,GM_RM019_000098_002,"[0.224,301.87,58.741,493.434]",0.626495,car,YOLO11l:botsort:bs_0066;YOLO11l:bytetrack:bt_0077,GM_RM019:YOLO26l:GM_RM019_000098_002:gray_histogram_8+edge_density,GM_RM019:YOLO26l:GM_RM019_000098_002:color_hsv_mean,left,"{""area_ratio"":0.0233538,""aspect_ratio"":0.30547,""color_hsv_mean"":[0.726291,0.073892,0.521379],""gray_histogram_8"":[0.0,0.032567,0.218653,0.237466,0.320969,0.16115,0.029195,0.0],""edge_density"":0.06407,""area_plausibility"":1.0,""aspect_plausibility"":0.25,""structure_support"":0.80087,""tracker_support"":1.0,""vehicle_likeness"":0.744113}",normalized_detection:YOLO26l:GM_RM019_000098_002,p1c_local_cluster=GM_RM019:F098:ALT001;normalization_action=keep_without_grouping_context;suppression_reason=;no_benchmark_input=true
GM_RM019,99,GM_RM019:YOLO11l:GM_RM019_000099_001,YOLO11l,GM_RM019_000099_001,"[0.395,301.085,83.824,505.353]",0.889493,car,YOLO11l:botsort:bs_0066;YOLO11l:bytetrack:bt_0077;YOLO26l:botsort:bs_0065;YOLO26l:bytetrack:bt_0068,GM_RM019:YOLO11l:GM_RM019_000099_001:gray_histogram_8+edge_density,GM_RM019:YOLO11l:GM_RM019_000099_001:color_hsv_mean,left,"{""area_ratio"":0.0355041,""aspect_ratio"":0.40843,""color_hsv_mean"":[0.686018,0.076763,0.522757],""gray_histogram_8"":[0.0,0.046335,0.229517,0.218838,0.268324,0.197304,0.039683,0.0],""edge_density"":0.080299,""area_plausibility"":1.0,""aspect_plausibility"":0.25,""structure_support"":1.0,""tracker_support"":1.0,""vehicle_likeness"":0.857427}",normalized_detection:YOLO11l:GM_RM019_000099_001,p1c_local_cluster=GM_RM019:F099:ALT001;normalization_action=keep_without_grouping_context;suppression_reason=;no_benchmark_input=true
GM_RM019,99,GM_RM019:YOLO11l:GM_RM019_000099_002,YOLO11l,GM_RM019_000099_002,"[626.086,328.456,658.716,355.847]",0.469730,car,YOLO11l:botsort:bs_0055;YOLO11l:bytetrack:bt_0066;YOLO26l:botsort:bs_0050,GM_RM019:YOLO11l:GM_RM019_000099_002:gray_histogram_8+edge_density,GM_RM019:YOLO11l:GM_RM019_000099_002:color_hsv_mean,none,"{""area_ratio"":0.001862,""aspect_ratio"":1.19128,""color_hsv_mean"":[0.637638,0.090137,0.525838],""gray_histogram_8"":[0.0,0.0,0.124459,0.414502,0.331169,0.123377,0.006494,0.0],""edge_density"":0.215368,""area_plausibility"":0.744815,""aspect_plausibility"":1.0,""structure_support"":1.0,""tracker_support"":1.0,""vehicle_likeness"":0.763567}",normalized_detection:YOLO11l:GM_RM019_000099_002,p1c_local_cluster=GM_RM019:F099:ALT002;normalization_action=keep_block_auto_grouping;suppression_reason=;no_benchmark_input=true
GM_RM019,99,GM_RM019:YOLO11l:GM_RM019_000099_003,YOLO11l,GM_RM019_000099_003,"[466.337,326.564,476.47,335.391]",0.313193,car,,GM_RM019:YOLO11l:GM_RM019_000099_003:gray_histogram_8+edge_density,GM_RM019:YOLO11l:GM_RM019_000099_003:color_hsv_mean,none,"{""area_ratio"":0.0001863,""aspect_ratio"":1.14796,""color_hsv_mean"":[0.607361,0.031275,0.76201],""gray_histogram_8"":[0.0,0.0,0.0,0.0,0.1625,0.35,0.3,0.1875],""edge_density"":0.35,""area_plausibility"":0.074536,""aspect_plausibility"":1.0,""structure_support"":1.0,""tracker_support"":0.0,""vehicle_likeness"":0.382883}",normalized_detection:YOLO11l:GM_RM019_000099_003,p1c_local_cluster=GM_RM019:F099:ALT003;normalization_action=keep_block_auto_grouping;suppression_reason=;no_benchmark_input=true
GM_RM019,99,GM_RM019:YOLO26l:GM_RM019_000099_001,YOLO26l,GM_RM019_000099_001,"[0.366,300.461,83.84,506.441]",0.761667,car,YOLO11l:botsort:bs_0066;YOLO11l:bytetrack:bt_0077;YOLO26l:botsort:bs_0065;YOLO26l:bytetrack:bt_0068,GM_RM019:YOLO26l:GM_RM019_000099_001:gray_histogram_8+edge_density,GM_RM019:YOLO26l:GM_RM019_000099_001:color_hsv_mean,left,"{""area_ratio"":0.0358208,""aspect_ratio"":0.40525,""color_hsv_mean"":[0.683661,0.077223,0.521849],""gray_histogram_8"":[0.0,0.045885,0.230583,0.222839,0.266008,0.195388,0.039297,0.0],""edge_density"":0.079693,""area_plausibility"":1.0,""aspect_plausibility"":0.25,""structure_support"":0.996157,""tracker_support"":1.0,""vehicle_likeness"":0.813506}",normalized_detection:YOLO26l:GM_RM019_000099_001,p1c_local_cluster=GM_RM019:F099:ALT001;normalization_action=keep_without_grouping_context;suppression_reason=;no_benchmark_input=true
GM_RM019,99,GM_RM019:YOLO26l:GM_RM019_000099_002,YOLO26l,GM_RM019_000099_002,"[626.433,328.578,649.657,355.586]",0.370472,car,YOLO11l:botsort:bs_0055;YOLO11l:bytetrack:bt_0066;YOLO26l:botsort:bs_0050,GM_RM019:YOLO26l:GM_RM019_000099_002:gray_histogram_8+edge_density,GM_RM019:YOLO26l:GM_RM019_000099_002:color_hsv_mean,none,"{""area_ratio"":0.0013067,""aspect_ratio"":0.85988,""color_hsv_mean"":[0.609414,0.085566,0.554394],""gray_histogram_8"":[0.0,0.0,0.052469,0.365741,0.396605,0.175926,0.009259,0.0],""edge_density"":0.243827,""area_plausibility"":0.52267,""aspect_plausibility"":1.0,""structure_support"":1.0,""tracker_support"":1.0,""vehicle_likeness"":0.680948}",normalized_detection:YOLO26l:GM_RM019_000099_002,p1c_local_cluster=GM_RM019:F099:ALT002;normalization_action=keep_without_grouping_context;suppression_reason=;no_benchmark_input=true
GM_RM019,100,GM_RM019:YOLO11l:GM_RM019_000100_001,YOLO11l,GM_RM019_000100_001,"[0.232,300.065,109.086,523.49]",0.916836,car,YOLO11l:botsort:bs_0066;YOLO11l:bytetrack:bt_0077;YOLO26l:botsort:bs_0065;YOLO26l:bytetrack:bt_0068,GM_RM019:YOLO11l:GM_RM019_000100_001:gray_histogram_8+edge_density,GM_RM019:YOLO11l:GM_RM019_000100_001:color_hsv_mean,left,"{""area_ratio"":0.0506679,""aspect_ratio"":0.4872,""color_hsv_mean"":[0.692047,0.08046,0.522918],""gray_histogram_8"":[0.0,0.079689,0.231209,0.193195,0.215658,0.213724,0.06566,0.000864],""edge_density"":0.070186,""area_plausibility"":1.0,""aspect_plausibility"":0.25,""structure_support"":0.877319,""tracker_support"":1.0,""vehicle_likeness"":0.852003}",normalized_detection:YOLO11l:GM_RM019_000100_001,p1c_local_cluster=GM_RM019:F100:ALT001;normalization_action=keep_without_grouping_context;suppression_reason=;no_benchmark_input=true
