scene,canonical_vehicle_id,segment_id,frame_prev,frame_curr,stage_prev,stage_curr,gt_dx_px,gt_dy_px,phase_background_dx_px,phase_background_dy_px,flow_background_dx_px,flow_background_dy_px,phase_gt_motion_relative_to_background_dx_px,phase_gt_motion_relative_to_background_dy_px,flow_gt_motion_relative_to_background_dx_px,flow_gt_motion_relative_to_background_dy_px,patch_valid_fraction,phase_dx_px,phase_dy_px,phase_response,phase_world_residual_motion_px,phase_vehicle_residual_motion_px,phase_wrong_track_residual_motion_px,phase_time_shift_plus4_residual_motion_px,flow_dx_px,flow_dy_px,flow_support_fraction,flow_dispersion_median_px,flow_dispersion_p90_px,flow_world_residual_motion_px,flow_vehicle_residual_motion_px,flow_wrong_track_residual_motion_px,flow_time_shift_plus4_residual_motion_px,method_displacement_disagreement_px,phase_quality_status,flow_quality_status
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,330,331,WEAK_DISTRIBUTED_330_338,WEAK_DISTRIBUTED_330_338,9.762000000000171,-0.8149999999999409,6.231642667869735,-0.07640226486120838,6.225912094116211,0.018758386373519897,3.5303573321304356,-0.7385977351387325,3.53608790588396,-0.8337583863734608,1.0,6.469671752407578,-0.217088119620243,0.6725623985131581,0.27649657288148,3.3461804952206777,3.8696092589295743,6.1302332071604235,6.222853183746338,-0.1296028345823288,0.3975892857142857,0.6592996120452881,1.5442282915115357,0.1483927518990098,3.6049035301048127,3.6669950649331335,6.241604895733167,0.26186462329636734,USABLE,USABLE
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,331,332,WEAK_DISTRIBUTED_330_338,WEAK_DISTRIBUTED_330_338,1.6669999999999163,-0.35400000000004184,6.223636129568391,0.008362256208222618,6.111361980438232,0.0732470192015171,-4.556636129568474,-0.36236225620826445,-4.444361980438316,-0.42724701920155894,1.0,6.158892206026252,0.031982112152803666,0.7575451296512727,0.06891787308436811,4.508445162299538,4.633778157079281,7.931073504576822,6.0562944412231445,0.022498810663819313,0.39898809523809525,0.57921302318573,1.9885576963424683,0.07488534265789872,4.405412244749001,4.52474810791385,8.002423216411366,0.10303511221775179,USABLE,USABLE
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,332,333,WEAK_DISTRIBUTED_330_338,WEAK_DISTRIBUTED_330_338,10.711999999999989,-0.5180000000000291,6.247953919428809,-0.07457807854880016,6.0669004917144775,0.03810418024659157,4.46404608057118,-0.44342192145122894,4.6450995082855115,-0.5561041802466207,1.0,6.198540915525172,-0.05652073452677797,0.7116522354108316,0.052609054619053776,4.5369897530951055,4.435078378714254,7.509495786963421,6.0745158195495605,-0.04135982319712639,0.41151785714285716,0.660955011844635,1.7744941234588623,0.07982807188789548,4.661914347354602,4.695924005174714,7.422201691242731,0.12494829996484584,USABLE,USABLE
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,333,334,WEAK_DISTRIBUTED_330_338,WEAK_DISTRIBUTED_330_338,4.257000000000062,1.3700000000000045,6.352355757884055,0.14153012890141525,6.086909055709839,0.022863594815135002,-2.0953557578839934,1.2284698710985893,-1.829909055709777,1.3471364051848695,1.0,6.340870367573757,0.0049011764334068175,0.690415506368434,0.13711084874321652,2.49118656606739,2.3729509508880944,3.964578324884118,6.177355766296387,-0.033906448632478714,0.4122321428571429,0.718635618686676,1.883340835571289,0.1067869153453301,2.378806336308069,2.165819613357642,4.070295432145589,0.16805670648370963,USABLE,USABLE
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,334,335,WEAK_DISTRIBUTED_330_338,WEAK_DISTRIBUTED_330_338,6.955999999999904,-6.3279999999999745,6.279062507366163,0.03233399579525553,6.339816331863403,-0.006725603947415948,0.6769374926337406,-6.36033399579523,0.6161836681365003,-6.321274396052559,1.0,6.314942764394573,0.07428127228407533,0.6889417380094528,0.055199337398688444,6.4342956000452,6.3584683595140294,3.820472810348445,6.16550350189209,-0.04139120876789093,0.40851190476190474,0.5466565489768982,1.3598740100860596,0.17772638197571394,6.336113541242552,6.3712811217461365,3.7701733525229404,0.18897676060829147,USABLE,USABLE
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,335,336,WEAK_DISTRIBUTED_330_338,WEAK_DISTRIBUTED_330_338,11.072000000000116,6.258000000000038,6.270342215541774,-0.06813435685823066,6.270302057266235,0.006229837832506746,4.801657784458342,6.326134356858269,4.801697942733881,6.2517701621675315,1.0,6.193170592143986,0.1292383666500072,0.6006845310882286,0.2119232206316934,7.83356212392454,8.054620668513486,5.455942648649992,6.090550422668457,0.0036191721446812153,0.4049404761904762,0.6772559881210327,1.5344846844673157,0.17977059191065375,7.99575633891769,7.772668916642175,5.522362725385032,0.16220690864249016,USABLE,USABLE
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,336,337,WEAK_DISTRIBUTED_330_338,WEAK_DISTRIBUTED_330_338,0.3109999999999218,-4.718000000000075,6.262028654518417,0.01777290546565169,6.320748567581177,-0.01424446888267994,-5.951028654518495,-4.735772905465726,-6.009748567581255,-4.703755531117395,1.0,6.18047764754732,0.02017213182710975,0.6724162363343769,0.08158629189473796,7.543278001365342,7.667909999358036,8.323968725238661,6.245797634124756,-0.0795513391494751,0.4095535714285714,0.5136460065841675,1.3813468217849731,0.09941141649746696,7.532398617795028,7.73094588043562,8.238121260099273,0.11921187570915116,USABLE,USABLE
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,337,338,WEAK_DISTRIBUTED_330_338,WEAK_DISTRIBUTED_330_338,7.997000000000071,3.6070000000000846,6.281675755011847,0.08921943758265982,6.293905735015869,-0.006579253822565079,1.7153242449882242,3.5177805624174248,1.7030942649842018,3.6135792538226497,1.0,6.210975737659311,-0.14996915777053488,0.6856379213156524,0.24941867732927137,4.1598918156737605,3.667963213641105,8.42383483981757,6.265522003173828,-0.06488661468029022,0.40613095238095237,0.5204481482505798,1.169099748134613,0.0648489364868374,4.059651138282983,3.929963562518576,8.47702002004523,0.10106598943405022,USABLE,USABLE
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,338,339,WEAK_DISTRIBUTED_330_338,TRANSITION_ONSET_339,7.679999999999836,-3.494000000000028,6.229150493053254,0.028148180397575828,6.21679425239563,0.11564376205205917,1.4508495069465823,-3.522148180397604,1.4632057476042064,-3.6096437620520874,1.0,6.136372984866625,0.11547554404124583,0.5714789507565675,0.1274116731947027,3.9256971438053037,3.6935556848411015,6.009522143336522,6.19150447845459,0.09934248775243759,0.4114583333333333,0.5134688019752502,1.0908743381500245,0.030088273625790012,3.8894381537630003,3.900651196141394,5.9645119833932245,0.05744351217028456,USABLE,USABLE
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,339,340,TRANSITION_ONSET_339,STRONG_COMPACT_340_350,3.686000000000149,4.975000000000023,6.18550902333196,-0.004716893646651954,6.25397253036499,0.0402128417044878,-2.499509023331811,4.979716893646675,-2.567972530364841,4.934787158295535,1.0,6.209507518874773,-0.0362553452976897,0.5960054062030934,0.03963081781723977,5.610772703789706,5.532867454315577,5.0238411128049005,6.143412113189697,-0.003738285042345524,0.4180357142857143,0.5190244913101196,1.2624144554138184,0.11897607905915804,5.552180581086799,5.57627257570441,4.970972877072378,0.07366112855722753,USABLE,USABLE
